Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Economics, Department of",Massachusetts Institute of Technology,"Economics, Department of",43,216,10,4,11,9,0,4
"Economics, Department of",Boston College,"Economics, Department of",3,12,0,0,2,1,0,0
"Economics, Department of",Boston University,"Economics, Department of",3,3,1,0,0,0,0,0
"Economics, Department of",Boston University,"Marketing, Department of",2,2,0,0,0,0,0,0
"Economics, Department of",Boston University,"Markets, Public Policy, and Law, Department of",1,4,0,0,0,0,0,0
"Economics, Department of",Boston University,"Computing and Data Sciences, Faculty of",1,2,0,0,0,0,0,0
"Economics, Department of",Brandeis University,"International Business, School of",1,4,0,0,0,0,0,0
"Economics, Department of",Brandeis University,"Economics, Department of",1,4,0,0,0,0,0,0
"Economics, Department of",Brigham Young University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Brown University,"Sociology, Department of",1,0,1,0,0,0,0,0
"Economics, Department of",Brown University,"Economics, Department of",4,8,0,1,0,0,0,0
"Economics, Department of",Brown University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Brown University,"Health Services Policy and Practice, Department of",3,3,0,0,0,0,0,0
"Economics, Department of",California Institute of Technology,"Humanities and Social Sciences, Division of the",1,1,0,0,0,0,0,0
"Economics, Department of",Carnegie Mellon University,"Psychology, Department of",1,2,0,0,0,0,0,0
"Economics, Department of",Carnegie Mellon University,"Social and Decision Sciences, Department of",3,2,0,0,0,0,0,0
"Economics, Department of",Carnegie Mellon University,"Statistics and Data Science, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Carnegie Mellon University,"Business, School of",2,1,0,0,1,0,0,0
"Economics, Department of",Carnegie Mellon University,"Economics, Department of",2,1,0,0,1,0,0,0
"Economics, Department of",Carnegie Mellon University,"Information Systems, Public Policy & Management, Heinz College of",2,2,0,0,0,0,0,0
"Economics, Department of",Columbia University,"Economics, Department of",3,2,0,1,1,0,0,0
"Economics, Department of",Columbia University,"International and Public Affairs, School of",2,1,0,1,0,0,0,0
"Economics, Department of",Columbia University,"Business School - Economics, Division of",1,1,0,0,0,0,0,0
"Economics, Department of",Cornell University,"Applied Economics and Management, School of",1,2,0,0,0,0,0,0
"Economics, Department of",Cornell University,"Computer Science, Department of",1,6,0,0,2,0,0,0
"Economics, Department of",Cornell University,"Electrical and Computer Engineering, Department of",1,1,0,0,1,0,0,0
"Economics, Department of",Cornell University,"Civil and Environmental Engineering, School of",1,1,0,0,0,0,0,0
"Economics, Department of",Cornell University,"Statistics and Data Science, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Cornell University,"Information Science, Department of",1,6,0,0,2,0,0,0
"Economics, Department of",Cornell University,"Global Development, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Dartmouth College,"Economics, Department of",5,7,0,0,0,0,0,1
"Economics, Department of",Dartmouth College,"Business, Tuck School of",1,2,0,0,0,0,0,0
"Economics, Department of",Drexel University,"Marketing, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Duke University,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Duke University,"Decision Sciences, Department of",2,4,0,0,0,0,0,0
"Economics, Department of",Duke University,"Economics (School of Business), Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Emory University,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Emory University,"Biostatistics and Bioinformatics, Department of",1,0,1,0,0,0,0,0
"Economics, Department of",George Washington University,"Economics, Department of",1,2,0,0,0,0,0,0
"Economics, Department of",George Washington University,"International Affairs, School of",1,2,0,0,0,0,0,0
"Economics, Department of",Georgetown University,"Economics, Department of",2,1,0,0,0,0,0,0
"Economics, Department of",Georgetown University,"Strategy, Economics, Ethics, and Public Policy, Division of",3,3,0,0,0,0,0,0
"Economics, Department of",Georgia Institute of Technology,"Public Policy, School of",1,1,0,0,0,0,0,0
"Economics, Department of",Harvard University,"Biostatistics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Harvard University,"Economics, Department of",16,26,5,1,0,2,0,1
"Economics, Department of",Harvard University,"Statistics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Harvard University,"Government, John F. Kennedy School of",10,18,2,2,0,1,0,1
"Economics, Department of",Harvard University,"Global Health and Social Medicine, Department of",1,2,0,0,1,0,0,0
"Economics, Department of",Harvard University,"Health Care Policy, Department of",2,2,0,0,0,1,0,0
"Economics, Department of",Harvard University,Technology and Operations Management Unit,1,1,0,0,0,0,0,0
"Economics, Department of",Harvard University,"Negotiation, Organizations and Markets Unit",5,2,0,0,0,0,0,0
"Economics, Department of",Harvard University,"Health Policy and Management, Department of",1,7,0,0,0,0,0,1
"Economics, Department of",Harvard University,"Epidemiology, Department of",3,3,0,0,0,0,0,0
"Economics, Department of",Harvard University,Entrepreneurial Manangement Unit,1,3,0,0,0,1,0,0
"Economics, Department of",Harvard University,"Education, Graduate School of",1,0,0,1,0,0,0,0
"Economics, Department of",Harvard University,"Business, Government and the International Economy Unit",1,1,0,0,0,0,0,0
"Economics, Department of",Harvard University,"Biomedical Informatics, Department of",1,2,0,0,0,0,0,0
"Economics, Department of",Johns Hopkins University,"Sociology, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Johns Hopkins University,"Health Policy and Management, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Louisiana State University,"Economics, Department of",1,1,0,0,0,0,0,0
"Economics, Department of",Michigan State University,"Counseling, Educational Psychology and Special Education, Department of",1,1,0,0,0,0,0,0
