Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Brown University,"BIRCH, SAMUEL PATRICK DENNIS",1970430,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Cornell University,"HAYES, ALEXANDER G",579322,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Louisiana State University,"WEI, EMILY A",2136862,0,0,0,1,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"DONNELLY, JEFFREY",287561,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"JIN, DI",779081,2,0,0,2,1,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"KITE-POWELL, HAUKE",779086,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"NEPF, HEIDI",83154,1,0,0,1,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"PERRON, JAY TAYLOR",288948,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"SODERBLOM, JASON",779122,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Massachusetts Institute of Technology,"ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Montclair State University,"LORENZO-TRUEBA, JORGE",842484,1,0,0,2,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,North Carolina State University,"ANARDE, KATHERINE ALYSE",1490149,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Old Dominion University,"WALLACE, ELIZABETH",1849045,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Pennsylvania State University - University Park,"PILIOURAS, ANASTASIA",1038133,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"University of Texas at Austin, The","MOHRIG, DAVID",156955,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Yale University,"LORA, JUAN M",847819,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,Arizona State University,"BLANCO-BERCIAL, LEOCADIO",608086,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,Arizona State University,"MAAS, AMY E",826288,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,Brown University,"COOPERDOCK, EMILY H. G",901471,0,0,0,2,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,Massachusetts Institute of Technology,"BUESSELER, KEN",287189,1,0,0,0,0,0,0
