Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Marine Policy Center,"JIN, DI",779081,2,0,0,2,1,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,Marine Policy Center,"KITE-POWELL, HAUKE",779086,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"Civil and Environmental Engineering, Department of","NEPF, HEIDI",83154,1,0,0,1,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"Earth, Atmospheric and Planetary Sciences, Department of","PERRON, JAY TAYLOR",288948,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"Earth, Atmospheric and Planetary Sciences, Department of","SODERBLOM, JASON",779122,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Geology and Geophysics, Department of","EDGCOMB, VIRGINIA",544617,2,0,0,1,1,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,3,0,0,1,1,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Geology and Geophysics, Department of","LE ROUX, VERONIQUE",779092,1,0,0,0,2,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Geology and Geophysics, Department of","MCCORKLE, DANIEL",288634,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Biology (WHOI), Department of","SIEVERT, STEFAN",370184,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Marine Chemistry and Geochemistry, Department of","VAN MOOY, BENJAMIN",289597,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"Marine Chemistry and Geochemistry, Department of","WANKEL, SCOTT",544631,2,0,0,1,2,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,"Geology and Geophysics, Department of","COLLINS, JOHN",544616,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,"Geology and Geophysics, Department of","GIOSAN, LIVIU",287820,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,"Geology and Geophysics, Department of","LIZARRALDE, DANIEL",288497,1,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Geology and Geophysics, Department of","HORTON, FORREST",919209,2,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Earth, Atmospheric and Planetary Sciences, Department of","MCGEE, WILLIAM DAVID",544463,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Biology (WHOI), Department of","MEYER-KAISER, KIRSTIN",1108288,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Geology and Geophysics, Department of","OPPO, DELIA",288857,2,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Biology (WHOI), Department of","THORROLD, SIMON",370187,1,0,0,0,2,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,0,0,0,0,2,0,0
"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,1,0,0,0,0,0,0
