Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of",Massachusetts Institute of Technology,"Geology and Geophysics, Department of",33,236,0,0,64,4,0,0
"Geology and Geophysics, Department of",Alfred University,"Environmental Studies, Program in",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Alfred University,"Geology, Program in",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Arizona State University,"Life Sciences, School of",3,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",Arizona State University,"Earth and Space Exploration, School of",6,9,0,0,1,0,0,0
"Geology and Geophysics, Department of",Arizona State University,"Molecular Sciences, School of",2,5,0,0,1,0,0,0
"Geology and Geophysics, Department of",Arizona State University,"Teachers College, Mary Lou Fulton",1,2,0,0,1,0,0,0
"Geology and Geophysics, Department of",Arizona State University,"Ocean Futures, School of",2,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",Auburn University,"Geosciences, Department of",1,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",Boston College,"Earth and Environmental Sciences, Department of",1,5,0,0,3,2,0,0
"Geology and Geophysics, Department of",Boston University,"Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Boston University,"Earth and Environment, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Brown University,"Earth, Environmental, and Planetary Sciences, Department of",5,8,0,0,2,0,0,0
"Geology and Geophysics, Department of",California Institute of Technology,"Astronomy, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",California Institute of Technology,"Mechanical and Civil Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",California Institute of Technology,"Geological and Planetary Sciences, Division of",12,19,0,0,4,0,0,0
"Geology and Geophysics, Department of",California Institute of Technology,"Environmental Science and Engineering, Department of",3,6,0,0,0,0,0,0
"Geology and Geophysics, Department of",Clemson University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Clemson University,"Forestry and Environmental Conservation, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","College of William & Mary, The","Marine Science, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Colorado School of Mines,"Geology and Geological Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Colorado School of Mines,"Geophysics, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Colorado State University,"Geosciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Colorado State University,"Soil and Crop Sciences, Department of",2,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Columbia University,"Earth and Environmental Sciences, Department of",8,10,0,0,2,0,0,0
"Geology and Geophysics, Department of",Columbia University,"International and Public Affairs, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Cornell University,"Astronomy, Department of",2,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",Cornell University,"Earth and Atmospheric Sciences, Department of",3,5,0,0,1,0,0,0
"Geology and Geophysics, Department of",Duke University,"Earth and Climate Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Duke University,"Marine Science and Conservation, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Florida State University,"Earth, Ocean and Atmospheric Science, Department of",3,5,0,0,2,0,0,0
"Geology and Geophysics, Department of",George Mason University,"Atmospheric, Oceanic and Earth Sciences, Department of",2,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",Georgia Institute of Technology,"Civil and Environmental Engineering, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Georgia Institute of Technology,"Earth and Atmospheric Sciences, School of",2,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",Georgia State University,"Geosciences, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Harvard University,"Organismic and Evolutionary Biology, Department of",1,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",Indiana State University,"Earth and Environmental Systems, Department of",1,0,0,0,1,0,0,0
"Geology and Geophysics, Department of",Indiana University - Indianapolis,"Earth Sciences, Department of",1,0,0,0,2,0,0,0
"Geology and Geophysics, Department of",Iowa State University,"Geological and Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Johns Hopkins University,"Earth and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Kent State University,"Earth Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Lehigh University,"Earth and Environmental Sciences, Department of",2,2,0,0,1,0,0,0
"Geology and Geophysics, Department of",Louisiana State University,"Geology and Geophysics, Department of",3,2,0,0,1,0,0,0
"Geology and Geophysics, Department of",Louisiana State University,"Renewable Natural Resources, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","Louisiana State University Health Sciences Center, New Orleans","Environmental Health, Climate and Sustainability, Program in",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Miami University,"Microbiology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Miami University,"Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Michigan State University,"Biochemistry and Molecular Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Michigan State University,"Plant, Soil, and Microbial Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Michigan State University,"Earth and Environmental Sciences, Department of",3,5,0,0,0,0,0,0
"Geology and Geophysics, Department of",Michigan State University,"Microbiology, Genetics, and Immunology, Department of",1,3,0,0,0,0,0,0
"Geology and Geophysics, Department of",Michigan State University,"Computational Mathematics, Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Michigan Technological University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Montana State University,"Chemistry and Biochemistry, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Montana State University,"Earth Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Montana State University,"Microbiology and Cell Biology, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",New Mexico Institute of Mining and Technology,Earth and Environmental Science Department,2,1,0,0,1,0,0,0
"Geology and Geophysics, Department of",North Carolina State University,"Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",North Carolina State University,"Civil, Construction and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",North Carolina State University,"Marine, Earth and Atmospheric Sciences, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Northeastern University,"Marine and Environmental Sciences, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Northeastern University,"Health Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Northern Arizona University,"Earth and Sustainability, School of",4,7,0,0,0,0,0,0
"Geology and Geophysics, Department of",Northwestern University,"Earth and Planetary Science, Department of",1,0,0,0,2,0,0,0
"Geology and Geophysics, Department of",Oakland University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Oakland University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","Ohio State University, The","Civil, Environmental and Geodetic Engineering, Department of",1,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","Ohio State University, The","Earth Sciences, School of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","Ohio State University, The","Geography, Department of",1,3,0,0,0,0,0,0
"Geology and Geophysics, Department of","Ohio State University, The","Microbiology, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Oklahoma State University,"Geology, School of",2,1,0,0,3,0,0,0
"Geology and Geophysics, Department of",Oklahoma State University,"Microbiology and Molecular Genetics, Department of",2,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Old Dominion University,"Ocean and Earth Sciences, Department of",2,10,0,0,0,0,0,0
"Geology and Geophysics, Department of",Oregon State University,"Botany and Plant Pathology, Department of",3,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Oregon State University,"Geosciences, Department of",4,7,0,0,2,0,0,0
"Geology and Geophysics, Department of",Oregon State University,"Microbiology, Department of",2,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",Oregon State University,"Earth, Ocean, and Atmospheric Sciences, College of",4,4,0,0,0,0,0,0
