Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,"DONNELLY, JEFFREY",287561,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"EDGCOMB, VIRGINIA",544617,2,0,0,1,1,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"LE ROUX, VERONIQUE",779092,1,0,0,0,2,0,0
"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,"MCCORKLE, DANIEL",288634,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,"COLLINS, JOHN",544616,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,"GIOSAN, LIVIU",287820,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","CANALES, JUAN PABLO",287223,"LIZARRALDE, DANIEL",288497,1,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"DONNELLY, JEFFREY",287561,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"HORTON, FORREST",919209,2,0,0,0,1,0,0
"Geology and Geophysics, Department of","COHEN, ANNE",287363,"OPPO, DELIA",288857,2,0,0,0,1,0,0
"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,"ASHTON, ANDREW",287030,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,"COHEN, ANNE",287363,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,"CONDRON, ALAN",749266,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,"EVANS, ROBERT",287680,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","DONNELLY, JEFFREY",287561,"GIOSAN, LIVIU",287820,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","EVANS, ROBERT",287680,"COLLINS, JOHN",544616,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","EVANS, ROBERT",287680,"DONNELLY, JEFFREY",287561,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","EVANS, ROBERT",287680,"LIZARRALDE, DANIEL",288497,2,0,0,0,0,0,0
"Geology and Geophysics, Department of","EVANS, ROBERT",287680,"RYCHERT, CATHERINE",1806572,0,0,0,0,1,0,0
"Geology and Geophysics, Department of","GAETANI, GLENN",287757,"LE ROUX, VERONIQUE",779092,1,0,0,0,1,0,0
