Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
History Section,Massachusetts Institute of Technology,History Section,4,4,0,0,0,0,0,0
History Section,"College of William & Mary, The","Government, Department of",1,1,0,0,0,0,0,0
History Section,Dartmouth College,"History, Department of",1,1,0,0,0,0,0,0
History Section,George Mason University,"History and Art History, Department of",1,1,0,0,0,0,0,0
History Section,George Mason University,"Modern and Classical Languages, Department of",1,1,0,0,0,0,0,0
History Section,"University of Chicago, The","South Asian Languages and Civilizations, Department of",1,1,0,0,0,0,0,0
History Section,"University of Kansas, The","History, Department of",1,1,0,0,0,0,0,0
History Section,University of Nebraska - Lincoln,"History, Department of",1,1,0,0,0,0,0,0
History Section,"University of Vermont, The","History, Department of",1,1,0,0,0,0,0,0
History Section,Wayne State University,"History, Department of",1,1,0,0,0,0,0,0
History Section,Hofstra University,"History, Department of",1,1,0,0,0,0,0,0
