Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
History Section,"AIYAR, SANA",413077,,,,,,,,,
History Section,"BLACK, MEGAN A",814237,,,,,,,,,
History Section,"BROADHEAD, WILLIAM",395012,,,,,,,,,
History Section,"BROWN, TRISTAN G",1108344,,,,,,,,,
History Section,"CAPOZZOLA, CHRISTOPHER",395013,,,,,,,,,
History Section,"CHUNG, EMMA TENG",412299,,,,,,,,,
History Section,"CLARK, CATHERINE",627141,,,,,,,,,
History Section,"EKMEKCIOGLU, LERNA",488083,,,,,,,,,
History Section,"GHACHEM, MALICK",627143,,,,,,,,,
History Section,"GOLDBERG, ERIC J",412304,,,,,,,,,
History Section,"HORAN, CALEY D",789748,,,,,,,,,
History Section,"KARS, MARJOLEINE",353417,,,,,,,,,
History Section,"KEMPF, ELENA",2157268,,,,,,,,,
History Section,"KHOURY, PHILIP S",395017,,,,,,,,,
History Section,"MCCANTS, ANNE E. C",395019,,,,,,,,,
History Section,"MUTONGI, KENDA",1108328,,,,,,,,,
History Section,"NAGAHARA, HIROMU",488084,,,,,,,,,
History Section,"PADILLA, TANALIS",382626,,,,,,,,,
History Section,"RAVEL, JEFFREY S",395020,,,,,,,,,
History Section,"RITVO, HARRIET",395021,,,,,,,,,
History Section,"WILDER, CRAIG S",395023,,,,,,,,,
History Section,"WOOD, ELIZABETH A",395024,,,,,,,,,
History Section,"ZWIERLEIN, SUSANNE",1977472,,,,,,,,,
