Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Massachusetts Institute of Technology,"ANGRIST, JOSHUA",4478,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Massachusetts Institute of Technology,"DAHLEH, MUNTHER A",26320,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Massachusetts Institute of Technology,"SHAH, DEVAVRAT",122541,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Massachusetts Institute of Technology,"VEERAMACHANENI, KALYAN",1278823,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Michigan State University,"WOOLDRIDGE, JEFFREY M",172578,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Princeton University,"CATTANEO, MATIAS DAMIAN",250720,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Stanford University,"ATHEY, SUSAN",4462,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Stanford University,"IMBENS, GUIDO W",525284,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,Stanford University,"SPIESS, JANN",958855,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,"University of California, Davis","SHEN, SHU",398720,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Brigham Young University,"HOLT-LUNSTAD, JULIANNE",49830,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Cornell University,"GIOMETTO, ANDREA",1268749,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Cornell University,"PARISE, FRANCESCA",836963,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Dartmouth College,"SIDERIUS, JAMES",1959501,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Duke University,"MAKHDOUMI, ALI",866917,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Harvard University,"LAIBSON, DAVID I",57967,0,3,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"AHMED, FAEZ",1108346,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"AUTOR, DAVID H",131945,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"CHERNOZHUKOV, VICTOR V",20338,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"HUTTENLOCHER, DANIEL",235894,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"JOHNSON, SIMON",62732,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"OZDAGLAR, ASUMAN E",159339,6,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"WERNING, IVAN",128824,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"WHINSTON, MICHAEL DENNIS",114534,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Massachusetts Institute of Technology,"WOLITZKY, ALEXANDER GREENBERG",525294,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Michigan State University,"GREENHOW, CHRISTINE M",529881,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,New York University,"VAN BAVEL, JAY",184185,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,Northwestern University,"TAHBAZ-SALEHI, ALIREZA",408443,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of California, Los Angeles","RAFEY, WILL",1490772,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of Chicago, The","AKCIGIT, UFUK",347663,1,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of Chicago, The","LIST, JOHN",93599,0,1,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of Chicago, The","PATTERSON, CHRISTINA",1312807,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of Chicago, The","ROBINSON, JAMES A",240678,2,1,1,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of Maryland, College Park","HALTIWANGER, JOHN C",44203,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,University of Massachusetts Boston,"KUNZ, WERNER H",546009,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,University of Michigan,"DAVIS, GERALD F",139005,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,"University of Minnesota, Twin Cities","AKGUN, SELIN",2081919,1,0,0,0,0,0,0
