Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Institute for Data, Systems, and Society (IDSS)","ARAL, SINAN KAYHAN",3529,"Institute for Data, Systems, and Society (IDSS)","ECKLES, DEAN GRIFFIN",789753,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,"Electrical Engineering and Computer Sciences, Department of","KARGER, DAVID R",57526,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,"Management, Sloan School of","LU, GUANNAN",856131,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,"Institute for Data, Systems, and Society (IDSS)","RAND, DAVID GERTLER",540961,13,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,"Institute for Data, Systems, and Society (IDSS)","YAMAMOTO, TEPPEI",488106,2,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,"Institute for Data, Systems, and Society (IDSS)","ACEMOGLU, DARON DARON",286887,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,"Institute for Data, Systems, and Society (IDSS)","NEWEY, WHITNEY K",83855,5,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,"Economics, Department of","WERNING, IVAN",128824,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,"Economics, Department of","WHINSTON, MICHAEL DENNIS",114534,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Institute for Data, Systems, and Society (IDSS)","CARLONE, LUCA",827382,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","CRAWLEY, EDWARD F",22177,0,0,0,3,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","HART, DOUGLAS",51803,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Institute for Data, Systems, and Society (IDSS)","HASTINGS, DANIEL E",45995,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","HOFFMAN, JEFFREY A",56423,0,0,1,12,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","KIM, SANGBAE",288319,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,2,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","LEONARD, JOHN J",60042,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Architecture, Department of","OCHSENDORF, JOHN A",87416,2,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Electrical Engineering and Computer Sciences, Department of","SCHINDALL, JOEL E",121795,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","TRUMPER, DAVID L",109735,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","WOOD, DANIELLE RENEE",827389,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","YANG, MARIA",100078,3,0,1,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","BONATTI, ALESSANDRO",370160,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","BROWN, EMERY NEAL",176268,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,1,0,0,1,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","POLYANSKIY, YURY",488081,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","RIGOBON, ROBERTO",162469,0,0,1,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","ROOZBEHANI, MARDAVIJ",939629,3,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","VEERAMACHANENI, KALYAN",1278823,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"Institute for Data, Systems, and Society (IDSS)","WU, CATHY",1108290,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","GAMARNIK, DAVID",42291,"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","GAMARNIK, DAVID",42291,"Institute for Data, Systems, and Society (IDSS)","TSITSIKLIS, JOHN N",109910,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","HASTINGS, DANIEL E",45995,"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,10,0,0,2,1,1,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Electrical Engineering and Computer Sciences, Department of","CARBIN, MICHAEL JAMES",824718,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Chemical Engineering, Department of","COLEY, CONNOR WILSON",1092832,1,0,0,0,0,1,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Biological Engineering, Department of","COLLINS, JAMES J",632090,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Materials Science and Engineering, Department of","GOMEZ-BOMBARELLI, RAFAEL",827387,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Chemical Engineering, Department of","GREEN, WILLIAM H",144767,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Institute for Data, Systems, and Society (IDSS)","JEGELKA, STEFANIE SABRINA",789740,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,3,0,0,0,0,1,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Materials Science and Engineering, Department of","LI, JU",488102,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Nuclear Science and Engineering, Department of","LI, MINGDA",919224,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Electrical Engineering and Computer Sciences, Department of","MATUSIK, WOJCIECH",488080,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Materials Science and Engineering, Department of","OLIVETTI, ELSA A",779104,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Biology, Department of","OVCHINNIKOV, SERGEY",2157263,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Electrical Engineering and Computer Sciences, Department of","RINARD, MARTIN C",79281,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Electrical Engineering and Computer Sciences, Department of","SOLAR LEZAMA, ARMANDO",289378,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","JAAKKOLA, TOMMI S",50192,"Institute for Data, Systems, and Society (IDSS)","UHLER, CAROLINE",789741,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Mechanical Engineering, Department of","BISCHOFBERGER, IRMGARD",827641,3,0,0,0,0,1,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Institute for Data, Systems, and Society (IDSS)","CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,0,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,1,0,0,1,1,0,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Electrical Engineering and Computer Sciences, Department of","GHASSEMI, MARZYEH",836383,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Institute for Data, Systems, and Society (IDSS)","CARLONE, LUCA",827382,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,Institute for Medical Engineering and Science (IMES),"CELI, LEO ANTHONY G",630714,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Institute for Data, Systems, and Society (IDSS)","CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Management, Sloan School of","FARIAS, VIVEK F",176116,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Management, Sloan School of","LEVI, RETSEF",67313,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Institute for Data, Systems, and Society (IDSS)","MOSSEL, ELCHANAN",750286,2,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Management, Sloan School of","PERAKIS, GEORGIA",91824,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","JADBABAIE-MOGHADAM, ALI",60885,"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,8,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Electrical Engineering and Computer Sciences, Department of","DAVIS, RANDALL",139047,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Economics, Department of","GRUBER, JONATHAN",41010,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Management, Sloan School of","MERTON, ROBERT",412353,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Institute for Data, Systems, and Society (IDSS)","RIGOBON, ROBERTO",162469,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","MADNICK, STUART E",72230,"Institute for Data, Systems, and Society (IDSS)","CHOUCRI, NAZLI",137033,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","MADNICK, STUART E",72230,"Management, Sloan School of","SIEGEL, MICHAEL D",289340,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","NEWEY, WHITNEY K",83855,"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,5,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","STERMAN, JOHN",87196,"Institute for Data, Systems, and Society (IDSS)","RAHMANDAD, HAZHIR",161522,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","STERMAN, JOHN",87196,"Management, Sloan School of","REPENNING, NELSON",97260,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","WIN, MOE Z",98141,"Institute for Data, Systems, and Society (IDSS)","BERTSEKAS, DIMITRI P",1079557,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","ROY, DEB K",99490,"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ROY, DEB K",99490,"Electrical Engineering and Computer Sciences, Department of","KIM, YOON",1351835,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","ROY, DEB K",99490,"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","TSITSIKLIS, JOHN N",109910,"Institute for Data, Systems, and Society (IDSS)","GAMARNIK, DAVID",42291,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PARRILO, PABLO A",115030,"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","PARRILO, PABLO A",115030,"Institute for Data, Systems, and Society (IDSS)","MOITRA, ANKUR",627159,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","PARRILO, PABLO A",115030,"Institute for Data, Systems, and Society (IDSS)","OZDAGLAR, ASUMAN E",159339,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PARRILO, PABLO A",115030,"Aeronautics and Astronautics, Department of","TEDRAKE, RUSSELL L",168635,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Institute for Data, Systems, and Society (IDSS)","ALMAATOUQ, ABDULLAH",1084678,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Electrical Engineering and Computer Sciences, Department of","KIM, YOON",1351835,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Media Arts and Sciences, Program in","LARSON, KENT",288398,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Media Arts and Sciences, Program in","RAHNAMA, HOSSEIN",2138402,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Institute for Data, Systems, and Society (IDSS)","RAND, DAVID GERTLER",540961,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Institute for Data, Systems, and Society (IDSS)","ROY, DEB K",99490,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,"Political Science, Department of","TSAI, LILY L",169526,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Institute for Data, Systems, and Society (IDSS)","ABADIE, ALBERTO",241039,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,0,0,0,0,0,2,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,Institute for Medical Engineering and Science (IMES),"CELI, LEO ANTHONY G",630714,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Management, Sloan School of","FARIAS, VIVEK F",176116,2,0,0,0,1,2,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Institute for Data, Systems, and Society (IDSS)","GAMARNIK, DAVID",42291,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","SHAH, DEVAVRAT",122541,"Institute for Data, Systems, and Society (IDSS)","HOSOI, ANETTE E",50247,1,0,0,0,0,0,0
