Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Institute for Data, Systems, and Society (IDSS)",Massachusetts Institute of Technology,"Institute for Data, Systems, and Society (IDSS)",89,825,15,1,178,6,57,1
"Institute for Data, Systems, and Society (IDSS)",University of Massachusetts Boston,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Massachusetts Boston,"Marketing, Department of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Oklahoma,"Computer Science, School of",1,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Biology, Department of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Computer and Information Science, Department of",2,5,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Electrical and Systems Engineering, Department of",1,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Finance, Department of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Mechanical Engineering and Applied Mechanics, Department of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Operations, Information and Decisions, Department of",5,9,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Political Science, Department of",4,6,0,1,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Statistics, Department of",1,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)",University of Pennsylvania,"Communication, School for",2,6,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","University of California, Los Angeles","Management, School of",1,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","University of California, Los Angeles","Computer Science, Department of",3,4,1,0,2,0,15,0
"Institute for Data, Systems, and Society (IDSS)","University of California, Los Angeles","Economics, Department of",4,6,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","University of California, Los Angeles","Electrical and Computer Engineering, Department of",3,1,1,0,2,0,15,0
"Institute for Data, Systems, and Society (IDSS)","University of California, Los Angeles","Mechanical and Aerospace Engineering, Department of",3,3,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)","University of California, Los Angeles","Political Science, Department of",3,3,0,0,0,0,0,0
