Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Institute for Data, Systems, and Society (IDSS)","Institute for Data, Systems, and Society (IDSS)",62,78,0,2,27,13,1,0
"Institute for Data, Systems, and Society (IDSS)","Aeronautics and Astronautics, Department of",14,22,0,1,27,2,2,0
"Institute for Data, Systems, and Society (IDSS)",Anthropology Program,1,1,0,0,1,1,0,0
"Institute for Data, Systems, and Society (IDSS)","Architecture, Department of",5,7,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","Biological Engineering, Department of",5,7,0,0,0,0,1,1
"Institute for Data, Systems, and Society (IDSS)","Biology, Department of",2,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","Brain and Cognitive Sciences, Department of",10,16,0,0,1,2,4,1
"Institute for Data, Systems, and Society (IDSS)","Chemical Engineering, Department of",4,4,0,0,0,0,2,0
"Institute for Data, Systems, and Society (IDSS)","Chemistry, Department of",3,2,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","Civil and Environmental Engineering, Department of",9,10,0,0,2,1,0,0
"Institute for Data, Systems, and Society (IDSS)",Comparative Media Studies/Writing Section,1,2,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)","Earth, Atmospheric and Planetary Sciences, Department of",3,1,0,0,1,2,0,0
"Institute for Data, Systems, and Society (IDSS)","Economics, Department of",10,17,2,1,0,0,0,1
"Institute for Data, Systems, and Society (IDSS)","Electrical Engineering and Computer Sciences, Department of",46,46,0,0,44,13,16,0
"Institute for Data, Systems, and Society (IDSS)",Institute for Medical Engineering and Science (IMES),10,27,0,0,13,2,3,0
"Institute for Data, Systems, and Society (IDSS)","Management, Sloan School of",21,20,0,0,4,1,2,0
"Institute for Data, Systems, and Society (IDSS)","Materials Science and Engineering, Department of",7,4,0,0,2,1,0,0
"Institute for Data, Systems, and Society (IDSS)","Mathematics, Department of",3,0,0,0,2,4,0,0
"Institute for Data, Systems, and Society (IDSS)","Mechanical Engineering, Department of",20,19,0,1,11,0,5,0
"Institute for Data, Systems, and Society (IDSS)","Media Arts and Sciences, Program in",6,9,0,0,3,0,0,1
"Institute for Data, Systems, and Society (IDSS)","Nuclear Science and Engineering, Department of",5,5,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","Physics, Department of",10,189,0,0,2,1,0,0
"Institute for Data, Systems, and Society (IDSS)","Political Science, Department of",2,5,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","Urban Studies and Planning, Department of",9,8,1,0,2,1,0,0
