Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Institute for Data, Systems, and Society (IDSS)","ARAL, SINAN KAYHAN",3529,"ECKLES, DEAN GRIFFIN",789753,3,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,"RAND, DAVID GERTLER",540961,13,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,"YAMAMOTO, TEPPEI",488106,2,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,"ACEMOGLU, DARON DARON",286887,1,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","CHERNOZHUKOV, VICTOR V",20338,"NEWEY, WHITNEY K",83855,5,0,0,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"CARLONE, LUCA",827382,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DE WECK, OLIVIER L",25387,"HASTINGS, DANIEL E",45995,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"ABADIE, ALBERTO",241039,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"BONATTI, ALESSANDRO",370160,1,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"BROWN, EMERY NEAL",176268,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"HOSOI, ANETTE E",50247,1,0,0,1,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"POLYANSKIY, YURY",488081,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"RIGOBON, ROBERTO",162469,0,0,1,0,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"ROOZBEHANI, MARDAVIJ",939629,3,0,0,2,0,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"SHAH, DEVAVRAT",122541,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"VEERAMACHANENI, KALYAN",1278823,0,0,0,0,1,0,0
"Institute for Data, Systems, and Society (IDSS)","DAHLEH, MUNTHER A",26320,"WU, CATHY",1108290,0,0,0,1,0,0,0
"Institute for Data, Systems, and Society (IDSS)","GAMARNIK, DAVID",42291,"SHAH, DEVAVRAT",122541,0,0,0,0,1,0,0
