Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Institute for Medical Engineering and Science (IMES),"ADALSTEINSSON, ELFAR",112328,Florida Institute of Technology,"LI, XIANQI",1587058,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ADALSTEINSSON, ELFAR",112328,Massachusetts Institute of Technology,"DANIEL, LUCA",138781,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"ADALSTEINSSON, ELFAR",112328,Massachusetts Institute of Technology,"GOLLAND, POLINA",144262,5,0,0,8,0,0,0
Institute for Medical Engineering and Science (IMES),"ADALSTEINSSON, ELFAR",112328,Massachusetts Institute of Technology,"WHITE, JACOB K",96690,7,0,0,11,0,0,0
Institute for Medical Engineering and Science (IMES),"ADALSTEINSSON, ELFAR",112328,Vanderbilt University,"MOYER, DANIEL",1782526,1,0,0,4,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Boston University,"VEGAS, ARTURO",803833,1,0,0,0,0,27,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Brown University,"RAIMONDO, THERESA M",1970442,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Carnegie Mellon University,"WHITEHEAD, KATHRYN A",540715,0,0,0,0,0,8,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Clemson University,"MEI, YING",527025,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Cornell University,"MA, MINGLIN",579323,1,0,0,0,0,18,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Cornell University,"PUTNAM, DAVID A",95062,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Emory University,"DAHLMAN, JAMES",779200,1,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Icahn School of Medicine at Mount Sinai,"DONG, YIZHOU",638769,1,0,0,0,0,12,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Johns Hopkins University,"DOLOFF, JOSHUA",836276,1,0,0,0,0,14,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"BHATIA, SANGEETA N",8219,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"BLANKSCHTEIN, EDMUNDO D",287136,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"JACKS, TYLER E",50211,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"JASANOFF, ALAN PRADIP",61378,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"KARNIK, ROHIT",64348,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"LANGER, ROBERT S",83112,17,0,0,0,0,62,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"SHALEK, ALEXANDER K",779118,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"TRAVERSO, CARLO GIOVANNI",1108308,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Northeastern University,"AMIJI, MANSOOR",3656,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Northwestern University,"VOLPATTI, LISA RAE",2115704,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Oregon State University,"SAHAY, GAURAV",748751,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Prairie View A&M University,"KIM, SEUNGCHAN",54545,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Rice University,"BAO, GANG",303870,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Rice University,"VEISEH, OMID",832523,1,0,0,0,0,15,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Rowan University,"RILEY, RACHEL",1100999,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Stanford University,"APPEL, ERIC A",808708,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Stanford University,"CHANG, HOWARD Y",19137,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Temple University,"WANG, KARIN",865258,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,"University of California, Davis","TARANTAL, ALICE F",89162,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,"University of California, Irvine","LIU, WENDY F",339303,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,"University of California, Los Angeles","KOHN, DONALD B",204790,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,"University of California, Riverside","WONG, BRYAN M",603748,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Massachusetts Medical School,"GAO, GUANGPING",332462,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Massachusetts Medical School,"XIE, JUN",1586999,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of North Carolina at Chapel Hill,"FENTON, OWEN SHEA",836335,1,0,0,0,0,4,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Notre Dame,"WEBBER, MATTHEW J",789050,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Oklahoma,"RAJI, IDRIS OLAWALE",2157395,4,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Pennsylvania,"MITCHELL, MICHAEL",836839,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Pittsburgh,"TAO, JUNYAN",804053,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Wisconsin - Madison,"HAI, AVIAD",937020,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Wisconsin - Madison,"HONG, SEUNGPYO",147508,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,University of Wisconsin - Madison,"LYNN, DAVID M",277969,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,Worcester Polytechnic Institute,"YANG, JIAWEI",1911335,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Boston College,"HIRA, AVNEET",1448559,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Boston College,"RANGER, BRYAN",1448560,2,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Boston College,"SMITH, BRIAN",188516,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Massachusetts Institute of Technology,"BONING, DUANE S",11597,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Massachusetts Institute of Technology,"DANIEL, LUCA",138781,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Massachusetts Institute of Technology,"EDELMAN, ELAZER R",140709,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Massachusetts Institute of Technology,"HERR, HUGH M",47614,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Massachusetts Institute of Technology,"SO, PETER T. C",14958,0,0,0,1,1,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Massachusetts Institute of Technology,"SODINI, CHARLES G",166619,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,Tufts University,"MALLIDI, SRIVALLEESHA",999240,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,University of Massachusetts Amherst,"DU, XIAN",838215,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Harvard University,"WEISSLEDER, RALPH",114200,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Indiana University - Bloomington,"SKRABALAK, SARA E",263663,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Massachusetts Institute of Technology,"EDELMAN, ELAZER R",140709,2,0,0,0,0,7,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Northwestern University,"HERSAM, MARK",54582,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Northwestern University,"KHULLER, SAMIR",59992,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Northwestern University,"MIRKIN, CHAD A",69911,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Pennsylvania State University - University Park,"SCHAAK, RAYMOND EDWARD",188728,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Rice University,"NORDLANDER, PETER J",191335,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Stanford University,"CHUEH, WILLIAM",525309,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,Texas Tech University Health Sciences Center,"LA-BECK, IRENE",1586976,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,"University of California, Berkeley","JAVEY, ALI",61393,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,"University of California, Los Angeles","DI CARLO, DINO",313591,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,"University of California, Los Angeles","NARANG, PRINEHA",859323,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,"University of Chicago, The","TIAN, BOZHI",519997,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,University of Colorado Denver,"ANCHORDOQUY, TOM",499004,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,University of Colorado Denver,"SIMBERG, DMITRI",607907,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,University of Houston,"LEE, T RANDALL",66554,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"ARTZI, NATALIE",630568,University of Michigan,"GLOTZER, SHARON C",39961,1,0,0,0,0,0,0
