Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,0,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","CARBIN, MICHAEL JAMES",824718,0,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Chemical Engineering, Department of","COLEY, CONNOR WILSON",1092832,5,0,0,1,0,1,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,Institute for Medical Engineering and Science (IMES),"COLLINS, JAMES J",632090,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","GHOBADI, MANYA",856148,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Materials Science and Engineering, Department of","GOMEZ-BOMBARELLI, RAFAEL",827387,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Chemical Engineering, Department of","GREEN, WILLIAM H",144767,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","JAAKKOLA, TOMMI S",50192,10,0,0,2,1,1,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","JEGELKA, STEFANIE SABRINA",789740,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,4,0,0,0,1,1,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","KATABI, DINA",53288,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Materials Science and Engineering, Department of","LI, JU",488102,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","MATUSIK, WOJCIECH",488080,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","MEDARD, MURIEL",106318,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Materials Science and Engineering, Department of","OLIVETTI, ELSA A",779104,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Chemical Engineering, Department of","OLSEN, BRADLEY D",412248,0,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Biology, Department of","OVCHINNIKOV, SERGEY",2157263,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","RINARD, MARTIN C",79281,0,0,0,0,1,1,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","SOLAR LEZAMA, ARMANDO",289378,0,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Electrical Engineering and Computer Sciences, Department of","UHLER, CAROLINE",789741,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"Biology, Department of","YOUNG, RICHARD A",100462,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Chemical Engineering, Department of","COLEY, CONNOR WILSON",1092832,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biological Engineering, Department of","ENGELWARD, BEVIN P",141156,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Chemical Engineering, Department of","HAMMOND, PAULA T",145732,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Brain and Cognitive Sciences, Department of","HOCKFIELD, SUSAN",412327,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biology, Department of","JACKS, TYLER E",50211,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biological Engineering, Department of","KOEHLER, ANGELA NICOLE",779088,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Chemical Engineering, Department of","LOVE, JOHN C",63580,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,Institute for Medical Engineering and Science (IMES),"SHALEK, ALEXANDER K",779118,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Chemical Engineering, Department of","SIKES JOHNSON, HADLEY",412250,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biology, Department of","VANDER HEIDEN, MATTHEW G",412247,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biological Engineering, Department of","WITTRUP, KARL DANE",115935,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"Biological Engineering, Department of","YAFFE, MICHAEL B",99938,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"CHAKRABORTY, ARUP K",17819,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"CHAKRABORTY, ARUP K",17819,"Physics, Department of","KARDAR, MEHRAN",57520,5,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"CHAKRABORTY, ARUP K",17819,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,2,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"CHAKRABORTY, ARUP K",17819,"Biology, Department of","YOUNG, RICHARD A",100462,2,0,0,0,2,0,0
Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,Institute for Medical Engineering and Science (IMES),"BROWN, EMERY NEAL",176268,1,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,Institute for Medical Engineering and Science (IMES),"COLLINS, JAMES J",632090,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,17,0,0,0,0,62,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Chemistry, Department of","BAWENDI, MOUNGI G",6075,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Biological Engineering, Department of","BELCHER, ANGELA M",7658,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Chemical Engineering, Department of","BLANKSCHTEIN, EDMUNDO D",287136,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Biological Engineering, Department of","BOYDEN, EDWARD",12578,0,0,0,0,0,20,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Materials Science and Engineering, Department of","CIMA, MICHAEL J",20524,1,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Media Arts and Sciences, Program in","DAGDEVIREN, CANAN",827696,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Management, Sloan School of","FARIAS, VIVEK F",176116,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Electrical Engineering and Computer Sciences, Department of","FUJIMOTO, JAMES G",41191,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Electrical Engineering and Computer Sciences, Department of","HAGELSTEIN, PETER L",43792,0,0,0,0,0,7,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Biology, Department of","JACKS, TYLER E",50211,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Biological Engineering, Department of","JASANOFF, ALAN PRADIP",61378,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,1,0,0,0,0,7,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Chemistry, Department of","JOHNSON, JEREMIAH A",488073,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Mechanical Engineering, Department of","KARNIK, ROHIT",64348,0,0,0,0,0,5,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Chemical Engineering, Department of","LOVE, JOHN C",63580,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Chemical Engineering, Department of","OLSEN, BRADLEY D",412248,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Mechanical Engineering, Department of","RAMAN, RITU",837032,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,Institute for Medical Engineering and Science (IMES),"SHALEK, ALEXANDER K",779118,2,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"Mechanical Engineering, Department of","SLOCUM, ALEXANDER H",123583,0,0,0,0,0,2,0
