Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Institute for Medical Engineering and Science (IMES),Massachusetts Institute of Technology,Institute for Medical Engineering and Science (IMES),37,455,3,1,39,7,212,1
Institute for Medical Engineering and Science (IMES),"College of William & Mary, The","Mathematics, Department of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Rice University,"Bioengineering, Department of",5,8,0,0,0,0,19,0
Institute for Medical Engineering and Science (IMES),Rice University,"Chemistry, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Rice University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Rice University,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Rice University,"Mechanical Engineering, Department of",1,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),Rice University,"BioSciences, Department of",2,1,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),George Washington University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Louisville,"Pathology and Laboratory Medicine, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Louisville,"Bioengineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Vanderbilt University,"Cell and Developmental Biology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Vanderbilt University,"Mechanical Engineering, Department of",1,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),Vanderbilt University,"Psychology, Department of",1,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Vanderbilt University,"Computer Science, Department of",1,2,0,0,6,0,0,0
Institute for Medical Engineering and Science (IMES),Vanderbilt University,"Pathology, Microbiology and Immunology, Department of",3,4,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Geography, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Mechanical Engineering, Department of",2,1,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Chemical and Biological Engineering, Department of",2,2,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Integrative Physiology, Department of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Aerospace Engineering Sciences, Department of",1,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Computer Science, Department of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Electrical, Computer, and Energy Engineering, Department of",2,1,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Information Science, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Biochemistry, Department of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Colorado Boulder,"Chemistry, Department of",1,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Rochester,"Biochemistry and Biophysics, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Rochester,"Brain and Cognitive Sciences, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Rochester,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Rochester,"Computer Science, Department of",1,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),University of Rochester,"Pharmacology and Physiology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Missouri,"Food, Nutrition and Exercise Sciences, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Biological Sciences, Department of",1,0,0,0,0,0,3,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Biomedical Engineering, Department of",3,2,0,0,0,0,6,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Biostatistics, Department of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Environmental Health Sciences, Department of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Epidemiology, Department of",2,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Pathology and Cell Biology, Department of",3,2,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Physiology and Cellular Biophysics, Department of",1,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Population and Family Health, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Biomedical Informatics, Department of",7,19,0,0,6,0,0,0
Institute for Medical Engineering and Science (IMES),Columbia University,"Systems Biology, Department of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Alabama at Birmingham, The","Health Behavior, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Alabama at Birmingham, The","Microbiology, Department of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Alabama at Birmingham, The","Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Alabama at Birmingham, The","Computer Science, Department of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Alabama at Birmingham, The","Psychology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Smith College,Neuroscience Program,1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Smith College,"Psychology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Case Western Reserve University,"Biomedical Engineering, Department of",1,7,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Case Western Reserve University,"Pathology, Department of",2,1,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),Worcester Polytechnic Institute,"Mechanical and Materials Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Cold Spring Harbor,"Biological Sciences, School of",3,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Biomedical Engineering, Department of",3,6,0,0,0,0,14,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Biostatistics, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Civil and Systems Engineering, Department of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Computer Science, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Health Policy and Management, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Nursing, School of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,Business School - Operations Management and Business Analytics,1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Bioethics, Berman Institute of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Johns Hopkins University,"Health Sciences Informatics, Division of",2,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Cincinnati, The","Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"University of Cincinnati, The","Mechanical and Materials Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Chemical and Biomolecular Engineering, School of",3,3,0,0,0,0,14,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Chemistry and Biochemistry, School of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Computational Science and Engineering, School of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Electrical and Computer Engineering, School of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Industrial and Systems Engineering, School of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Mechanical Engineering, School of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Interactive Computing, School of",1,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Biomedical Engineering, Department of",5,8,0,0,0,0,15,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Biological Sciences, School of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Georgia Institute of Technology,"Nuclear & Radiological Engineering and Medical Physics, School of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),University of Rhode Island,"Biomedical and Pharmaceutical Sciences, Department of",2,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Pennsylvania State University - University Park,"Architectural Engineering, Department of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Pennsylvania State University - University Park,"Chemistry, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Pennsylvania State University - University Park,"Mathematics, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Pennsylvania State University - University Park,"Neuroscience and Experimental Therapeutics, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Pennsylvania State University - University Park,"Information Sciences and Technology, College of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Cell Biology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Computer Science, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Genetics, Department of",2,1,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),Yale University,"Immunobiology, Department of",3,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Molecular, Cellular and Developmental Biology, Department of",1,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),Yale University,"Neuroscience, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Pathology, Department of",1,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Psychology, Department of",2,5,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),Yale University,"Biostatistics, Department of",2,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),New York University,"Biochemistry and Molecular Pharmacology, Department of",1,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),New York University,"Biology, Department of",3,2,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),New York University,"Computer Science, Department of",1,3,0,0,0,0,0,0
