Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Institute for Medical Engineering and Science (IMES),Institute for Medical Engineering and Science (IMES),26,62,0,0,14,3,74,0
Institute for Medical Engineering and Science (IMES),"Aeronautics and Astronautics, Department of",3,0,0,0,3,0,0,0
Institute for Medical Engineering and Science (IMES),"Biological Engineering, Department of",21,33,0,0,1,4,26,1
Institute for Medical Engineering and Science (IMES),"Biology, Department of",24,34,0,0,1,3,16,0
Institute for Medical Engineering and Science (IMES),"Brain and Cognitive Sciences, Department of",14,26,0,0,0,1,32,1
Institute for Medical Engineering and Science (IMES),"Chemical Engineering, Department of",14,23,0,0,1,1,16,0
Institute for Medical Engineering and Science (IMES),"Chemistry, Department of",3,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"Civil and Environmental Engineering, Department of",3,10,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"Earth, Atmospheric and Planetary Sciences, Department of",1,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"Electrical Engineering and Computer Sciences, Department of",33,44,0,0,24,2,18,0
Institute for Medical Engineering and Science (IMES),"Institute for Data, Systems, and Society (IDSS)",12,18,0,0,5,1,2,0
Institute for Medical Engineering and Science (IMES),"Management, Sloan School of",4,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"Materials Science and Engineering, Department of",9,7,0,0,0,2,0,0
Institute for Medical Engineering and Science (IMES),"Mathematics, Department of",2,9,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"Mechanical Engineering, Department of",13,45,0,0,1,5,48,0
Institute for Medical Engineering and Science (IMES),"Media Arts and Sciences, Program in",7,6,1,0,2,1,21,1
Institute for Medical Engineering and Science (IMES),"Nuclear Science and Engineering, Department of",2,2,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"Physics, Department of",3,6,0,0,0,1,1,0
Institute for Medical Engineering and Science (IMES),"Political Science, Department of",1,2,0,0,0,0,0,0
