Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"COLLINS, JAMES J",632090,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BARZILAY, REGINA",7865,"GRAY, MARTHA L",39725,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"ANDERSON, DANIEL GRIFFITH",412267,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"LANGER, ROBERT S",83112,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BHATIA, SANGEETA N",8219,"SHALEK, ALEXANDER K",779118,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"CHAKRABORTY, ARUP K",17819,"SHARP, PHILLIP A",122664,2,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,"BARZILAY, REGINA",7865,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,"BROWN, EMERY NEAL",176268,1,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"GRAY, MARTHA L",39725,"COLLINS, JAMES J",632090,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"ANDERSON, DANIEL GRIFFITH",412267,17,0,0,0,0,62,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"BHATIA, SANGEETA N",8219,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"EDELMAN, ELAZER R",140709,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"SHALEK, ALEXANDER K",779118,2,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"LANGER, ROBERT S",83112,"SHARP, PHILLIP A",122664,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"SZOLOVITS, PETER",107502,"CELI, LEO ANTHONY G",630714,1,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"SZOLOVITS, PETER",107502,"GHASSEMI, MARZYEH",836383,0,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"ADALSTEINSSON, ELFAR",112328,"GOLLAND, POLINA",144262,5,0,0,8,0,0,0
Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,"CHAKRABORTY, ARUP K",17819,2,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,"LANGER, ROBERT S",83112,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,"ANTHONY, BRIAN",779056,2,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,"ARTZI, NATALIE",630568,2,0,0,0,0,7,0
Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,"BALCELLS-CAMPS, MERCEDES",919213,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,"LANGER, ROBERT S",83112,0,0,0,0,0,2,0
Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,"ROCHE, ELLEN",827687,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"EDELMAN, ELAZER R",140709,"SHALEK, ALEXANDER K",779118,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"GOLLAND, POLINA",144262,"ADALSTEINSSON, ELFAR",112328,5,0,0,8,0,0,0
Institute for Medical Engineering and Science (IMES),"GOLLAND, POLINA",144262,"BOUMA, BRETT E",630658,1,0,0,1,0,0,0
Institute for Medical Engineering and Science (IMES),"MARK, ROGER G",154841,"CELI, LEO ANTHONY G",630714,6,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"MARK, ROGER G",154841,"GHASSEMI, MARZYEH",836383,0,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"MARK, ROGER G",154841,"HELDT, THOMAS",627137,0,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"SODINI, CHARLES G",166619,"ANTHONY, BRIAN",779056,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"SODINI, CHARLES G",166619,"HELDT, THOMAS",627137,3,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"GEHRKE, LEE",176238,"COLLINS, JAMES J",632090,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BROWN, EMERY NEAL",176268,"GRAY, MARTHA L",39725,1,0,0,0,1,0,0
Institute for Medical Engineering and Science (IMES),"BROWN, EMERY NEAL",176268,"HELDT, THOMAS",627137,1,0,0,0,0,0,0
Institute for Medical Engineering and Science (IMES),"BROWN, EMERY NEAL",176268,"LEWIS, LAURA D",938145,1,0,0,0,0,1,0
Institute for Medical Engineering and Science (IMES),"ANDERSON, DANIEL GRIFFITH",412267,"BHATIA, SANGEETA N",8219,1,0,0,0,0,0,0
