Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,Cornell University,"ELLIS, KEVIN M",1582876,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,Massachusetts Institute of Technology,"SOLAR LEZAMA, ARMANDO",289378,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,Massachusetts Institute of Technology,"TENENBAUM, JOSHUA B",108215,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,University of Southern California,"BREISS, CANAAN",1778072,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,Brown University,"FEIMAN, ROMAN",871928,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,Massachusetts Institute of Technology,"FOX, DANIEL",39386,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,Massachusetts Institute of Technology,"HACKL, MARTIN",370158,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,Rutgers - New Brunswick,"SYRETT, KRISTEN L",541321,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","BYRNE, ALEXANDER",176511,Princeton University,"HARMAN, ELIZABETH",145969,0,1,0,0,0,0,0
"Linguistics and Philosophy, Department of","BYRNE, ALEXANDER",176511,Princeton University,"ROSEN, GIDEON AVRAM",120504,0,2,0,0,0,0,0
"Linguistics and Philosophy, Department of","BYRNE, ALEXANDER",176511,"University of California, Los Angeles","SHIFFRIN, SEANA",122890,0,2,0,0,0,0,0
"Linguistics and Philosophy, Department of","DEGRAFF, MICHEL ANNE-FREDERIC",28201,Massachusetts Institute of Technology,"MILLER, HAYNES R",156568,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","DORST, KEVIN MATTHEW",1010159,New York University,"MANDELKERN, MATTHEW",1352113,2,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","DORST, KEVIN MATTHEW",1010159,Northeastern University,"FITELSON, BRANDEN ERIC",364251,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","DORST, KEVIN MATTHEW",1010159,University of Florida,"DORST, CHRISTOPHER",1089134,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","DORST, KEVIN MATTHEW",1010159,University of Illinois at Urbana-Champaign,"LEVINSTEIN, BENJAMIN A",832453,1,0,0,0,0,0,0
