Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Linguistics and Philosophy, Department of","VON FINTEL, KAI",32676,"Linguistics and Philosophy, Department of","IATRIDOU, SABINE",59526,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","FOX, DANIEL",39386,"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","FOX, DANIEL",39386,"Linguistics and Philosophy, Department of","HACKL, MARTIN",370158,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","IATRIDOU, SABINE",59526,"Linguistics and Philosophy, Department of","VON FINTEL, KAI",32676,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","RICHARDS, NORVIN W",79005,"Linguistics and Philosophy, Department of","PESETSKY, DAVID",116435,0,0,0,0,2,0,0
"Linguistics and Philosophy, Department of","PESETSKY, DAVID",116435,"Linguistics and Philosophy, Department of","RICHARDS, NORVIN W",79005,0,0,0,0,2,0,0
"Linguistics and Philosophy, Department of","HACKL, MARTIN",370158,"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","HACKL, MARTIN",370158,"Linguistics and Philosophy, Department of","FOX, DANIEL",39386,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,"Linguistics and Philosophy, Department of","FOX, DANIEL",39386,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,"Linguistics and Philosophy, Department of","HACKL, MARTIN",370158,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,"Electrical Engineering and Computer Sciences, Department of","SOLAR LEZAMA, ARMANDO",289378,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","FLYNN, SUZANNE",142341,"Brain and Cognitive Sciences, Department of","LEVY, ROGER P",205822,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","DEGRAFF, MICHEL ANNE-FREDERIC",28201,"Mathematics, Department of","MILLER, HAYNES R",156568,1,0,0,0,0,0,0
