Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Linguistics and Philosophy, Department of",Massachusetts Institute of Technology,"Linguistics and Philosophy, Department of",12,16,5,0,0,0,0,0
"Linguistics and Philosophy, Department of",Brown University,"Cognitive, Linguistic and Psychological Sciences, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",Cornell University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",Georgia Institute of Technology,"Psychology, School of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",New York University,"Philosophy, Department of",2,2,1,0,0,0,0,0
"Linguistics and Philosophy, Department of",New York University,"Neural Science, Center for",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",Northeastern University,"Philosophy and Religion, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",Northwestern University,"Philosophy, Department of",1,0,1,0,0,0,0,0
"Linguistics and Philosophy, Department of",Princeton University,"Philosophy, Department of",4,2,2,0,0,0,0,0
"Linguistics and Philosophy, Department of",Rutgers - New Brunswick,"Linguistics, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","University of Arizona, The","Philosophy, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","University of California, Irvine","Cognitive Sciences, Department of",1,2,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","University of California, Los Angeles","Philosophy, Department of",1,0,2,0,0,0,0,0
"Linguistics and Philosophy, Department of",University of Florida,"Philosophy, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",University of Illinois at Urbana-Champaign,"Linguistics, Department of",1,0,1,0,0,0,0,0
"Linguistics and Philosophy, Department of",University of Illinois at Urbana-Champaign,"Philosophy, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",University of North Carolina at Chapel Hill,"Philosophy, Department of",1,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of",University of Pennsylvania,"Philosophy, Department of",1,0,1,0,0,0,0,0
"Linguistics and Philosophy, Department of",University of Southern California,"Linguistics, Department of",1,1,0,0,0,0,0,0
