Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Linguistics and Philosophy, Department of","VON FINTEL, KAI",32676,"IATRIDOU, SABINE",59526,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","FOX, DANIEL",39386,"ARAVIND, ATHULYA",1092252,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","FOX, DANIEL",39386,"HACKL, MARTIN",370158,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","IATRIDOU, SABINE",59526,"VON FINTEL, KAI",32676,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","RICHARDS, NORVIN W",79005,"PESETSKY, DAVID",116435,0,0,0,0,2,0,0
"Linguistics and Philosophy, Department of","PESETSKY, DAVID",116435,"RICHARDS, NORVIN W",79005,0,0,0,0,2,0,0
"Linguistics and Philosophy, Department of","HACKL, MARTIN",370158,"ARAVIND, ATHULYA",1092252,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","HACKL, MARTIN",370158,"FOX, DANIEL",39386,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,"FOX, DANIEL",39386,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ARAVIND, ATHULYA",1092252,"HACKL, MARTIN",370158,1,0,0,0,0,0,0
"Linguistics and Philosophy, Department of","ALBRIGHT, ADAM",113505,,,,,,,,,
"Linguistics and Philosophy, Department of","ANVARI, AMIR AHMAD",1473014,,,,,,,,,
"Linguistics and Philosophy, Department of","BERSTLER, SAMANTHA ANN",1284914,,,,,,,,,
"Linguistics and Philosophy, Department of","BYRNE, ALEXANDER",176511,,,,,,,,,
"Linguistics and Philosophy, Department of","DEGRAFF, MICHEL ANNE-FREDERIC",28201,,,,,,,,,
"Linguistics and Philosophy, Department of","DORST, KEVIN MATTHEW",1010159,,,,,,,,,
"Linguistics and Philosophy, Department of","FLEMMING, EDWARD",35486,,,,,,,,,
"Linguistics and Philosophy, Department of","FLYNN, SUZANNE",142341,,,,,,,,,
"Linguistics and Philosophy, Department of","HARE, CASPAR",176510,,,,,,,,,
"Linguistics and Philosophy, Department of","HASLANGER, SALLY",176509,,,,,,,,,
"Linguistics and Philosophy, Department of","HEIM, IRENE R",53545,,,,,,,,,
"Linguistics and Philosophy, Department of","KENSTOWICZ, MICHAEL",150251,,,,,,,,,
"Linguistics and Philosophy, Department of","KEYSER, SAMUEL J",1108299,,,,,,,,,
"Linguistics and Philosophy, Department of","KHOO, JUSTIN DONALD",779084,,,,,,,,,
"Linguistics and Philosophy, Department of","MCGEE, VANN",176516,,,,,,,,,
"Linguistics and Philosophy, Department of","MICHEL, MATTHIAS",1352117,,,,,,,,,
"Linguistics and Philosophy, Department of","MIYAGAWA, SHIGERU",370157,,,,,,,,,
"Linguistics and Philosophy, Department of","OZTURK, ELISE SOPHIA BERSHAD",1508709,,,,,,,,,
"Linguistics and Philosophy, Department of","RAYO FIERRO, AGUSTIN",176515,,,,,,,,,
"Linguistics and Philosophy, Department of","SCHAPIRO, TAMAR",121684,,,,,,,,,
"Linguistics and Philosophy, Department of","SCHWARZSCHILD, ROGER S",84052,,,,,,,,,
"Linguistics and Philosophy, Department of","SETIYA, KIERAN",122493,,,,,,,,,
"Linguistics and Philosophy, Department of","SKOW, BRADFORD",176513,,,,,,,,,
"Linguistics and Philosophy, Department of","SPENCER, JOHN HAVEN",627144,,,,,,,,,
"Linguistics and Philosophy, Department of","STALNAKER, ROBERT",176512,,,,,,,,,
"Linguistics and Philosophy, Department of","STERIADE, DONCA",124669,,,,,,,,,
"Linguistics and Philosophy, Department of","WHITE, ROGER",176518,,,,,,,,,
