Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Literature Section,"ALEXANDRE, SANDY",412270,Dartmouth College,"BROWN, KIMBERLY J",270050,1,0,0,0,0,0,0
Literature Section,"ALEXANDRE, SANDY",412270,Northeastern University,"KIM, EUNSONG",819148,1,0,0,0,0,0,0
Literature Section,"ALEXANDRE, SANDY",412270,Rutgers - New Brunswick,"CORINEALDI, KAYSHA",1971832,1,0,0,0,0,0,0
Literature Section,"BENNETT, JOSHUA",906313,Harvard University,"MCCARTHY, JESSE DYLAN",858414,0,1,0,0,0,0,0
Literature Section,"BRINKEMA, EUGENIE ALEXANDRA",412273,Tulane University,"TERREFE, SELAMAWIT D",874999,1,0,0,0,0,0,0
Literature Section,"BRINKEMA, EUGENIE ALEXANDRA",412273,University of Pennsylvania,"ENG, DAVID L",31757,1,0,0,0,0,0,0
Literature Section,"BRINKEMA, EUGENIE ALEXANDRA",412273,"University of Texas at Austin, The","MATYSIK, TRACIE M",74909,1,0,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,Cornell University,"LEVINE, CAROLINE E",89452,0,8,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,Harvard University,"LI, WAI-YEE",153059,0,1,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,Harvard University,"PUCHNER, HANS MARTIN",390830,0,4,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,Harvard University,"TIAN, XIAOFEI",89938,0,1,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,"University of California, Los Angeles","CHISM, CHRISTINE N",20949,0,1,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,"University of California, Los Angeles","FUCHS, BARBARA",358784,0,5,0,0,0,0,0
Literature Section,"DENECKE, WIEBKE",404736,University of Wisconsin - Madison,"DHARWADKER, VINAY",26642,0,1,0,0,0,0,0
Literature Section,"HENDERSON, DIANA",412344,Boston University,"SIEMON, JAMES",85375,0,4,0,0,0,0,0
Literature Section,"KELLEY, WYN",1304705,University of North Carolina at Chapel Hill,"MARR, TIMOTHY W",400146,0,0,0,0,1,0,0
