Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Literature Section,Massachusetts Institute of Technology,Literature Section,6,2,16,0,0,1,0,0
Literature Section,Boston University,"English, Department of",1,0,4,0,0,0,0,0
Literature Section,Cornell University,"English, Department of",1,0,8,0,0,0,0,0
Literature Section,Dartmouth College,"English and Creative Writing, Department of",1,1,0,0,0,0,0,0
Literature Section,Harvard University,"African and African American Studies, Department of",1,0,1,0,0,0,0,0
Literature Section,Harvard University,"Comparative Literature, Department of",1,0,4,0,0,0,0,0
Literature Section,Harvard University,"East Asian Languages and Civilizations, Department of",2,0,1,0,0,0,0,0
Literature Section,Harvard University,"English, Department of",2,0,5,0,0,0,0,0
Literature Section,Northeastern University,"English, Department of",1,1,0,0,0,0,0,0
Literature Section,Rutgers - New Brunswick,"Latino and Hispanic Caribbean Studies, Department of",1,1,0,0,0,0,0,0
Literature Section,"University of Texas at Austin, The","History, Department of",1,1,0,0,0,0,0,0
Literature Section,Tulane University,"English, Department of",1,1,0,0,0,0,0,0
Literature Section,"University of California, Los Angeles","English, Department of",2,0,6,0,0,0,0,0
Literature Section,"University of California, Los Angeles","Spanish and Portuguese, Department of",1,0,5,0,0,0,0,0
Literature Section,University of North Carolina at Chapel Hill,"American Studies, Department of",1,0,0,0,0,1,0,0
Literature Section,University of Pennsylvania,"English, Department of",1,1,0,0,0,0,0,0
Literature Section,University of Wisconsin - Madison,"English, Department of",1,0,1,0,0,0,0,0
