Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Literature Section,"ALEXANDRE, SANDY",412270,,,,,,,,,
Literature Section,"BAHR, ARTHUR",412271,,,,,,,,,
Literature Section,"BENNETT, JOSHUA",906313,,,,,,,,,
Literature Section,"BRINKEMA, EUGENIE ALEXANDRA",412273,,,,,,,,,
Literature Section,"BUZARD, JAMES",412342,,,,,,,,,
Literature Section,"DENECKE, WIEBKE",404736,,,,,,,,,
Literature Section,"FINCH, LAURA",856146,,,,,,,,,
Literature Section,"FRAMPTON, STEPHANIE",544496,,,,,,,,,
Literature Section,"FULLER, MARY C",412307,,,,,,,,,
Literature Section,"HENDERSON, DIANA",412344,,,,,,,,,
Literature Section,"JACKSON, NOEL B",412308,,,,,,,,,
Literature Section,"KELLEY, WYN",1304705,,,,,,,,,
Literature Section,"MANGRUM, BENJAMIN",1362386,,,,,,,,,
Literature Section,"PERREAU, BRUNO",412266,,,,,,,,,
Literature Section,"RAMAN, SHANKAR",412309,,,,,,,,,
Literature Section,"RESNICK, MARGERY",412301,,,,,,,,,
Literature Section,"RUFFIN, JESSICA LAUREN",1736215,,,,,,,,,
Literature Section,"TAPSCOTT, STEPHEN JAMES",412348,,,,,,,,,
