Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Brigham Young University,"REES, MCKENZIE RAE",1055811,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Carnegie Mellon University,"WEINGART, LAURIE R",114132,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Carnegie Mellon University,"WOOLLEY, ANITA WILLIAMS",228148,1,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Massachusetts Institute of Technology,"BAKKER, MICHIEL ANTON",1998910,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Massachusetts Institute of Technology,"CURHAN, JARED R",24028,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Massachusetts Institute of Technology,"MALONE, THOMAS W",154583,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Massachusetts Institute of Technology,"PENTLAND, ALEX PAUL",115847,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Northeastern University,"SCHWEITZER, SHANE",1977900,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Princeton University,"GRIFFITHS, THOMAS L",202934,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Princeton University,"NARAYANAN, ARVIND",543101,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Purdue University,"YIN, MING",958726,2,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,Stevens Institute of Technology,"SUCHOW, JORDAN",1024673,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,"University of California, Berkeley","SCHROEDER, JULIANA",771967,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,"University of Chicago, The","EVANS, JAMES",32546,1,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,University of Denver,"MORSE, LILY",1025386,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,University of Georgia,"AHN, DAEHWAN",1810205,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,University of Pennsylvania,"HOSANAGAR, KARTIK",147652,0,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,University of Pennsylvania,"WATTS, DUNCAN",1118058,4,0,0,1,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,University of Pittsburgh,"RAHIMIAN, AMIN",837023,2,0,0,0,0,0,0
"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,University of Southern California,"CARNEVALE, PETER J",370088,0,0,0,1,0,0,0
"Management, Sloan School of","ANGELUCCI, CHARLES ANTONIO",786740,Columbia University,"PRAT, ANDREA",523606,1,0,0,0,0,0,0
"Management, Sloan School of","ANGELUCCI, CHARLES ANTONIO",786740,Northwestern University,"SINKINSON, MICHAEL JAMES",534709,1,0,0,0,0,0,0
"Management, Sloan School of","ANGELUCCI, CHARLES ANTONIO",786740,"University of California, Los Angeles","VOIGTLANDER, NICO",358352,1,0,0,0,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Columbia University,"ELMACHTOUB, ADAM",629237,1,0,0,0,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Columbia University,"MA, WILL WEI",979655,0,0,0,1,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Harvard University,"FERREIRA, KRIS JOHNSON",805475,1,0,0,0,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Massachusetts Institute of Technology,"FARIAS, VIVEK F",176116,1,0,0,0,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Massachusetts Institute of Technology,"LEVI, RETSEF",67313,1,0,0,0,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Stanford University,"SABAN, DANIELA",771241,1,0,0,0,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,"University of California, Berkeley","YAN, CHIWEI",1385396,0,0,0,1,0,0,0
"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,Washington University in St. Louis,"FELDMAN, JACOB",776338,1,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Carnegie Mellon University,"COLLIS, AVINASH",1313648,2,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Georgia Institute of Technology,"GU, NAIQING",854778,1,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Georgia Institute of Technology,"WU, DONGJUN",130058,1,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Harvard University,"BOJINOV, IAVOR I",998906,1,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Harvard University,"YANG, JEREMY",1500231,1,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Massachusetts Institute of Technology,"ECKLES, DEAN GRIFFIN",789753,3,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Purdue University,"MOEHRING, ALEX VERNON",2154591,2,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,Rutgers - New Brunswick,"GARIMELLA, VENKATA RAMA",1504802,2,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,"University of California, Berkeley","HOLTZ, DAVID",1408001,2,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,University of Michigan,"DHILLON, PARAMVEER SINGH",836257,4,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,University of Pittsburgh,"RAHIMIAN, AMIN",837023,2,0,0,0,0,0,0
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,"University of Texas at Dallas, The","WANG, HONGCHANG",966132,1,0,0,0,0,0,0
"Management, Sloan School of","AZOULAY, PIERRE",4942,Northwestern University,"JONES, BENJAMIN F",288218,1,0,0,0,0,0,0
"Management, Sloan School of","AZOULAY, PIERRE",4942,"University of Kansas, The","HEGGENESS, MISTY LEE",1002619,1,0,0,0,0,0,0
"Management, Sloan School of","AZOULAY, PIERRE",4942,University of Pennsylvania,"KIM, JISOO DANIEL",1118079,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Carnegie Mellon University,"WOOLLEY, ANITA WILLIAMS",228148,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Emory University,"DEAN, NATALIE EXNER",849343,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Harvard University,"PARKES, DAVID C",114948,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Indiana University - Bloomington,"AJELLI, MARCO",1627288,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Indiana University - Bloomington,"LITVINOVA, MARIA",1976579,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Massachusetts Institute of Technology,"ALMAATOUQ, ABDULLAH",1084678,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Massachusetts Institute of Technology,"PENTLAND, ALEX PAUL",115847,1,0,0,1,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Northeastern University,"MORO EGIDO, ESTEBAN",1977926,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Northeastern University,"VESPIGNANI, ALESSANDRO",127521,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,Princeton University,"NARAYANAN, ARVIND",543101,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,University of Florida,"LONGINI, IRA M",408297,1,0,0,0,0,0,0
"Management, Sloan School of","BAKKER, MICHIEL ANTON",1998910,University of Washington,"HALLORAN, M ELIZABETH",508919,1,0,0,0,0,0,0
"Management, Sloan School of","BARNHART, CYNTHIA",7485,Dartmouth College,"VAZE, VIKRANT S",752542,3,0,0,0,0,0,0
"Management, Sloan School of","BARNHART, CYNTHIA",7485,Massachusetts Institute of Technology,"BERTSIMAS, DIMITRIS J",133474,1,0,0,0,0,0,0
"Management, Sloan School of","BARNHART, CYNTHIA",7485,"University of California, Berkeley","YAN, CHIWEI",1385396,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Arizona State University,"HONG, QIJUN",1462153,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Arizona State University,"SALEKIN, ASIF",1107151,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Boston College,"MOHLER, GEORGE",807352,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Boston University,"CARAMANIS, MICHAEL C",17510,1,0,0,1,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Boston University,"LINAS, BENJAMIN",506078,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Brown University,"TRIKALINOS, THOMAS",621004,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Brown University,"VAN DE WALLE, AXEL",496710,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,California Institute of Technology,"ABU-MOSTAFA, YASER S",683,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Carnegie Mellon University,"VENTURA, VALERIE",227890,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Carnegie Mellon University,"WASSERMAN, LARRY",227791,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Carnegie Mellon University,"WIBERG, HOLLY",1895480,7,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Clemson University,"LI, XINYI",1132649,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"College of William & Mary, The","WANG, GUANNAN",808947,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Columbia University,"NGO, THOAI D",2050622,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Columbia University,"PEI, SEN",1517897,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Columbia University,"SHAMAN, JEFFREY L",122567,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Columbia University,"WANG, YUANJIA",261143,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Cornell University,"KALLUS, NATHAN",793998,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Duke University,"XU, PAN",1792851,3,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,George Mason University,"GAO, LEI",745845,2,0,0,0,0,0,0
