Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,"Management, Sloan School of","ECKLES, DEAN GRIFFIN",789753,3,0,0,0,0,0,0
"Management, Sloan School of","BARNHART, CYNTHIA",7485,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,1,0,0,0,0,0,0
"Management, Sloan School of","CASTILLA, EMILIO J",17395,"Management, Sloan School of","KOCHAN, THOMAS ANTON",55939,1,0,0,0,0,0,0
"Management, Sloan School of","CASTILLA, EMILIO J",17395,"Aeronautics and Astronautics, Department of","SHAH, JULIE A",488063,1,0,0,0,0,0,0
"Management, Sloan School of","CURHAN, JARED R",24028,"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,0,0,0,1,0,0,0
"Management, Sloan School of","CURHAN, JARED R",24028,"Management, Sloan School of","MALONE, THOMAS W",154583,1,0,0,1,0,0,0
"Management, Sloan School of","FREUND, ROBERT MICHAEL",40514,"Management, Sloan School of","LU, HAIHAO",1922064,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"Physics, Department of","FISHER, PETER H",142162,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"Political Science, Department of","FRAVEL, MARIS TAYLOR",142698,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"Nuclear Science and Engineering, Department of","LESTER, RICHARD K",152796,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"Political Science, Department of","TSAI, LILY L",169526,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"Management, Sloan School of","ZHENG, YANCHONG",488092,1,0,0,0,0,0,0
"Management, Sloan School of","KOCHAN, THOMAS ANTON",55939,"Management, Sloan School of","CASTILLA, EMILIO J",17395,1,0,0,0,0,0,0
"Management, Sloan School of","KOCHAN, THOMAS ANTON",55939,"Aeronautics and Astronautics, Department of","SHAH, JULIE A",488063,1,0,0,0,0,0,0
"Management, Sloan School of","KOTHARI, S P",62449,"Management, Sloan School of","SO, ERIC",544497,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Electrical Engineering and Computer Sciences, Department of","DAVIS, RANDALL",139047,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Economics, Department of","GRUBER, JONATHAN",41010,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Management, Sloan School of","MERTON, ROBERT",412353,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Management, Sloan School of","RIGOBON, ROBERTO",162469,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,1,0,0,0,0,0,0
"Management, Sloan School of","JOHNSON, SIMON",62732,"Economics, Department of","ACEMOGLU, DARON DARON",286887,2,0,0,0,0,0,0
"Management, Sloan School of","JOHNSON, SIMON",62732,"Economics, Department of","GRUBER, JONATHAN",41010,1,2,0,0,0,0,0
"Management, Sloan School of","JOHNSON, SIMON",62732,"Management, Sloan School of","WOLFRAM, CATHERINE DANA",203217,1,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,1,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,Institute for Medical Engineering and Science (IMES),"CELI, LEO ANTHONY G",630714,2,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Management, Sloan School of","FARIAS, VIVEK F",176116,4,0,0,1,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Civil and Environmental Engineering, Department of","JADBABAIE-MOGHADAM, ALI",60885,2,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Management, Sloan School of","MAGNANTI, THOMAS L",96424,1,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Management, Sloan School of","PERAKIS, GEORGIA",91824,4,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,2,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Chemical Engineering, Department of","STRANO, MICHAEL S",106262,2,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"Management, Sloan School of","ZHENG, YANCHONG",488092,1,0,0,0,0,0,0
"Management, Sloan School of","MURRAY, FIONA E",71669,"Management, Sloan School of","STERN, SCOTT",412354,1,0,1,1,0,0,0
"Management, Sloan School of","MADNICK, STUART E",72230,"Institute for Data, Systems, and Society (IDSS)","CHOUCRI, NAZLI",137033,1,0,0,0,0,0,0
"Management, Sloan School of","MADNICK, STUART E",72230,"Management, Sloan School of","SIEGEL, MICHAEL D",289340,1,0,0,0,0,0,0
"Management, Sloan School of","PINDYCK, ROBERT S",76838,"Management, Sloan School of","PERAKIS, GEORGIA",91824,1,0,0,0,0,0,0
"Management, Sloan School of","STERMAN, JOHN",87196,"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,2,0,0,0,0,0,0
"Management, Sloan School of","STERMAN, JOHN",87196,"Management, Sloan School of","REPENNING, NELSON",97260,1,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,Institute for Medical Engineering and Science (IMES),"CELI, LEO ANTHONY G",630714,2,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,"Management, Sloan School of","FARIAS, VIVEK F",176116,2,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,"Civil and Environmental Engineering, Department of","JADBABAIE-MOGHADAM, ALI",60885,2,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,"Management, Sloan School of","LEVI, RETSEF",67313,4,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,"Management, Sloan School of","PINDYCK, ROBERT S",76838,1,0,0,0,0,0,0
"Management, Sloan School of","PERAKIS, GEORGIA",91824,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,2,0,0,0,0,0,0
"Management, Sloan School of","VERDI, RODRIGO",92221,"Management, Sloan School of","HANLON, MICHELLE",412310,1,0,0,0,0,0,0
"Management, Sloan School of","VERDI, RODRIGO",92221,"Management, Sloan School of","SO, ERIC",544497,1,0,0,0,0,0,0
"Management, Sloan School of","WANG, JIANG",93970,"Management, Sloan School of","CHEN, HUI",176096,1,0,0,0,0,0,0
"Management, Sloan School of","WANG, JIANG",93970,"Management, Sloan School of","ZHU, HAOXIANG",544500,1,0,0,0,0,0,0
"Management, Sloan School of","MAGNANTI, THOMAS L",96424,"Management, Sloan School of","LEVI, RETSEF",67313,1,0,0,0,0,0,0
"Management, Sloan School of","REPENNING, NELSON",97260,"Management, Sloan School of","STERMAN, JOHN",87196,1,0,0,0,0,0,0
"Management, Sloan School of","SCHOAR, ANTOINETTE",102712,"Management, Sloan School of","PARKER, JONATHAN A",627153,2,0,0,0,0,0,0
"Management, Sloan School of","SCHOAR, ANTOINETTE",102712,"Management, Sloan School of","SIMESTER, DUNCAN",123270,1,0,0,0,0,0,0
"Management, Sloan School of","SIMESTER, DUNCAN",123270,"Management, Sloan School of","PARKER, JONATHAN A",627153,1,0,0,0,0,0,0
"Management, Sloan School of","SIMESTER, DUNCAN",123270,"Management, Sloan School of","SCHOAR, ANTOINETTE",102712,1,0,0,0,0,0,0
"Management, Sloan School of","WEBER, JOSEPH P",128501,"Management, Sloan School of","SUTHERLAND, ANDREW GORDON",789780,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","BARNHART, CYNTHIA",7485,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,Institute for Medical Engineering and Science (IMES),"CELI, LEO ANTHONY G",630714,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","FARIAS, VIVEK F",176116,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","JACQUILLAT, ALEXANDRE",786101,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Civil and Environmental Engineering, Department of","JADBABAIE-MOGHADAM, ALI",60885,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","LEVI, RETSEF",67313,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","LO, ANDREW W",62691,1,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","PERAKIS, GEORGIA",91824,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,2,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","TRICHAKIS, NIKOS",393251,5,0,0,0,0,0,0
"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,"Management, Sloan School of","VAN PARYS, BART PAUL GERARD",837296,2,0,0,0,0,0,0
"Management, Sloan School of","KOGAN, LEONID",151064,"Management, Sloan School of","CHEN, HUI",176096,1,0,0,0,0,0,0
"Management, Sloan School of","MALONE, THOMAS W",154583,"Management, Sloan School of","ALMAATOUQ, ABDULLAH",1084678,1,0,0,0,0,0,0
"Management, Sloan School of","MALONE, THOMAS W",154583,"Management, Sloan School of","CURHAN, JARED R",24028,1,0,0,1,0,0,0
"Management, Sloan School of","MALONE, THOMAS W",154583,"Electrical Engineering and Computer Sciences, Department of","KARGER, DAVID R",57526,1,0,0,0,0,0,0
"Management, Sloan School of","PRELEC, DRAZEN",161067,"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,1,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"Management, Sloan School of","KELLY, ERIN L",476846,1,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"Management, Sloan School of","PRELEC, DRAZEN",161067,1,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"Management, Sloan School of","STERMAN, JOHN",87196,2,0,0,0,0,0,0
"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,"Management, Sloan School of","WILMERS, NATHAN ERIC",845320,1,0,0,0,0,0,0
"Management, Sloan School of","RIGOBON, ROBERTO",162469,"Electrical Engineering and Computer Sciences, Department of","DAHLEH, MUNTHER A",26320,0,0,1,0,0,0,0
"Management, Sloan School of","RIGOBON, ROBERTO",162469,"Management, Sloan School of","LO, ANDREW W",62691,1,0,0,0,0,0,0
"Management, Sloan School of","ZUCKERMAN SIVAN, EZRA W",173824,"Management, Sloan School of","REAGANS, RAY",412311,0,0,0,1,0,0,0
"Management, Sloan School of","CHEN, HUI",176096,"Management, Sloan School of","KOGAN, LEONID",151064,1,0,0,0,0,0,0
"Management, Sloan School of","CHEN, HUI",176096,"Management, Sloan School of","WANG, JIANG",93970,1,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Management, Sloan School of","AOUAD, MOHAMMED ALI LUCIEN",1508350,1,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,Institute for Medical Engineering and Science (IMES),"CELI, LEO ANTHONY G",630714,2,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Civil and Environmental Engineering, Department of","JADBABAIE-MOGHADAM, ALI",60885,2,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Biological Engineering, Department of","LANGER, ROBERT S",83112,1,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Management, Sloan School of","LEVI, RETSEF",67313,4,0,0,1,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Management, Sloan School of","PERAKIS, GEORGIA",91824,2,0,0,0,0,0,0
"Management, Sloan School of","FARIAS, VIVEK F",176116,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,2,0,0,0,1,2,0
"Management, Sloan School of","WOLFRAM, CATHERINE DANA",203217,"Management, Sloan School of","JOHNSON, SIMON",62732,1,0,0,0,0,0,0
"Management, Sloan School of","SIEGEL, MICHAEL D",289340,"Management, Sloan School of","MADNICK, STUART E",72230,1,0,0,0,0,0,0
"Management, Sloan School of","TRICHAKIS, NIKOS",393251,"Management, Sloan School of","BERTSIMAS, DIMITRIS J",133474,5,0,0,0,0,0,0
"Management, Sloan School of","TRICHAKIS, NIKOS",393251,"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,1,0,0,0,0,0,0
"Management, Sloan School of","HANLON, MICHELLE",412310,"Management, Sloan School of","SHROFF, NEMIT",488091,1,0,0,0,0,0,0
"Management, Sloan School of","HANLON, MICHELLE",412310,"Management, Sloan School of","VERDI, RODRIGO",92221,1,0,0,0,0,0,0
"Management, Sloan School of","REAGANS, RAY",412311,"Management, Sloan School of","ZUCKERMAN SIVAN, EZRA W",173824,0,0,0,1,0,0,0
"Management, Sloan School of","MERTON, ROBERT",412353,"Management, Sloan School of","LO, ANDREW W",62691,1,0,0,0,0,0,0
"Management, Sloan School of","STERN, SCOTT",412354,"Management, Sloan School of","MURRAY, FIONA E",71669,1,0,1,1,0,0,0
"Management, Sloan School of","KELLY, ERIN L",476846,"Management, Sloan School of","RAHMANDAD, HAZHIR",161522,1,0,0,0,0,0,0
"Management, Sloan School of","KELLY, ERIN L",476846,"Management, Sloan School of","WILMERS, NATHAN ERIC",845320,1,0,0,0,0,0,0
"Management, Sloan School of","SHROFF, NEMIT",488091,"Management, Sloan School of","HANLON, MICHELLE",412310,1,0,0,0,0,0,0
"Management, Sloan School of","ZHENG, YANCHONG",488092,"Management, Sloan School of","HUANG, YASHENG",51003,1,0,0,0,0,0,0
"Management, Sloan School of","ZHENG, YANCHONG",488092,"Management, Sloan School of","LEVI, RETSEF",67313,1,0,0,0,0,0,0
"Management, Sloan School of","RAND, DAVID GERTLER",540961,"Institute for Data, Systems, and Society (IDSS)","BERINSKY, ADAM",8842,13,0,0,0,1,0,0
"Management, Sloan School of","RAND, DAVID GERTLER",540961,"Management, Sloan School of","ECKLES, DEAN GRIFFIN",789753,2,0,0,1,0,0,0
"Management, Sloan School of","RAND, DAVID GERTLER",540961,"Electrical Engineering and Computer Sciences, Department of","KARGER, DAVID R",57526,1,0,0,0,0,0,0
"Management, Sloan School of","RAND, DAVID GERTLER",540961,"Management, Sloan School of","LU, GUANNAN",856131,1,0,0,0,0,0,0
"Management, Sloan School of","RAND, DAVID GERTLER",540961,"Institute for Data, Systems, and Society (IDSS)","PENTLAND, ALEX PAUL",115847,1,0,0,0,0,0,0
