Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Management, Sloan School of",Massachusetts Institute of Technology,"Management, Sloan School of",110,430,27,0,90,1,6,0
"Management, Sloan School of",American University,"Economics, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",American University,"Finance and Real Estate, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",American University,"Management, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Information Systems, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Management and Entrepreneurship, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Arizona State University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Accountancy, School of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Public Affairs, School of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Arizona State University,"Biological and Health Systems Engineering, School of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Sustainability, School of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Global Management, School of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Arizona State University,"Engineering of Matter, Transport and Energy, School for - Materials Science and Engineering Faculty",1,2,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Historical, Philosophical and Religious Studies, School of - Philosophy Faculty",1,1,0,0,0,0,0,0
"Management, Sloan School of",Arizona State University,"Social and Behavioral Sciences, School of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Auburn University,"Geosciences, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston College,"Finance, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston College,"Psychology and Neuroscience, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Boston College,"Social Work, Graduate School of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston College,"Accounting, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Boston College,"Computer Science, Department of",2,1,0,0,1,0,0,0
"Management, Sloan School of",Boston College,"Management and Organization, Department of",2,0,0,0,2,0,0,0
"Management, Sloan School of",Boston College,"Business Analytics, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Economics, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Mechanical Engineering, Department of",1,1,0,0,1,0,0,0
"Management, Sloan School of",Boston University,"Anatomy and Neurobiology, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Environmental Health, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Epidemiology, Department of",2,3,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Systems Engineering, Division of",1,1,0,0,1,0,0,0
"Management, Sloan School of",Boston University,"Finance, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Information Systems, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Boston University,"Marketing, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Markets, Public Policy, and Law, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Boston University,"Management & Organizations, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Boston University,"Computing and Data Sciences, Faculty of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Brandeis University,"International Business, School of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Brigham Young University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Brigham Young University,"Finance, Department of",3,2,0,0,0,0,0,0
"Management, Sloan School of",Brigham Young University,"Management, Department of",3,0,0,0,2,0,0,0
"Management, Sloan School of",Brown University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Brown University,"Economics, Department of",2,2,0,0,0,0,0,0
"Management, Sloan School of",Brown University,"Engineering, School of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Brown University,"Health Services Policy and Practice, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",California Institute of Technology,"Computing and Mathematical Science, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",California Institute of Technology,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",California Institute of Technology,"Humanities and Social Sciences, Division of the",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Engineering and Public Policy, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"History, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Machine Learning, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Mathematical Sciences, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Social and Decision Sciences, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Statistics and Data Science, Department of",2,2,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Business, School of",6,6,0,0,3,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Information Systems, Public Policy & Management, Heinz College of",3,10,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,Neuroscience Institute,1,2,0,0,0,0,0,0
"Management, Sloan School of",Carnegie Mellon University,"Software and Societal Systems, Department of",1,2,0,0,1,0,0,0
"Management, Sloan School of",Case Western Reserve University,"Population and Quantitative Health Sciences, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Case Western Reserve University,"Design and Innovation, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Clarkson University,"Psychology, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Clarkson University,"Health Sciences, School of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Clemson University,"Industrial Engineering, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Clemson University,"Management, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Clemson University,"Mathematical and Statistical Sciences, School of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Clemson University,"Materials Science and Engineering, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Clemson University,"Civil and Environmental Engineering and Earth Sciences, School of",1,0,0,0,1,0,0,0
"Management, Sloan School of","College of William & Mary, The","Mathematics, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Biostatistics, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Economics, Department of",5,4,1,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Environmental Health Sciences, Department of",2,2,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Industrial Engineering and Operations Research, Department of",3,2,0,0,2,0,0,0
"Management, Sloan School of",Columbia University,"Political Science, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Psychology, Department of",2,1,0,0,1,0,0,0
"Management, Sloan School of",Columbia University,"Sociology, Department of",2,5,0,0,1,0,0,0
"Management, Sloan School of",Columbia University,"Business School - Decision, Risk and Operations, Division of",4,6,0,0,3,0,0,0
"Management, Sloan School of",Columbia University,"Business School - Management, Division of",11,10,0,0,8,0,0,0
"Management, Sloan School of",Columbia University,"International and Public Affairs, School of",2,2,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Population and Family Health, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Health Policy and Management, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Business School - Economics, Division of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Columbia University,"Business School - Finance, Division of",3,6,0,0,0,0,0,0
"Management, Sloan School of",Cornell University,"Applied Economics and Management, School of",3,2,0,0,1,0,0,0
"Management, Sloan School of",Cornell University,"Computer Science, Department of",3,5,0,0,4,0,3,0
"Management, Sloan School of",Cornell University,"Economics, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Cornell University,"Policy Analysis and Management, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Cornell University,"Psychology, Department of",4,39,0,0,2,0,0,0
"Management, Sloan School of",Cornell University,"Sociology, Department of",2,2,0,0,0,0,0,0
"Management, Sloan School of",Cornell University,"Operations Research and Information Engineering, School of",6,4,0,0,1,0,0,0
"Management, Sloan School of",Cornell University,"Management, Graduate School of",9,9,0,0,3,0,0,0
"Management, Sloan School of",Cornell University,"Human Resource Studies, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of",Cornell University,"Organizational Behavior, Department of",1,0,0,0,1,0,0,0
"Management, Sloan School of",Cornell University,"Hotel Administration, School of",3,2,0,0,1,0,0,0
