Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Management, Sloan School of","Management, Sloan School of",64,61,0,1,8,0,0,0
"Management, Sloan School of","Aeronautics and Astronautics, Department of",1,1,0,0,0,1,0,0
"Management, Sloan School of","Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of","Chemical Engineering, Department of",2,3,0,0,0,0,0,0
"Management, Sloan School of","Civil and Environmental Engineering, Department of",2,4,0,0,1,0,0,0
"Management, Sloan School of",Comparative Media Studies/Writing Section,1,0,0,0,1,0,0,0
"Management, Sloan School of","Economics, Department of",8,11,2,0,1,0,0,0
"Management, Sloan School of","Electrical Engineering and Computer Sciences, Department of",10,16,0,1,3,2,2,0
"Management, Sloan School of","Institute for Data, Systems, and Society (IDSS)",14,32,0,1,4,3,2,0
"Management, Sloan School of",Institute for Medical Engineering and Science (IMES),2,3,0,0,0,0,0,0
"Management, Sloan School of","Materials Science and Engineering, Department of",1,1,0,0,1,0,0,0
"Management, Sloan School of","Mathematics, Department of",1,2,0,0,0,0,0,0
"Management, Sloan School of","Mechanical Engineering, Department of",3,3,0,0,0,0,0,0
"Management, Sloan School of","Media Arts and Sciences, Program in",2,3,0,0,1,0,0,0
"Management, Sloan School of","Nuclear Science and Engineering, Department of",2,2,0,0,0,0,0,0
"Management, Sloan School of","Physics, Department of",1,1,0,0,0,0,0,0
"Management, Sloan School of","Political Science, Department of",3,14,0,0,0,1,0,0
"Management, Sloan School of","Urban Studies and Planning, Department of",4,3,0,0,0,1,0,0
