Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Management, Sloan School of","ARAL, SINAN KAYHAN",3529,"ECKLES, DEAN GRIFFIN",789753,3,0,0,0,0,0,0
"Management, Sloan School of","BARNHART, CYNTHIA",7485,"BERTSIMAS, DIMITRIS J",133474,1,0,0,0,0,0,0
"Management, Sloan School of","CASTILLA, EMILIO J",17395,"KOCHAN, THOMAS ANTON",55939,1,0,0,0,0,0,0
"Management, Sloan School of","CURHAN, JARED R",24028,"ALMAATOUQ, ABDULLAH",1084678,0,0,0,1,0,0,0
"Management, Sloan School of","CURHAN, JARED R",24028,"MALONE, THOMAS W",154583,1,0,0,1,0,0,0
"Management, Sloan School of","FREUND, ROBERT MICHAEL",40514,"LU, HAIHAO",1922064,1,0,0,0,0,0,0
"Management, Sloan School of","HUANG, YASHENG",51003,"ZHENG, YANCHONG",488092,1,0,0,0,0,0,0
"Management, Sloan School of","KOCHAN, THOMAS ANTON",55939,"CASTILLA, EMILIO J",17395,1,0,0,0,0,0,0
"Management, Sloan School of","KOTHARI, S P",62449,"SO, ERIC",544497,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"BERTSIMAS, DIMITRIS J",133474,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"MERTON, ROBERT",412353,1,0,0,0,0,0,0
"Management, Sloan School of","LO, ANDREW W",62691,"RIGOBON, ROBERTO",162469,1,0,0,0,0,0,0
"Management, Sloan School of","JOHNSON, SIMON",62732,"WOLFRAM, CATHERINE DANA",203217,1,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"AOUAD, MOHAMMED ALI LUCIEN",1508350,1,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"BERTSIMAS, DIMITRIS J",133474,2,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"FARIAS, VIVEK F",176116,4,0,0,1,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"MAGNANTI, THOMAS L",96424,1,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"PERAKIS, GEORGIA",91824,4,0,0,0,0,0,0
"Management, Sloan School of","LEVI, RETSEF",67313,"ZHENG, YANCHONG",488092,1,0,0,0,0,0,0
"Management, Sloan School of","MURRAY, FIONA E",71669,"STERN, SCOTT",412354,1,0,1,1,0,0,0
"Management, Sloan School of","MADNICK, STUART E",72230,"SIEGEL, MICHAEL D",289340,1,0,0,0,0,0,0
"Management, Sloan School of","PINDYCK, ROBERT S",76838,"PERAKIS, GEORGIA",91824,1,0,0,0,0,0,0
"Management, Sloan School of","STERMAN, JOHN",87196,"RAHMANDAD, HAZHIR",161522,2,0,0,0,0,0,0
