Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Florida International University,"RODRIGUEZLANETTY, MAURICIO",525733,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,George Mason University,"SALERNO, JENNIFER",859582,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,George Washington University,"PEREZ-LOSADA, MARCOS",765215,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Louisiana State University,"HOLSTEIN, DANIEL",941823,4,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"BABBIN, ANDREW R",827674,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"COHEN, ANNE",287363,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"GIRDHAR, YOGESH",837858,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"HANSEL, COLLEEN",544620,3,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"HUGHEN, KONRAD",288014,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"KUJAWINSKI, ELIZABETH",288370,3,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"LIU, YAQIN",1304706,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"LLOPIZ, JOEL",779097,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"LONG, MATTHEW",837850,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"MOONEY, T ARAN",544624,8,0,0,0,2,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"REDDY, CHRISTOPHER",289059,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"VAN MOOY, BENJAMIN",289597,0,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"WANKEL, SCOTT",544631,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"WARD, COLLIN",919221,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"WEISS, BENJAMIN P",171439,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Massachusetts Institute of Technology,"ZHANG, WEIFENG",488120,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Middle Tennessee State University,"EASSON, COLE G",2018408,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Pennsylvania State University - University Park,"MEDINA, MONICA",540480,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Syracuse University,"JENSEN, FRANTS H",1408438,3,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,Tulane University,"DECARLO, THOMAS M",2146203,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,"University of California, Berkeley","SIMOES CORREA, ADRIENNE MARIE",832525,4,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,"University of California, Davis","BROWN, ANYA LEARD",1341522,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,"University of California, Davis","EISEN, JONATHAN A",204081,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,"University of California, San Diego","SANDIN, STUART",408196,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,"University of California, Santa Barbara","SANTORO, ALYSON",526343,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,"University of California, Santa Barbara","VEGA-THURBER, REBECCA L",341769,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,University of Florida,"MEYER, JULIE",849228,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,University of Georgia,"BIK, HOLLY M",639823,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,University of Massachusetts Lowell,"GIGNOUX-WOLFSOHN, SARAH",1797464,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,University of Miami,"BAKER, ANDREW",6438,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,University of Miami,"SIKKEL, PAUL",349958,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,University of Washington,"VAN CISE, AMY",1754158,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Arizona State University,"JOHNSON, RODNEY",1845177,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Boise State University,"WANLESS, DORSEY",743604,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Boston College,"BEHN, MARK",287092,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,California Institute of Technology,"EILER, JOHN M",29595,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Colorado School of Mines,"SONNENBERG, STEPHEN A",298792,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Columbia University,"STUTE, MARTIN",106801,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Cornell University,"GAZEL DONDI, ESTEBAN",486081,1,0,0,2,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"HORTON, FORREST",919209,0,0,0,3,1,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"LE ROUX, VERONIQUE",779092,0,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"NICHOLSON, DAVID",488117,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"NIELSEN, SUNE",488118,2,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"ONO, SHUHEI",176487,3,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"SELTZER, ALAN",1584403,11,0,0,4,4,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Massachusetts Institute of Technology,"SUBHAS, ADAM",1108305,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Michigan State University,"SCHRENK, MATTHEW O",612732,8,0,0,5,0,0,0
"Marine Chemistry and Geochemistry, Department of","BARRY, PETER",1108302,Montana State University,"MYERS, MADISON",902580,1,0,0,0,0,0,0
