Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Geology and Geophysics, Department of","BERNHARD, JOAN",287119,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Marine Chemistry and Geochemistry, Department of","HORNER, TRISTAN",837849,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,Marine Policy Center,"JIN, DI",779081,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Physical Oceanography, Department of","MACDONALD, ALISON",2157282,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Geology and Geophysics, Department of","MARCHAL, OLIVIER",288564,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Marine Chemistry and Geochemistry, Department of","NICHOLSON, DAVID",488117,2,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Physical Oceanography, Department of","RYPINA, IRINA",544626,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Biology (WHOI), Department of","SIEVERT, STEFAN",370184,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Biology (WHOI), Department of","SOSIK, HEIDI",370185,3,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Biology (WHOI), Department of","THORROLD, SIMON",370187,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Marine Chemistry and Geochemistry, Department of","VAN MOOY, BENJAMIN",289597,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,"Marine Chemistry and Geochemistry, Department of","HORNER, TRISTAN",837849,2,0,0,1,1,0,0
"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,"Physical Oceanography, Department of","PICKART, ROBERT",288982,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,"Biology (WHOI), Department of","SIEVERT, STEFAN",370184,0,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Applied Ocean Physics and Engineering, Department of","GIRDHAR, YOGESH",837858,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,Marine Policy Center,"LIU, YAQIN",1304706,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Marine Chemistry and Geochemistry, Department of","LONG, MATTHEW",837850,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Physical Oceanography, Department of","MENEZES, VIVIANE",1584406,0,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Biology (WHOI), Department of","MOONEY, T ARAN",544624,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Biological Engineering, Department of","ALM, ERIC J",176231,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,3,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Marine Chemistry and Geochemistry, Department of","BENWAY, HEATHER",961678,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Biology, Department of","CHISHOLM, SALLIE W",20948,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Civil and Environmental Engineering, Department of","CORDERO SANCHEZ, OTTO X",789734,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,2,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Marine Chemistry and Geochemistry, Department of","DUNLEA, ANN",1108303,1,0,0,1,2,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Marine Chemistry and Geochemistry, Department of","GALY, VALIER",544618,4,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Geology and Geophysics, Department of","GIOSAN, LIVIU",287820,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Marine Chemistry and Geochemistry, Department of","HORNER, TRISTAN",837849,2,0,0,1,1,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Geology and Geophysics, Department of","LANG, SUSAN",779348,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Geology and Geophysics, Department of","NIELSEN, SUNE",488118,0,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"Marine Chemistry and Geochemistry, Department of","WANG, ZHAOHUI ALECK",544630,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Biology (WHOI), Department of","ALURU, NEEL",544613,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Geology and Geophysics, Department of","EDGCOMB, VIRGINIA",544617,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","GALY, VALIER",544618,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Civil and Environmental Engineering, Department of","GSCHWEND, PHILIP M",107510,0,0,0,0,0,1,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Biology (WHOI), Department of","HAHN, MARK",370201,7,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Mechanical Engineering, Department of","HART, ANASTASIOS JOHN",250993,0,0,0,0,0,1,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,Marine Policy Center,"KITE-POWELL, HAUKE",779086,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Applied Ocean Physics and Engineering, Department of","MICHEL, ANNA",544623,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Civil and Environmental Engineering, Department of","PLATA, DESIREE LOUISE",635686,0,0,0,0,0,1,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Geology and Geophysics, Department of","ROBERTS, MARK",919211,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","SEEWALD, JEFFREY",289279,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Biology (WHOI), Department of","SIEVERT, STEFAN",370184,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Earth, Atmospheric and Planetary Sciences, Department of","SUMMONS, ROGER E",176494,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Biology (WHOI), Department of","TARRANT, ANN",370186,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","VAN MOOY, BENJAMIN",289597,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"Marine Chemistry and Geochemistry, Department of","WARD, COLLIN",919221,16,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"Biology, Department of","CHISHOLM, SALLIE W",20948,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"Marine Chemistry and Geochemistry, Department of","HORNER, TRISTAN",837849,1,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"Marine Chemistry and Geochemistry, Department of","VAN MOOY, BENJAMIN",289597,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"Marine Chemistry and Geochemistry, Department of","WARD, COLLIN",919221,0,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,4,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Marine Chemistry and Geochemistry, Department of","BENWAY, HEATHER",961678,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Earth, Atmospheric and Planetary Sciences, Department of","BOYLE, EDWARD A",176388,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Biology (WHOI), Department of","BROSNAHAN, MICHAEL",919200,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Civil and Environmental Engineering, Department of","FOLLOWS, MICHAEL J",175847,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Geology and Geophysics, Department of","GERMAN, CHRISTOPHER",287800,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Marine Chemistry and Geochemistry, Department of","HORNER, TRISTAN",837849,4,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Biology (WHOI), Department of","JOHNSON, MATT",370203,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,2,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Biology, Department of","OVCHINNIKOV, SERGEY",2157263,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Marine Chemistry and Geochemistry, Department of","SUBHAS, ADAM",1108305,2,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"Brain and Cognitive Sciences, Department of","ZHANG, FENG",488071,5,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","SEEWALD, JEFFREY",289279,"Geology and Geophysics, Department of","EDGCOMB, VIRGINIA",544617,2,0,0,0,0,0,0
