Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Marine Chemistry and Geochemistry, Department of",Massachusetts Institute of Technology,"Marine Chemistry and Geochemistry, Department of",31,328,0,0,67,8,5,0
"Marine Chemistry and Geochemistry, Department of",American University,"Environmental Science, Program of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Arizona State University,"Life Sciences, School of",3,4,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Arizona State University,"Earth and Space Exploration, School of",3,9,0,0,2,0,0,0
"Marine Chemistry and Geochemistry, Department of",Arizona State University,"Sustainable Engineering and The Built Environment, School of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Arizona State University,"Molecular Sciences, School of",2,5,0,0,2,0,0,0
"Marine Chemistry and Geochemistry, Department of",Arizona State University,"Teachers College, Mary Lou Fulton",1,1,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of",Arizona State University,"Ocean Futures, School of",4,8,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Auburn University,"Geosciences, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Boston College,"Earth and Environmental Sciences, Department of",4,6,0,0,2,0,0,0
"Marine Chemistry and Geochemistry, Department of",Boston University,"Biology, Department of",3,3,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Boston University,"Materials Science and Engineering, Division of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Brown University,"Ecology, Evolution, and Organismal Biology, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Brown University,"Earth, Environmental, and Planetary Sciences, Department of",4,6,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",California Institute of Technology,"Geological and Planetary Sciences, Division of",7,16,0,0,3,0,2,0
"Marine Chemistry and Geochemistry, Department of",California Institute of Technology,"Environmental Science and Engineering, Department of",2,11,0,0,2,0,2,0
"Marine Chemistry and Geochemistry, Department of",Case Western Reserve University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Central Michigan University,"Biology, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Central Michigan University,"Earth and Atmospheric Science, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Clark University,"Biology, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Clark University,"Chemistry, School of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Clemson University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","College of William & Mary, The","Marine Science, School of",4,9,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of",Colorado School of Mines,"Geology and Geological Engineering, Department of",2,2,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of",Colorado School of Mines,"Geophysics, Department of",1,1,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of",Colorado School of Mines,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of",Colorado State University,"Soil and Crop Sciences, Department of",1,1,0,0,0,0,0,0
