Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Marine Chemistry and Geochemistry, Department of","Marine Chemistry and Geochemistry, Department of",29,95,0,0,16,25,0,0
"Marine Chemistry and Geochemistry, Department of","Aeronautics and Astronautics, Department of",2,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","Applied Ocean Physics and Engineering, Department of",9,11,0,0,0,4,0,0
"Marine Chemistry and Geochemistry, Department of","Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","Biology (WHOI), Department of",15,39,0,0,2,4,0,0
"Marine Chemistry and Geochemistry, Department of","Biology, Department of",2,6,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","Brain and Cognitive Sciences, Department of",1,5,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","Civil and Environmental Engineering, Department of",6,7,0,0,0,0,1,0
"Marine Chemistry and Geochemistry, Department of","Earth, Atmospheric and Planetary Sciences, Department of",13,16,0,0,2,0,0,0
"Marine Chemistry and Geochemistry, Department of","Geology and Geophysics, Department of",18,43,0,0,18,14,0,0
"Marine Chemistry and Geochemistry, Department of",Marine Policy Center,3,3,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","Mechanical Engineering, Department of",1,0,0,0,0,0,1,0
"Marine Chemistry and Geochemistry, Department of","Physical Oceanography, Department of",8,6,0,0,0,2,0,0
"Marine Chemistry and Geochemistry, Department of","Physics, Department of",1,1,0,0,0,0,0,0
