Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"HORNER, TRISTAN",837849,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"NICHOLSON, DAVID",488117,2,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,"VAN MOOY, BENJAMIN",289597,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,"HORNER, TRISTAN",837849,2,0,0,1,1,0,0
"Marine Chemistry and Geochemistry, Department of","CHARETTE, MATTHEW",287277,"PEUCKER-EHRENBRINK, BERNHARD",288971,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"APPRILL, AMY",488109,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,"LONG, MATTHEW",837850,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"APPRILL, AMY",488109,3,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"BENWAY, HEATHER",961678,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"REDDY, CHRISTOPHER",289059,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,"SAITO, MAKOTO",289220,2,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"CHARETTE, MATTHEW",287277,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"DUNLEA, ANN",1108303,1,0,0,1,2,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"GALY, VALIER",544618,4,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"HORNER, TRISTAN",837849,2,0,0,1,1,0,0
"Marine Chemistry and Geochemistry, Department of","PEUCKER-EHRENBRINK, BERNHARD",288971,"WANG, ZHAOHUI ALECK",544630,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"APPRILL, AMY",488109,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"GALY, VALIER",544618,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"KUJAWINSKI, ELIZABETH",288370,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"SEEWALD, JEFFREY",289279,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"VAN MOOY, BENJAMIN",289597,2,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,"WARD, COLLIN",919221,16,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"HORNER, TRISTAN",837849,1,0,0,1,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"SAITO, MAKOTO",289220,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"VAN MOOY, BENJAMIN",289597,1,0,0,0,0,0,0
"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,"WARD, COLLIN",919221,0,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"BENWAY, HEATHER",961678,1,0,0,0,1,0,0
"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,"HANSEL, COLLEEN",544620,2,0,0,0,0,0,0
