Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Marine Policy Center,"JIN, DI",779081,Louisiana State University,"ZANG, ZHENGCHEN",1957195,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"ANDERSON, DONALD",370173,0,0,0,0,1,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"ASHTON, ANDREW",287030,2,0,0,2,1,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"BUESSELER, KEN",287189,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"JI, RUBAO",370202,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"KITE-POWELL, HAUKE",779086,0,0,0,0,1,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"LAVERY, ANDONE",288409,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"SOSIK, HEIDI",370185,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"THORROLD, SIMON",370187,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"YOERGER, DANA",289778,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Massachusetts Institute of Technology,"ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Montclair State University,"LORENZO-TRUEBA, JORGE",842484,1,0,0,2,0,0,0
Marine Policy Center,"JIN, DI",779081,University of Massachusetts Dartmouth,"CHEN, CHANGSHENG",545646,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,University of Rhode Island,"DALTON, TRACEY M",23838,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,University of Rhode Island,"GARCIA-QUIJANO, CARLOS G",491743,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,University of Rhode Island,"OMAND, MELISSA M",762477,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,University of South Florida,"LIU, YONGGANG",286842,1,0,0,0,0,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,Massachusetts Institute of Technology,"ASHTON, ANDREW",287030,0,0,0,0,1,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,Massachusetts Institute of Technology,"JIN, DI",779081,0,0,0,0,1,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,Massachusetts Institute of Technology,"REDDY, CHRISTOPHER",289059,1,0,0,0,0,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,University of Alaska Fairbanks,"UMANZOR, SCHERY",1107116,1,0,0,0,0,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,University of Maryland Eastern Shore,"CHIGBU, PAULINUS",18572,0,0,0,0,1,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,"University of Vermont, The","BRAWLEY, JOHN",2118545,1,0,0,0,0,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,Worcester Polytechnic Institute,"KAZANTZIS, NIKOLAOS K",58010,1,0,0,0,0,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,Worcester Polytechnic Institute,"TIMKO, MICHAEL T",763147,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Duke University,"SMITH, MARTIN D",104701,3,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"APPRILL, AMY",488109,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"GIRDHAR, YOGESH",837858,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"HUGHEN, KONRAD",288014,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"LONG, MATTHEW",837850,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"MOONEY, T ARAN",544624,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Massachusetts Institute of Technology,"ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,North Carolina State University,"BANZHAF, HENRY SPENCER",5992,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,Texas State University,"DEY, MADAN",839103,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,University of Florida,"ASCHE, FRANK",776141,3,0,0,0,0,0,0
