Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Marine Policy Center,"JIN, DI",779081,"Biology (WHOI), Department of","ANDERSON, DONALD",370173,0,0,0,0,1,0,0
Marine Policy Center,"JIN, DI",779081,"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,2,0,0,2,1,0,0
Marine Policy Center,"JIN, DI",779081,"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,"Biology (WHOI), Department of","JI, RUBAO",370202,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,Marine Policy Center,"KITE-POWELL, HAUKE",779086,0,0,0,0,1,0,0
Marine Policy Center,"JIN, DI",779081,"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,"Biology (WHOI), Department of","SOSIK, HEIDI",370185,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,"Biology (WHOI), Department of","THORROLD, SIMON",370187,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,1,0,0,0,0,0,0
Marine Policy Center,"JIN, DI",779081,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,"Geology and Geophysics, Department of","ASHTON, ANDREW",287030,0,0,0,0,1,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,Marine Policy Center,"JIN, DI",779081,0,0,0,0,1,0,0
Marine Policy Center,"KITE-POWELL, HAUKE",779086,"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Applied Ocean Physics and Engineering, Department of","GIRDHAR, YOGESH",837858,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Marine Chemistry and Geochemistry, Department of","HUGHEN, KONRAD",288014,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Marine Chemistry and Geochemistry, Department of","LONG, MATTHEW",837850,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Biology (WHOI), Department of","MOONEY, T ARAN",544624,1,0,0,0,0,0,0
Marine Policy Center,"LIU, YAQIN",1304706,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,1,0,0,0,0,0,0
