Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Marine Policy Center,Massachusetts Institute of Technology,Marine Policy Center,3,11,0,0,2,1,0,0
Marine Policy Center,Duke University,"Marine Science and Conservation, Department of",1,3,0,0,0,0,0,0
Marine Policy Center,Louisiana State University,"Oceanography and Coastal Sciences, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,North Carolina State University,"Agricultural and Resource Economics, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,Texas State University,"Agricultural Sciences, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,University of Alaska Fairbanks,"Fisheries and Ocean Sciences, School of",1,1,0,0,0,0,0,0
Marine Policy Center,University of Florida,"Forest, Fisheries, and Geomatics Sciences, School of",1,3,0,0,0,0,0,0
Marine Policy Center,University of Maryland Eastern Shore,"Natural Sciences, Department of",1,0,0,0,0,1,0,0
Marine Policy Center,University of Massachusetts Dartmouth,"Fisheries Oceanography, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,University of Rhode Island,"Marine Affairs, Department of",2,1,0,0,0,0,0,0
Marine Policy Center,University of Rhode Island,"Ocean Engineering, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,University of Rhode Island,"Oceanography, Graduate School of",1,1,0,0,0,0,0,0
Marine Policy Center,University of Rhode Island,"Sociology and Anthropology, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,University of South Florida,"Marine Science, College of",1,1,0,0,0,0,0,0
Marine Policy Center,"University of Vermont, The","Environment and Natural Resources, Rubenstein School of",1,1,0,0,0,0,0,0
Marine Policy Center,Worcester Polytechnic Institute,"Chemical Engineering, Department of",2,1,0,0,0,0,0,0
Marine Policy Center,Worcester Polytechnic Institute,"Mechanical and Materials Engineering, Department of",1,1,0,0,0,0,0,0
Marine Policy Center,Montclair State University,"Earth and Environmental Studies, Department of",1,1,0,0,2,0,0,0
