Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Duke University,"WANG, HAOZHE",1867474,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Massachusetts Institute of Technology,"FREITAS, RODRIGO",1401904,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Massachusetts Institute of Technology,"KONG, JING",151147,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Massachusetts Institute of Technology,"ROSS, FRANCES MARY",884356,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Rice University,"HAN, YIMO",1304054,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Stanford University,"CHUEH, WILLIAM",525309,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,Stanford University,"DEVEREAUX, THOMAS PETER",333495,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,University of Colorado Boulder,"TONEY, MICHAEL FOLSOM",1347497,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ABATE, IWNETIM",1711445,"University of Texas at Austin, The","AKINWANDE, DEJI",412927,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Brown University,"MCDONALD, BENJAMIN R",1504925,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"COLEY, CONNOR WILSON",1092832,3,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"JOHNSON, JEREMIAH A",488073,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"LANGER, ROBERT S",83112,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"MACFARLANE, ROBERT J",789755,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"OLSEN, BRADLEY D",412248,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"ROSS, CAROLINE A",163144,3,0,0,0,1,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"SMITH, ZACHARY P",827668,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Massachusetts Institute of Technology,"SWAGER, TIMOTHY M",125401,3,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,"University of California, Berkeley","BUSTAMANTE, CARLOS J",14797,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,"University of California, Berkeley","HUANG, HAIYAN",50659,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,"University of California, Berkeley","XU, TING",130226,3,0,0,0,1,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,"University of California, Irvine","CHRISTOFF-TEMPESTA, TY",2026726,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,University of Illinois at Urbana-Champaign,"SING, CHARLES E",744024,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,University of Pennsylvania,"MA, LEYUAN",836764,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,Yale University,"ZHONG, MINGJIANG",790962,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,Colorado School of Mines,"ANDERSON, CORBY G",524532,0,1,0,0,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,Iowa State University,"LEE, JOHN JONGHYUN",749282,0,2,0,0,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,Massachusetts Institute of Technology,"CULPEPPER, MARTIN",25706,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,Massachusetts Institute of Technology,"DE WECK, OLIVIER L",25387,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,Massachusetts Institute of Technology,"HOFFMAN, JEFFREY A",56423,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,Massachusetts Institute of Technology,"OLIVETTI, ELSA A",779104,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,University of Rochester,"KELLEY, DOUGLAS H",632711,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Augusta University (Medical College of Georgia),"STRANAHAN, ALEXIS M",513172,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"Binghamton University, State University of New York","RAO, SIYUAN",837037,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"Binghamton University, State University of New York","WANG, QIANBIN",1783526,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,California Institute of Technology,"MANTHIRAM, KARTHISH",827667,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Carnegie Mellon University,"GROVER, PULKIT",540821,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Georgia Institute of Technology,"DEANS, TARA LYNN",585361,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Harvard University,"YACOBY, AMIR",116704,1,0,0,0,0,0,0
