Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Materials Science and Engineering, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,6,0,0,0,0,2,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Electrical Engineering and Computer Sciences, Department of","CHANDRAKASAN, ANANTHA P",19111,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Brain and Cognitive Sciences, Department of","CHOI, BOHYUN GLORIA",627124,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Biological Engineering, Department of","JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Physics, Department of","JOANNOPOULOS, JOHN",51541,3,0,0,0,0,4,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Mathematics, Department of","JOHNSON, STEVEN G",288194,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Materials Science and Engineering, Department of","LI, JU",488102,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Electrical Engineering and Computer Sciences, Department of","NIROUI, FARNAZ",863944,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,Institute for Medical Engineering and Science (IMES),"ROCHE, ELLEN",827687,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Chemical Engineering, Department of","SMITH, ZACHARY P",827668,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Electrical Engineering and Computer Sciences, Department of","VOLDMAN, JOEL",127691,0,0,0,0,1,0,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"Civil and Environmental Engineering, Department of","ZHAO, XUANHE",435117,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,"Institute for Data, Systems, and Society (IDSS)","FIELD, FRANK R",175970,1,0,0,1,0,0,0
"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,"Materials Science and Engineering, Department of","HU, JUEJUN",390730,3,0,0,6,0,2,0
"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,"Electrical Engineering and Computer Sciences, Department of","NOTAROS, JELENA",1304702,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,"Management, Sloan School of","WESTERMAN, GEORGE F",837848,1,0,0,1,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Electrical Engineering and Computer Sciences, Department of","AKINWANDE, AKINTUNDE I",113445,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,3,0,0,2,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Materials Science and Engineering, Department of","LEBEAU, JAMES M",436500,4,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Materials Science and Engineering, Department of","LI, JU",488102,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Materials Science and Engineering, Department of","ROSS, FRANCES MARY",884356,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Chemical Engineering, Department of","BRAATZ, RICHARD D",412328,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Chemical Engineering, Department of","BRUSHETT, FIKILE R",544458,24,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Materials Science and Engineering, Department of","CARTER, W CRAIG",287251,12,0,0,0,0,13,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Mechanical Engineering, Department of","HART, ANASTASIOS JOHN",250993,0,0,0,0,0,9,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Materials Science and Engineering, Department of","LEBEAU, JAMES M",436500,3,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Materials Science and Engineering, Department of","ROSS, FRANCES MARY",884356,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Mechanical Engineering, Department of","SACHS, EMANUEL MICHAEL",81836,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Mechanical Engineering, Department of","SLOCUM, ALEXANDER H",123583,0,0,0,0,0,5,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"Mechanical Engineering, Department of","VARANASI, KRIPA",289601,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","ORTIZ, CHRISTINE",159170,"Materials Science and Engineering, Department of","DAO, MING",432434,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ORTIZ, CHRISTINE",159170,"Biological Engineering, Department of","GRODZINSKY, ALAN J",144993,1,0,0,0,1,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,3,0,0,0,1,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","BEACH, GEOFFREY STEPHEN",287087,7,0,0,1,1,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,0,0,0,0,0,2,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Earth, Atmospheric and Planetary Sciences, Department of","CHATTERJEE, NILANJAN",544465,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Physics, Department of","COMIN, RICCARDO",827646,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","GOMEZ-BOMBARELLI, RAFAEL",827387,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","HU, JUEJUN",390730,2,0,0,1,2,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Chemistry, Department of","JOHNSON, JEREMIAH A",488073,2,0,0,0,1,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","KIM, JEEHWAN",789790,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","LEBEAU, JAMES M",436500,8,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Materials Science and Engineering, Department of","LI, JU",488102,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Electrical Engineering and Computer Sciences, Department of","LIU, LUQIAO",789743,4,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"Chemistry, Department of","NELSON, KEITH ADAM",158105,0,0,0,0,1,0,0
