Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Materials Science and Engineering, Department of",Massachusetts Institute of Technology,"Materials Science and Engineering, Department of",37,523,3,0,73,9,129,0
"Materials Science and Engineering, Department of","University of California, Irvine","Mechanical and Aerospace Engineering, Department of",2,3,0,0,0,0,0,0
"Materials Science and Engineering, Department of","University of California, Irvine","Physics and Astronomy, Department of",2,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","University of California, Irvine","Anatomy and Neurobiology, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","University of California, Irvine","Materials Science and Engineering, Department of",4,9,0,0,0,0,1,0
"Materials Science and Engineering, Department of",George Washington University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of",Illinois Institute of Technology,"Chemistry, Department of",2,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of",Northwestern University,"Chemical and Biological Engineering, Department of",1,10,0,0,0,0,0,0
"Materials Science and Engineering, Department of",Northwestern University,"Industrial Engineering and Management Science, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of",Northwestern University,"Materials Science and Engineering, Department of",8,19,0,0,0,0,9,0
"Materials Science and Engineering, Department of",Northwestern University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of",Northwestern University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","Stony Brook University, State University of New York","Chemistry, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","Stony Brook University, State University of New York","Materials Science and Chemical Engineering, Department of",3,3,0,0,0,0,0,0
"Materials Science and Engineering, Department of","Stony Brook University, State University of New York","Physics and Astronomy, Department of",1,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of",University of Rochester,"Mechanical Engineering, Department of",2,2,0,0,1,0,0,0
"Materials Science and Engineering, Department of",University of Rochester,"Optics, Institute of",1,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","University of Maryland, College Park","Materials Science and Engineering, Department of",4,25,0,1,18,0,3,0
"Materials Science and Engineering, Department of",University of Missouri,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
