Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Materials Science and Engineering, Department of","Materials Science and Engineering, Department of",28,138,0,0,10,7,22,0
"Materials Science and Engineering, Department of","Aeronautics and Astronautics, Department of",4,3,0,0,1,0,0,0
"Materials Science and Engineering, Department of","Biological Engineering, Department of",8,7,0,0,1,3,1,0
"Materials Science and Engineering, Department of","Brain and Cognitive Sciences, Department of",6,5,0,1,1,1,1,0
"Materials Science and Engineering, Department of","Chemical Engineering, Department of",14,75,0,0,2,3,4,0
"Materials Science and Engineering, Department of","Chemistry, Department of",11,50,0,0,0,3,14,0
"Materials Science and Engineering, Department of","Civil and Environmental Engineering, Department of",6,9,0,0,0,0,0,0
"Materials Science and Engineering, Department of",Comparative Media Studies/Writing Section,1,0,0,0,1,0,0,0
"Materials Science and Engineering, Department of","Earth, Atmospheric and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",23,39,0,0,6,3,13,0
"Materials Science and Engineering, Department of","Institute for Data, Systems, and Society (IDSS)",5,4,0,0,2,1,0,0
"Materials Science and Engineering, Department of",Institute for Medical Engineering and Science (IMES),5,7,0,0,0,2,0,0
"Materials Science and Engineering, Department of","Management, Sloan School of",1,1,0,0,1,0,0,0
"Materials Science and Engineering, Department of","Mathematics, Department of",2,14,0,0,0,0,1,0
"Materials Science and Engineering, Department of","Mechanical Engineering, Department of",27,40,0,0,5,4,18,0
"Materials Science and Engineering, Department of","Media Arts and Sciences, Program in",1,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","Nuclear Science and Engineering, Department of",6,23,0,0,0,0,0,0
"Materials Science and Engineering, Department of","Physics, Department of",11,25,0,0,1,1,5,0
"Materials Science and Engineering, Department of","Urban Studies and Planning, Department of",1,1,0,0,0,0,0,0
