Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"ANIKEEVA, POLINA OLEGOVNA",488093,6,0,0,0,0,2,0
"Materials Science and Engineering, Department of","FINK, YOEL",37997,"LI, JU",488102,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,"HU, JUEJUN",390730,3,0,0,6,0,2,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"LEBEAU, JAMES M",436500,4,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"LI, JU",488102,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"ROSS, FRANCES MARY",884356,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,"YILDIZ, BILGE",173103,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"CARTER, W CRAIG",287251,12,0,0,0,0,13,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"GROSSMAN, JEFFREY C",412313,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"LEBEAU, JAMES M",436500,3,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CHIANG, YET-MING",136907,"ROSS, FRANCES MARY",884356,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ORTIZ, CHRISTINE",159170,"DAO, MING",432434,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"ALEXANDER-KATZ, ALFREDO",176120,3,0,0,0,1,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"BEACH, GEOFFREY STEPHEN",287087,7,0,0,1,1,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"GOMEZ-BOMBARELLI, RAFAEL",827387,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"HU, JUEJUN",390730,2,0,0,1,2,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"KIM, JEEHWAN",789790,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"LEBEAU, JAMES M",436500,8,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"LI, JU",488102,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ROSS, CAROLINE A",163144,"YILDIZ, BILGE",173103,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","SHAO-HORN, YANG",165211,"GOMEZ-BOMBARELLI, RAFAEL",827387,7,0,0,0,0,0,0
"Materials Science and Engineering, Department of","SHAO-HORN, YANG",165211,"GROSSMAN, JEFFREY C",412313,14,0,0,0,0,0,0
"Materials Science and Engineering, Department of","SHAO-HORN, YANG",165211,"LEBEAU, JAMES M",436500,4,0,0,0,0,0,0
"Materials Science and Engineering, Department of","SHAO-HORN, YANG",165211,"LI, JU",488102,4,0,0,0,0,0,0
"Materials Science and Engineering, Department of","SHAO-HORN, YANG",165211,"THOMPSON, CARL VERNETTE",305114,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","SHAO-HORN, YANG",165211,"YILDIZ, BILGE",173103,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"BEACH, GEOFFREY STEPHEN",287087,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"GOMEZ-BOMBARELLI, RAFAEL",827387,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"KIM, JEEHWAN",789790,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"LEBEAU, JAMES M",436500,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"LI, JU",488102,11,0,0,2,1,1,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"ROSS, CAROLINE A",163144,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"ROSS, FRANCES MARY",884356,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"SHAO-HORN, YANG",165211,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"TASAN, CEMAL",827638,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,"TULLER, HARRY L",90491,5,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,"MACFARLANE, ROBERT J",789755,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","ALEXANDER-KATZ, ALFREDO",176120,"ROSS, CAROLINE A",163144,3,0,0,0,1,0,0
"Materials Science and Engineering, Department of","BEACH, GEOFFREY STEPHEN",287087,"GOMEZ-BOMBARELLI, RAFAEL",827387,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","BEACH, GEOFFREY STEPHEN",287087,"LI, JU",488102,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","BEACH, GEOFFREY STEPHEN",287087,"ROSS, CAROLINE A",163144,7,0,0,1,1,0,0
"Materials Science and Engineering, Department of","BEACH, GEOFFREY STEPHEN",287087,"YILDIZ, BILGE",173103,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CARTER, W CRAIG",287251,"CHIANG, YET-MING",136907,12,0,0,0,0,13,0
"Materials Science and Engineering, Department of","CARTER, W CRAIG",287251,"LEBEAU, JAMES M",436500,2,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CARTER, W CRAIG",287251,"MACFARLANE, ROBERT J",789755,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","CARTER, W CRAIG",287251,"THOMPSON, CARL VERNETTE",305114,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","THOMPSON, CARL VERNETTE",305114,"CARTER, W CRAIG",287251,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","THOMPSON, CARL VERNETTE",305114,"SHAO-HORN, YANG",165211,0,0,0,0,0,1,0
"Materials Science and Engineering, Department of","HU, JUEJUN",390730,"JARAMILLO, RAFAEL",789757,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","HU, JUEJUN",390730,"KIMERLING, LIONEL C",60448,3,0,0,6,0,2,0
"Materials Science and Engineering, Department of","HU, JUEJUN",390730,"LEBEAU, JAMES M",436500,0,0,0,0,1,0,0
"Materials Science and Engineering, Department of","HU, JUEJUN",390730,"ROSS, CAROLINE A",163144,2,0,0,1,2,0,0
"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,"CHIANG, YET-MING",136907,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,"GOMEZ-BOMBARELLI, RAFAEL",827387,4,0,0,0,0,0,0
"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,"LI, JU",488102,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,"OLIVETTI, ELSA A",779104,1,0,0,0,0,0,0
"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,"SHAO-HORN, YANG",165211,14,0,0,0,0,0,0
"Materials Science and Engineering, Department of","DAO, MING",432434,"LI, JU",488102,2,0,0,0,0,3,0
"Materials Science and Engineering, Department of","DAO, MING",432434,"ORTIZ, CHRISTINE",159170,1,0,0,0,0,0,0
