Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mathematics, Department of","ALVAREZ-GAVELA, DANIEL",1770168,Stanford University,"ELIASHBERG, YAKOV",140955,2,0,0,0,0,0,0
"Mathematics, Department of","ALVAREZ-GAVELA, DANIEL",1770168,"University of California, Berkeley","NADLER, DAVID",527906,2,0,0,0,0,0,0
"Mathematics, Department of","BAI, SHAOYUN",1813646,Stanford University,"SWAMINATHAN, MOHAN",1777439,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Brown University,"KUEHNE, MATTHIAS",1787489,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Case Western Reserve University,"WARBURTON, ROBERT",1792999,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Harvard University,"KOZINSKY, BORIS",858611,3,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BISCHOFBERGER, IRMGARD",827641,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BLANKSCHTEIN, EDMUNDO D",287136,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BRAATZ, RICHARD D",412328,25,0,0,1,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BRUSHETT, FIKILE R",544458,0,0,0,0,0,1,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BUIE, CULLEN",412279,0,0,0,0,0,1,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BUSH, JOHN W. M",15460,2,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"DOYLE, PATRICK S",29241,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"GROSSMAN, JEFFREY C",412313,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"HATTON, TREVOR ALAN",46018,3,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"KARNIK, ROHIT",64348,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"KULIK, HEATHER JANINE",627128,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"LI, JU",488102,4,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"SHAO-HORN, YANG",165211,9,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"SHORT, MICHAEL P",544545,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"STRANO, MICHAEL S",106262,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"WIERZBICKI, TOMASZ",114961,2,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"WILLARD, ADAM P",627131,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"YILDIZ, BILGE",173103,1,0,0,0,0,0,0
