Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mathematics, Department of","BUSH, JOHN W. M",15460,"Mathematics, Department of","BAZANT, MARTIN Z",412297,2,0,0,0,0,0,0
"Mathematics, Department of","BUSH, JOHN W. M",15460,"Mathematics, Department of","DUNKEL, JOERN",627158,1,0,0,0,0,0,0
"Mathematics, Department of","BUSH, JOHN W. M",15460,"Mathematics, Department of","ROSALES, RODOLFO RUBEN",163044,1,0,0,0,0,0,0
"Mathematics, Department of","VOGAN, DAVID A",24644,"Mathematics, Department of","LUSZTIG, GEORGE",64189,1,0,0,0,0,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Mechanical Engineering, Department of","BARBASTATHIS, GEORGE",132426,1,0,0,0,0,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Chemical Engineering, Department of","BRAATZ, RICHARD D",412328,1,0,0,0,0,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Earth, Atmospheric and Planetary Sciences, Department of","HILL, CHRISTOPHER N",544469,0,0,0,0,1,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Aeronautics and Astronautics, Department of","LINARES, RICHARD",779767,0,0,0,0,1,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,0,0,0,0,1,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Electrical Engineering and Computer Sciences, Department of","RIVEST, RONALD L",98082,1,0,0,0,0,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"Mathematics, Department of","URSCHEL, JOHN CAMERON",1508126,1,0,0,0,0,0,0
"Mathematics, Department of","ETINGOF, PAVEL I",35018,"Mathematics, Department of","URSCHEL, JOHN CAMERON",1508126,0,0,0,0,1,0,0
"Mathematics, Department of","KAC, VICTOR",52712,"Mathematics, Department of","BEZRUKAVNIKOV, ROMAN",287125,1,0,0,0,0,0,0
"Mathematics, Department of","LUSZTIG, GEORGE",64189,"Mathematics, Department of","VOGAN, DAVID A",24644,1,0,0,0,0,0,0
"Mathematics, Department of","PARRILO, PABLO A",115030,"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,0,0,0,0,1,0,0
"Mathematics, Department of","PARRILO, PABLO A",115030,"Mathematics, Department of","MOITRA, ANKUR",627159,0,0,0,0,1,0,0
"Mathematics, Department of","PARRILO, PABLO A",115030,"Electrical Engineering and Computer Sciences, Department of","OZDAGLAR, ASUMAN E",159339,2,0,0,0,0,0,0
"Mathematics, Department of","PARRILO, PABLO A",115030,"Aeronautics and Astronautics, Department of","TEDRAKE, RUSSELL L",168635,1,0,0,1,0,0,0
"Mathematics, Department of","JERISON, DAVID S",148903,"Mathematics, Department of","SEIDEL, PAUL ALFRED",164913,0,2,0,0,0,0,0
"Mathematics, Department of","JERISON, DAVID S",148903,"Mathematics, Department of","STANLEY, RICHARD P",167183,0,1,0,0,0,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"Electrical Engineering and Computer Sciences, Department of","INDYK, PIOTR",49676,0,0,0,0,2,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"Mathematics, Department of","MOITRA, ANKUR",627159,0,0,0,0,1,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"Mathematics, Department of","PARRILO, PABLO A",115030,0,0,0,0,1,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,0,0,0,0,2,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"Electrical Engineering and Computer Sciences, Department of","RUBINFELD, RONITT",99686,0,0,0,0,2,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,0,0,0,0,2,0,0
"Mathematics, Department of","ROSALES, RODOLFO RUBEN",163044,"Mathematics, Department of","BUSH, JOHN W. M",15460,1,0,0,0,0,0,0
"Mathematics, Department of","ROSALES, RODOLFO RUBEN",163044,"Mathematics, Department of","DUNKEL, JOERN",627158,1,0,0,0,0,0,0
"Mathematics, Department of","SEIDEL, PAUL ALFRED",164913,"Mathematics, Department of","JERISON, DAVID S",148903,0,2,0,0,0,0,0
"Mathematics, Department of","SEIDEL, PAUL ALFRED",164913,"Mathematics, Department of","STANLEY, RICHARD P",167183,0,2,0,0,0,0,0
"Mathematics, Department of","STANLEY, RICHARD P",167183,"Mathematics, Department of","JERISON, DAVID S",148903,0,1,0,0,0,0,0
"Mathematics, Department of","STANLEY, RICHARD P",167183,"Mathematics, Department of","SEIDEL, PAUL ALFRED",164913,0,2,0,0,0,0,0
"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,"Electrical Engineering and Computer Sciences, Department of","INDYK, PIOTR",49676,0,0,0,0,2,0,0
"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,0,0,0,0,2,0,0
"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,"Electrical Engineering and Computer Sciences, Department of","RUBINFELD, RONITT",99686,0,0,0,0,2,0,0
"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,0,0,0,0,2,0,0
"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,"Electrical Engineering and Computer Sciences, Department of","SOLOMON, JUSTIN",824717,0,0,0,0,1,0,0
"Mathematics, Department of","BEZRUKAVNIKOV, ROMAN",287125,"Mathematics, Department of","KAC, VICTOR",52712,1,0,0,0,0,0,0
"Mathematics, Department of","BEZRUKAVNIKOV, ROMAN",287125,"Mathematics, Department of","YUN, ZHIWEI",525312,0,1,0,0,0,0,0
"Mathematics, Department of","COLDING, TOBIAS",287369,"Mathematics, Department of","MINICOZZI, WILLIAM",544524,7,0,0,0,0,0,0
"Mathematics, Department of","MAULIK, DAVESH",406197,"Mathematics, Department of","NEGUT, ANDREI",789758,1,0,0,0,0,0,0
"Mathematics, Department of","ZHANG, WEI",406203,"Mathematics, Department of","YUN, ZHIWEI",525312,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Mechanical Engineering, Department of","BISCHOFBERGER, IRMGARD",827641,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","BLANKSCHTEIN, EDMUNDO D",287136,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","BRAATZ, RICHARD D",412328,25,0,0,1,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","BRUSHETT, FIKILE R",544458,0,0,0,0,0,1,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Mechanical Engineering, Department of","BUIE, CULLEN",412279,0,0,0,0,0,1,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Mathematics, Department of","BUSH, JOHN W. M",15460,2,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,3,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Mechanical Engineering, Department of","KARNIK, ROHIT",64348,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","KULIK, HEATHER JANINE",627128,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Materials Science and Engineering, Department of","LI, JU",488102,4,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemistry, Department of","SHAO-HORN, YANG",165211,9,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Nuclear Science and Engineering, Department of","SHORT, MICHAEL P",544545,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemical Engineering, Department of","STRANO, MICHAEL S",106262,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Mechanical Engineering, Department of","WIERZBICKI, TOMASZ",114961,2,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Chemistry, Department of","WILLARD, ADAM P",627131,1,0,0,0,0,0,0
"Mathematics, Department of","BAZANT, MARTIN Z",412297,"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,1,0,0,0,0,0,0
"Mathematics, Department of","YUN, ZHIWEI",525312,"Mathematics, Department of","BEZRUKAVNIKOV, ROMAN",287125,0,1,0,0,0,0,0
"Mathematics, Department of","YUN, ZHIWEI",525312,"Mathematics, Department of","ZHANG, WEI",406203,1,0,0,0,0,0,0
"Mathematics, Department of","MINICOZZI, WILLIAM",544524,"Mathematics, Department of","COLDING, TOBIAS",287369,7,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Mathematics, Department of","BUSH, JOHN W. M",15460,1,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Physics, Department of","FAKHRI, NIKTA",789762,2,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Brain and Cognitive Sciences, Department of","FLAVELL, STEVEN WILLEM",827627,1,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Mechanical Engineering, Department of","KOLLE, MATHIAS",627162,1,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Biology, Department of","MARTIN, ADAM C",488069,4,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Mathematics, Department of","ROSALES, RODOLFO RUBEN",163044,1,0,0,0,0,0,0
"Mathematics, Department of","DUNKEL, JOERN",627158,"Biological Engineering, Department of","SO, PETER T. C",14958,1,0,0,0,0,0,0
"Mathematics, Department of","MOITRA, ANKUR",627159,"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,0,0,0,0,1,0,0
"Mathematics, Department of","MOITRA, ANKUR",627159,"Electrical Engineering and Computer Sciences, Department of","LIU, KUIKUI",1823997,0,0,0,1,0,0,0
"Mathematics, Department of","MOITRA, ANKUR",627159,"Mathematics, Department of","MOSSEL, ELCHANAN",750286,0,0,0,0,1,0,0
"Mathematics, Department of","MOITRA, ANKUR",627159,"Mathematics, Department of","PARRILO, PABLO A",115030,0,0,0,0,1,0,0
"Mathematics, Department of","MOSSEL, ELCHANAN",750286,"Institute for Data, Systems, and Society (IDSS)","ECKLES, DEAN GRIFFIN",789753,2,0,0,0,0,0,0
"Mathematics, Department of","MOSSEL, ELCHANAN",750286,"Civil and Environmental Engineering, Department of","JADBABAIE-MOGHADAM, ALI",60885,2,0,0,1,0,0,0
"Mathematics, Department of","MOSSEL, ELCHANAN",750286,"Mathematics, Department of","MINZER PARNES, DOR",1108345,0,0,0,2,0,0,0
"Mathematics, Department of","MOSSEL, ELCHANAN",750286,"Mathematics, Department of","MOITRA, ANKUR",627159,0,0,0,0,1,0,0
"Mathematics, Department of","MOSSEL, ELCHANAN",750286,"Electrical Engineering and Computer Sciences, Department of","POLYANSKIY, YURY",488081,1,0,0,1,0,0,0
"Mathematics, Department of","NEGUT, ANDREI",789758,"Mathematics, Department of","MAULIK, DAVESH",406197,1,0,0,0,0,0,0
