Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mathematics, Department of",Massachusetts Institute of Technology,"Mathematics, Department of",56,330,12,0,44,5,9,0
"Mathematics, Department of",Arizona State University,"Mathematical and Statistical Sciences, School of",1,2,0,0,0,0,0,0
"Mathematics, Department of",Arizona State University,"Electrical, Computer and Energy Engineering, School of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Arizona State University,"Computing and Augmented Intelligence, School of - Computer Science Faculty",1,2,0,0,0,0,0,0
"Mathematics, Department of",Arizona State University,"Molecular Sciences, School of",2,1,0,0,0,0,0,0
"Mathematics, Department of",Arizona State University,"Health Solutions, College of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Arizona State University,"Ocean Futures, School of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Boston University,"Mathematics and Statistics, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of",Boston University,"Mechanical Engineering, Department of",1,4,0,1,0,0,0,0
"Mathematics, Department of",Brandeis University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Brown University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Brown University,"Physics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Brown University,"Applied Mathematics, Division of",1,0,0,0,1,0,0,0
"Mathematics, Department of",California Institute of Technology,"Mathematics, Department of",4,8,0,0,0,0,0,0
"Mathematics, Department of",California Institute of Technology,"Mechanical and Civil Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",California Institute of Technology,"Chemistry and Chemical Engineering, Division of",1,1,0,0,0,0,0,0
"Mathematics, Department of",California Institute of Technology,"Physics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Carnegie Mellon University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Carnegie Mellon University,"Machine Learning, Department of",2,1,0,0,0,0,0,0
"Mathematics, Department of",Carnegie Mellon University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Carnegie Mellon University,"Mathematical Sciences, Department of",1,5,0,0,0,0,0,0
"Mathematics, Department of",Carnegie Mellon University,"Statistics and Data Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Carnegie Mellon University,"Computational Biology, Department of",2,3,0,0,0,0,0,0
"Mathematics, Department of",Case Western Reserve University,"Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Columbia University,"Applied Physics and Applied Mathematics, Department of",1,0,0,0,0,0,1,0
"Mathematics, Department of",Columbia University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Columbia University,"Electrical Engineering, Department of",1,0,0,0,0,0,1,0
"Mathematics, Department of",Columbia University,"Industrial Engineering and Operations Research, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Columbia University,"Mathematics, Department of",6,16,2,0,0,0,0,0
"Mathematics, Department of",Columbia University,"Statistics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Cornell University,"Computer Science, Department of",2,0,0,0,1,0,1,0
"Mathematics, Department of",Cornell University,"Electrical and Computer Engineering, Department of",1,1,0,0,1,0,0,0
"Mathematics, Department of",Cornell University,"Mathematics, Department of",1,3,0,0,0,0,0,0
"Mathematics, Department of",Cornell University,"Physics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Dartmouth College,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Dartmouth College,"Mathematics, Department of",2,2,0,0,0,0,0,0
"Mathematics, Department of",Dartmouth College,"Engineering, Thayer School of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Dartmouth College,"Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Dartmouth College,"Molecular and Systems Biology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Duke University,"Cell Biology, Department of",1,6,0,0,0,0,0,0
"Mathematics, Department of",Duke University,"Computer Science, Department of",1,0,0,1,0,0,0,0
"Mathematics, Department of",Duke University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Duke University,"Biostatistics and Bioinformatics, Department of",1,6,0,0,0,0,0,0
"Mathematics, Department of",Emory University,"Economics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Fordham University,"Mathematics, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of",Georgia Institute of Technology,"Chemical and Biomolecular Engineering, School of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Georgia Institute of Technology,"Computational Science and Engineering, School of",1,12,0,0,6,0,0,0
"Mathematics, Department of",Georgia Institute of Technology,"Electrical and Computer Engineering, School of",2,6,0,0,0,0,0,0
"Mathematics, Department of",Georgia Institute of Technology,"Physics, School of",1,4,0,0,0,0,0,0
"Mathematics, Department of",Georgia Institute of Technology,"Computer Science, School of",1,1,0,0,1,0,0,0
"Mathematics, Department of",Georgia Institute of Technology,"Biological Sciences, School of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Chemistry and Chemical Biology, Department of",1,3,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Mathematics, Department of",4,3,3,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Statistics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Biological Chemistry and Molecular Pharmacology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Genetics, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Neurobiology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Stem Cell and Regenerative Biology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,Materials Science and Mechanical Engineering Area,1,3,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,"Immunology and Infectious Diseases, Department of",1,4,0,0,0,0,0,0
"Mathematics, Department of",Harvard University,Electrical Engineering Area,1,0,0,0,0,0,1,0
"Mathematics, Department of",Harvard University,Computer Science Area,3,1,0,0,4,0,0,0
"Mathematics, Department of",Harvard University,Applied Physics Area,1,3,0,0,2,0,0,0
"Mathematics, Department of",Harvard University,"Biomedical Informatics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Howard University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Illinois State University,"Biological Sciences, School of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Indiana University - Bloomington,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Indiana University - Bloomington,"Intelligent Systems Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Iowa State University,"Mathematics, Department of",2,2,1,0,1,0,0,0
"Mathematics, Department of",Kansas State University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Kent State University,"Mathematical Sciences, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Icahn School of Medicine at Mount Sinai,"Genetics and Genomic Sciences, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",New Jersey Institute of Technology,"Mathematical Sciences, Department of",2,3,0,0,0,0,0,0
"Mathematics, Department of",New York University,"Computer Science, Department of",1,2,0,0,6,0,0,0
"Mathematics, Department of",New York University,"Mathematics, Department of",4,4,0,0,0,0,0,0
"Mathematics, Department of",New York University,"Mathematics (Polytechnic Institute), Department of",5,6,0,0,6,0,0,0
"Mathematics, Department of",North Carolina State University,"Mathematics, Department of",1,4,0,1,0,0,0,0
"Mathematics, Department of",Northeastern University,"Mathematics, Department of",2,2,0,0,0,0,0,0
"Mathematics, Department of",Northeastern University,"Mechanical and Industrial Engineering, Department of",2,10,0,0,0,0,0,0
"Mathematics, Department of",Northeastern University,"Computer Sciences, Khoury College of",1,0,0,0,0,0,1,0
"Mathematics, Department of",Northwestern University,"Industrial Engineering and Management Science, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of",Northwestern University,"Mathematics, Department of",3,4,0,0,0,0,0,0
"Mathematics, Department of",Pennsylvania State University - University Park,"Computer Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Pennsylvania State University - University Park,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Princeton University,"Chemical and Biological Engineering, Department of",1,14,0,0,0,0,0,0
"Mathematics, Department of",Princeton University,"Computer Science, Department of",3,8,0,0,4,0,0,0
"Mathematics, Department of",Princeton University,"Electrical Engineering, Department of",2,1,0,0,0,0,1,0
"Mathematics, Department of",Princeton University,"Mathematics, Department of",4,5,0,1,1,0,0,0
"Mathematics, Department of",Princeton University,"Mechanical and Aerospace Engineering, Department of",2,2,0,0,0,0,0,0
"Mathematics, Department of",Princeton University,"Molecular Biology, Department of",2,2,0,0,0,0,0,0
"Mathematics, Department of",Princeton University,"Physics, Department of",1,3,0,0,0,0,0,0
"Mathematics, Department of",Princeton University,Princeton Materials Institute,1,1,0,0,0,0,0,0
"Mathematics, Department of",Purdue University,"Computer Science, Department of",1,2,0,0,1,0,0,0
"Mathematics, Department of",Purdue University,"Electrical and Computer Engineering, Department of",1,0,0,0,0,0,1,0
"Mathematics, Department of",Purdue University,"Industrial Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Purdue University,"Materials Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Purdue University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Rice University,"Mathematics, Department of",2,2,0,0,0,0,0,0
"Mathematics, Department of",Rutgers - New Brunswick,"Mathematics, Department of",3,3,0,0,0,0,0,0
"Mathematics, Department of",Rutgers - New Brunswick,"Management Science and Information Systems, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Rutgers - New Brunswick,"Statistics, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of",Stanford University,"Chemical Engineering, Department of",1,4,0,0,0,0,0,0
"Mathematics, Department of",Stanford University,"Computer Science, Department of",2,1,0,0,1,0,0,0
"Mathematics, Department of",Stanford University,"Energy Science and Engineering, Department of",2,17,0,0,0,0,0,0
"Mathematics, Department of",Stanford University,"Management Science and Engineering, Department of",1,0,0,0,1,0,0,0
"Mathematics, Department of",Stanford University,"Materials Science and Engineering, Department of",3,16,0,0,0,0,0,0
"Mathematics, Department of",Stanford University,"Mathematics, Department of",7,21,0,0,0,0,0,0
"Mathematics, Department of",Stanford University,"Mechanical Engineering, Department of",4,4,0,0,0,0,1,0
"Mathematics, Department of",Stanford University,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Stevens Institute of Technology,"Chemical Engineering and Materials Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","Stony Brook University, State University of New York","Mathematics, Department of",1,3,0,0,0,0,0,0
"Mathematics, Department of",Temple University,"Biology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Temple University,"Mathematics, Department of",1,2,0,0,1,0,0,0
"Mathematics, Department of",Texas A&M University,"Biology, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Texas A&M University,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of",Texas A&M University,"Mathematics, Department of",1,4,1,0,0,0,0,0
"Mathematics, Department of","University of Texas at Austin, The","Computer Sciences, Department of",1,0,0,0,1,0,0,0
"Mathematics, Department of","University of Texas at Austin, The","Mathematics, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of","University of Texas at Austin, The","Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of Texas at Austin, The","Physics, Department of",1,0,0,0,0,0,1,0
"Mathematics, Department of","University of Texas at Austin, The","Statistics and Data Sciences, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of Texas at El Paso, The","Earth, Environmental and Resource Sciences, Department of",1,3,0,0,2,0,0,0
"Mathematics, Department of",Tufts University,"Computer Science, Department of",2,5,0,0,0,0,0,0
"Mathematics, Department of",Tufts University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of Arizona, The","Molecular and Cellular Biology, Department of",1,2,0,0,0,0,0,0
"Mathematics, Department of","University of California, Berkeley","Civil and Environmental Engineering, Department of",2,2,1,0,0,0,0,0
"Mathematics, Department of","University of California, Berkeley","Electrical Engineering and Computer Sciences, Department of",8,3,0,0,0,2,1,0
"Mathematics, Department of","University of California, Berkeley","Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of California, Berkeley","Mathematics, Department of",9,11,2,0,1,1,0,0
"Mathematics, Department of","University of California, Berkeley","Physics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of California, Berkeley","Statistics, Department of",4,1,0,0,1,2,0,0
"Mathematics, Department of","University of California, Berkeley","Information, School of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of California, Davis","Electrical and Computer Engineering, Department of",1,0,0,0,0,1,0,0
"Mathematics, Department of","University of California, Davis","Mathematics, Department of",3,4,0,0,1,0,0,0
"Mathematics, Department of","University of California, Davis","Statistics, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","University of California, Irvine","Chemistry, Department of",2,3,0,0,0,0,0,0
"Mathematics, Department of","University of California, Irvine","Earth System Science, Department of",1,1,0,0,0,0,0,0
