Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mathematics, Department of","Mathematics, Department of",28,16,4,0,2,5,0,0
"Mathematics, Department of","Aeronautics and Astronautics, Department of",3,1,0,0,1,1,0,0
"Mathematics, Department of","Biological Engineering, Department of",4,7,0,0,0,0,1,0
"Mathematics, Department of","Biology, Department of",2,10,0,0,1,0,0,0
"Mathematics, Department of","Brain and Cognitive Sciences, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","Chemical Engineering, Department of",10,33,0,0,1,0,2,0
"Mathematics, Department of","Chemistry, Department of",4,18,0,0,0,0,0,0
"Mathematics, Department of","Civil and Environmental Engineering, Department of",1,3,0,0,2,0,0,0
"Mathematics, Department of","Earth, Atmospheric and Planetary Sciences, Department of",2,5,0,0,0,1,0,0
"Mathematics, Department of","Electrical Engineering and Computer Sciences, Department of",15,10,0,0,5,6,0,0
"Mathematics, Department of","Institute for Data, Systems, and Society (IDSS)",8,11,0,0,4,4,0,0
"Mathematics, Department of",Institute for Medical Engineering and Science (IMES),2,9,0,0,0,0,0,0
"Mathematics, Department of","Linguistics and Philosophy, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","Management, Sloan School of",1,2,0,0,0,0,0,0
"Mathematics, Department of","Materials Science and Engineering, Department of",6,14,0,0,0,0,1,0
"Mathematics, Department of","Mechanical Engineering, Department of",10,19,1,0,0,0,4,0
"Mathematics, Department of","Nuclear Science and Engineering, Department of",3,4,0,0,0,0,0,0
"Mathematics, Department of","Physics, Department of",8,14,0,0,9,1,7,0
"Mathematics, Department of","Political Science, Department of",1,1,0,0,0,0,0,0
"Mathematics, Department of","Urban Studies and Planning, Department of",1,0,0,0,2,0,0,0
