Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mathematics, Department of","BUSH, JOHN W. M",15460,"BAZANT, MARTIN Z",412297,2,0,0,0,0,0,0
"Mathematics, Department of","BUSH, JOHN W. M",15460,"DUNKEL, JOERN",627158,1,0,0,0,0,0,0
"Mathematics, Department of","BUSH, JOHN W. M",15460,"ROSALES, RODOLFO RUBEN",163044,1,0,0,0,0,0,0
"Mathematics, Department of","VOGAN, DAVID A",24644,"LUSZTIG, GEORGE",64189,1,0,0,0,0,0,0
"Mathematics, Department of","EDELMAN, ALAN",33041,"URSCHEL, JOHN CAMERON",1508126,1,0,0,0,0,0,0
"Mathematics, Department of","ETINGOF, PAVEL I",35018,"URSCHEL, JOHN CAMERON",1508126,0,0,0,0,1,0,0
"Mathematics, Department of","KAC, VICTOR",52712,"BEZRUKAVNIKOV, ROMAN",287125,1,0,0,0,0,0,0
"Mathematics, Department of","LUSZTIG, GEORGE",64189,"VOGAN, DAVID A",24644,1,0,0,0,0,0,0
"Mathematics, Department of","PARRILO, PABLO A",115030,"KELNER, JONATHAN ADAM",150169,0,0,0,0,1,0,0
"Mathematics, Department of","PARRILO, PABLO A",115030,"MOITRA, ANKUR",627159,0,0,0,0,1,0,0
"Mathematics, Department of","JERISON, DAVID S",148903,"SEIDEL, PAUL ALFRED",164913,0,2,0,0,0,0,0
"Mathematics, Department of","JERISON, DAVID S",148903,"STANLEY, RICHARD P",167183,0,1,0,0,0,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"MOITRA, ANKUR",627159,0,0,0,0,1,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"PARRILO, PABLO A",115030,0,0,0,0,1,0,0
"Mathematics, Department of","KELNER, JONATHAN ADAM",150169,"RIGOLLET, PHILIPPE",190653,0,0,0,0,2,0,0
"Mathematics, Department of","ROSALES, RODOLFO RUBEN",163044,"BUSH, JOHN W. M",15460,1,0,0,0,0,0,0
"Mathematics, Department of","ROSALES, RODOLFO RUBEN",163044,"DUNKEL, JOERN",627158,1,0,0,0,0,0,0
"Mathematics, Department of","SEIDEL, PAUL ALFRED",164913,"JERISON, DAVID S",148903,0,2,0,0,0,0,0
"Mathematics, Department of","SEIDEL, PAUL ALFRED",164913,"STANLEY, RICHARD P",167183,0,2,0,0,0,0,0
"Mathematics, Department of","STANLEY, RICHARD P",167183,"JERISON, DAVID S",148903,0,1,0,0,0,0,0
"Mathematics, Department of","STANLEY, RICHARD P",167183,"SEIDEL, PAUL ALFRED",164913,0,2,0,0,0,0,0
"Mathematics, Department of","RIGOLLET, PHILIPPE",190653,"KELNER, JONATHAN ADAM",150169,0,0,0,0,2,0,0
"Mathematics, Department of","BEZRUKAVNIKOV, ROMAN",287125,"KAC, VICTOR",52712,1,0,0,0,0,0,0
"Mathematics, Department of","BEZRUKAVNIKOV, ROMAN",287125,"YUN, ZHIWEI",525312,0,1,0,0,0,0,0
