Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,Massachusetts Institute of Technology,"ASADA, HARUHIKO",131768,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,Massachusetts Institute of Technology,"GUO, MING",789760,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,Massachusetts Institute of Technology,"KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,Northeastern University,"BI, MAX",819167,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,University of Pennsylvania,"PUROHIT, PRASHANT K",77533,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,"Binghamton University, State University of New York","LIU, DEHAO",1673098,0,0,1,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Carnegie Mellon University,"MCCOMB, CHRISTOPHER",856335,1,0,1,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Carnegie Mellon University,"WANG, LIWEI",2033831,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Clemson University,"RAI, RAHUL",541482,0,0,1,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Massachusetts Institute of Technology,"ACEMOGLU, DARON DARON",286887,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Massachusetts Institute of Technology,"HARE, JACK",1401903,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Northwestern University,"CHEN, WEI",303610,3,0,1,1,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Northwestern University,"CONTRACTOR, NOSHIR",137829,1,0,1,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Pennsylvania State University - University Park,"MILLER, SCARLETT RAE",413467,4,0,0,2,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Rochester Institute of Technology,"PAPANGELIS, KONSTANTINOS",1320601,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,Texas A&M University,"CHEN, WEI",971708,3,0,0,2,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,"University of California, San Diego","DOW, STEVEN P",427759,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,University of Illinois at Urbana-Champaign,"WANG, PINGFENG",530163,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,University of Nebraska at Omaha,"HUNTER, SAMUEL",189628,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AHMED, FAEZ",1108346,"University of Texas at Austin, The","SHA, ZHENGHUI",829948,2,0,2,1,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,Massachusetts Institute of Technology,"LERMUSIAUX, PIERRE",53496,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,Massachusetts Institute of Technology,"PRATT, LAWRENCE",289006,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,Texas A&M University,"TITI, EDRISS S",749463,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,University of Colorado Boulder,"SUBRAMANIAN, ANEESH CHAMAKUZHI",1025479,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,"University of Texas at Austin, The","DAWSON, CLINTON N",24947,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","ANAND, LALLIT",1934,Massachusetts Institute of Technology,"KAMRIN, KENNETH N",488099,0,1,0,0,0,0,0
"Mechanical Engineering, Department of","ANAND, LALLIT",1934,"University of California, Berkeley","GOVINDJEE, SANJAY",41069,0,2,0,0,0,0,0
"Mechanical Engineering, Department of","ANAND, LALLIT",1934,"University of Cincinnati, The","STEWART, ERIC MICHAEL",2050544,5,0,0,0,0,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Cleveland State University,"KOTHAPALLI, CHANDRASEKHAR",481791,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Georgia Institute of Technology,"HU, DAVID L",354496,0,0,0,0,1,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Georgia Institute of Technology,"MAZUMDAR, ANIRBAN",831335,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Georgia Institute of Technology,"UEDA, JUN",342505,0,1,0,0,0,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Georgia Institute of Technology,"WOOD, LEVI",771574,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Georgia Institute of Technology,"ZHAO, YE",976950,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Harvard University,"MACKLIS, JEFFREY DANIEL",386104,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Massachusetts Institute of Technology,"ABEYARATNE, ROHAN",552,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Massachusetts Institute of Technology,"KAMM, ROGER DALE",176486,3,0,0,0,0,1,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Massachusetts Institute of Technology,"TRIANTAFYLLOU, MICHAEL S",169431,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Massachusetts Institute of Technology,"WESTERMAN, GEORGE F",837848,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,Northeastern University,"KIM, HYEON YU",1977906,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,University of Pittsburgh,"ZERVANTONAKIS, IOANNIS",1010087,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,"University of Tulsa, The","SCHULTZ, JOSHUA A",762597,0,1,0,0,0,0,0
"Mechanical Engineering, Department of","AZIZAN RUHI, NAVID",1351836,California Institute of Technology,"HASSIBI, BABAK",44000,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AZIZAN RUHI, NAVID",1351836,Massachusetts Institute of Technology,"SLOTINE, JEAN-JACQUES E",166205,1,0,0,1,0,0,0
"Mechanical Engineering, Department of","AZIZAN RUHI, NAVID",1351836,Purdue University,"BRINTON, CHRISTOPHER GREG",906325,0,0,0,1,0,0,0
