Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,"Mechanical Engineering, Department of","ASADA, HARUHIKO",131768,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,"Mechanical Engineering, Department of","GUO, MING",789760,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,"Mechanical Engineering, Department of","KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,"Physical Oceanography, Department of","PRATT, LAWRENCE",289006,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","ANAND, LALLIT",1934,"Mechanical Engineering, Department of","KAMRIN, KENNETH N",488099,0,1,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,0,0,0,1,1,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","BARBASTATHIS, GEORGE",132426,0,0,0,2,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","BISCHOFBERGER, IRMGARD",827641,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Biological Engineering, Department of","BOYDEN, EDWARD",12578,0,0,0,2,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Materials Science and Engineering, Department of","DAO, MING",432434,0,0,0,1,1,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Mathematics, Department of","DUNKEL, JOERN",627158,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Biological Engineering, Department of","ENGELWARD, BEVIN P",141156,1,0,0,0,0,1,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","KOLLE, MATHIAS",627162,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Biology, Department of","NEDIVI, ELLY",158035,1,0,0,1,3,1,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,2,0,0,2,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,1,0,0,1,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"Biology, Department of","WEISSBOURD, BRANDON",1631690,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"Aeronautics and Astronautics, Department of","HOFFMAN, JEFFREY A",56423,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"Mechanical Engineering, Department of","RAMAN, RITU",837032,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"Mechanical Engineering, Department of","YANG, MARIA",100078,0,0,0,0,1,0,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Chemical Engineering, Department of","GREEN, WILLIAM H",144767,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Aeronautics and Astronautics, Department of","GUERRA GARCIA, CARMEN",827383,2,0,0,3,0,0,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Mechanical Engineering, Department of","HENRY, ASEGUN S",608744,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Mechanical Engineering, Department of","SHAO-HORN, YANG",165211,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Mechanical Engineering, Department of","SLOCUM, ALEXANDER H",123583,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Materials Science and Engineering, Department of","TULLER, HARRY L",90491,3,0,0,2,0,0,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"Materials Science and Engineering, Department of","YILDIZ, BILGE",173103,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","HARDT, DAVID E",45100,"Mechanical Engineering, Department of","HART, ANASTASIOS JOHN",250993,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","HADJICONSTANTINOU, NICOLAS G",49523,"Mechanical Engineering, Department of","KARNIK, ROHIT",64348,0,0,0,0,0,4,0
"Mechanical Engineering, Department of","HADJICONSTANTINOU, NICOLAS G",49523,"Mechanical Engineering, Department of","LIENHARD, JOHN H",92170,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","HOSOI, ANETTE E",50247,"Mechanical Engineering, Department of","BISCHOFBERGER, IRMGARD",827641,3,0,0,0,0,1,0
"Mechanical Engineering, Department of","HOSOI, ANETTE E",50247,"Institute for Data, Systems, and Society (IDSS)","CHRISTIA, FOTINI",176625,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","HOSOI, ANETTE E",50247,"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,0,0,0,2,0,0,0
"Mechanical Engineering, Department of","HOSOI, ANETTE E",50247,"Electrical Engineering and Computer Sciences, Department of","DAHLEH, MUNTHER A",26320,1,0,0,1,1,0,0
"Mechanical Engineering, Department of","HOSOI, ANETTE E",50247,"Electrical Engineering and Computer Sciences, Department of","GHASSEMI, MARZYEH",836383,1,0,0,0,0,0,0
