Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mechanical Engineering, Department of",Massachusetts Institute of Technology,"Mechanical Engineering, Department of",86,836,5,0,121,10,344,0
"Mechanical Engineering, Department of",George Washington University,"Microbiology, Immunology and Tropical Medicine, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Arkansas,"Mechanical Engineering, Department of",1,6,0,0,3,0,1,0
"Mechanical Engineering, Department of","University of Alabama in Huntsville, The","Space Science, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Kentucky,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Kentucky,"Physics and Astronomy, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",Brigham Young University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Drexel University,"Chemical and Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Drexel University,"Mechanical Engineering and Mechanics, Department of",2,1,0,0,0,0,1,0
"Mechanical Engineering, Department of",Drexel University,"Biomedical Engineering, Science and Health Systems, School of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Hofstra University,"Physics and Astronomy, Department of",1,6,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pittsburgh,"Bioengineering, Department of",3,4,0,0,0,0,2,0
"Mechanical Engineering, Department of",University of Pittsburgh,"Computational and Systems Biology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pittsburgh,"Oral and Craniofacial Sciences, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pittsburgh,"Pathology, Department of",2,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",North Dakota State University,"Civil, Construction and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",North Dakota State University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Computing and Mathematical Science, Department of",2,3,0,0,4,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Astronomy, Department of",3,39,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Applied Physics and Materials Science, Department of",6,10,0,0,0,0,1,0
"Mechanical Engineering, Department of",California Institute of Technology,"Mechanical and Civil Engineering, Department of",4,6,0,0,0,0,1,0
"Mechanical Engineering, Department of",California Institute of Technology,"Geological and Planetary Sciences, Division of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Chemistry and Chemical Engineering, Division of",4,5,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Aerospace, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Electrical Engineering, Department of",2,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Humanities and Social Sciences, Division of the",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Physics, Department of",8,43,0,0,0,0,0,0
"Mechanical Engineering, Department of",California Institute of Technology,"Medical Engineering, Department of",5,5,0,0,0,0,1,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Astrophysics, Institute of",2,39,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Biomedical Engineering, Department of",2,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Chemical Engineering and Materials Science, Department of",2,3,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Civil, Environmental, and Geo- Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Design Innovation, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Mechanical Engineering, Department of",1,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Pharmaceutics, Department of",1,13,0,0,0,0,2,0
"Mechanical Engineering, Department of","University of Minnesota, Twin Cities","Physics and Astronomy, School of",2,39,0,0,0,0,0,0
"Mechanical Engineering, Department of",Southern Methodist University,"Mechanical Engineering, Department of",1,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","University of Arizona, The","Astronomy, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Arizona, The","Biomedical Engineering, Department of",1,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","University of Arizona, The","Cancer Biology, GIDP",1,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","University of Arizona, The","Neuroscience, GIDP",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Arizona, The","Optical Sciences, College of",3,39,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Florida,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Florida,"Mechanical and Aerospace Engineering, Department of",2,10,0,0,0,0,1,0
"Mechanical Engineering, Department of",University of Florida,"Cellular and Systems Pharmacology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Florida,"Physics, Department of",4,40,0,0,0,0,0,0
"Mechanical Engineering, Department of",Montana State University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Montana State University,"Physics, Department of",2,40,0,0,0,0,0,0
"Mechanical Engineering, Department of",Montana State University,"Electrical and Computer Engineering, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",Weill Medical College of Cornell University,"Pharmacology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Weill Medical College of Cornell University,"Physiology and Biophysics, Department of",2,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",Weill Medical College of Cornell University,"Pathology and Laboratory Medicine, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Texas at El Paso, The","Aerospace and Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Rensselaer Polytechnic Institute,"Materials Science and Engineering, Department of",4,5,0,0,0,0,2,0
"Mechanical Engineering, Department of",Rensselaer Polytechnic Institute,"Mechanical, Aerospace, and Nuclear Engineering, Department of",5,1,0,0,1,0,7,0
"Mechanical Engineering, Department of",University of Nebraska at Omaha,"Psychology, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Nebraska at Omaha,"Interdisciplinary Informatics, School of",1,0,0,0,1,0,0,0
"Mechanical Engineering, Department of",University of Texas Arlington,"Electrical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Emory University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Emory University,"Biomedical Engineering, Department of",1,0,0,0,0,0,3,0
"Mechanical Engineering, Department of",Emory University,"Pathology, Department of",1,0,0,0,0,0,3,0
"Mechanical Engineering, Department of",Missouri University of Science and Technology,"Mechanical and Aerospace Engineering, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of",Missouri University of Science and Technology,"Physics, Department of",1,39,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of New Hampshire,"Mechanical Engineering, Department of",1,4,0,0,0,0,0,0
"Mechanical Engineering, Department of","University at Buffalo, State University of New York","Mechanical and Aerospace Engineering, Department of",1,4,0,0,0,0,0,0
"Mechanical Engineering, Department of","University at Buffalo, State University of New York","Materials Design and Innovation, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Wake Forest University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Wake Forest University,"Translational Neuroscience, Department of",1,0,1,0,0,0,0,0
"Mechanical Engineering, Department of",Fordham University,"Chemistry, Department of",1,4,0,0,0,0,0,0
"Mechanical Engineering, Department of","Scripps Research Institute (California), The","Immunology and Microbiology, Department of",1,3,0,0,0,1,2,0
"Mechanical Engineering, Department of","Scripps Research Institute (California), The","Integrative Structural and Computational Biology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Oregon,"Physics, Department of",3,40,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Iowa, The","Chemistry, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Iowa, The","Health and Human Physiology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Iowa, The","Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Iowa, The","Molecular Physiology and Biophysics, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Iowa, The","Pathology, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",Clemson University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Clemson University,"Bioengineering, Department of",1,0,0,0,0,0,3,0
"Mechanical Engineering, Department of",Clemson University,"Mechanical and Automotive Engineering, School of",2,1,0,1,0,0,0,0
"Mechanical Engineering, Department of",University of Washington,"Computer Science & Engineering, Paul G. Allen School of",4,8,0,0,0,0,1,0
"Mechanical Engineering, Department of",University of Washington,"Electrical & Computer Engineering, Department of",2,8,0,0,9,1,0,0
"Mechanical Engineering, Department of",University of Washington,"Industrial and Systems Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Washington,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Washington,"Mechanical Engineering, Department of",1,15,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Washington,"Physics, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Washington,"Information School, The",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Massachusetts Medical School,"Microbiology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Biomedical Engineering, Department of",3,3,0,0,0,0,12,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Chemical Engineering, Department of",1,1,0,0,0,0,8,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Computer Science, Department of",1,0,0,0,1,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Materials Science and Engineering, Department of",4,5,0,0,0,0,4,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Mathematical Sciences, Department of",1,1,0,0,1,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Mechanical Engineering, Department of",4,2,0,1,1,0,1,0
"Mechanical Engineering, Department of",Carnegie Mellon University,"Business, School of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,Human-Computer Interaction Institute,1,0,0,0,1,0,0,0
"Mechanical Engineering, Department of",Carnegie Mellon University,Robotics Institute,2,1,0,0,1,0,1,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Bioengineering, Department of",2,3,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Biology, Department of",2,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Computer and Information Science, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Electrical and Systems Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Materials Science and Engineering, Department of",3,6,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Mechanical Engineering and Applied Mechanics, Department of",5,10,0,0,1,0,1,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Systems Pharmacology and Translational Therapeutics, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Physiology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Pennsylvania,"Neuroscience, Department of",1,1,0,0,1,0,0,0
"Mechanical Engineering, Department of",University of Missouri,"Food, Nutrition and Exercise Sciences, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Missouri,"Molecular Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Maryland, College Park","Electrical and Computer Engineering, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","University of Maryland, College Park","Bioengineering, Fischell Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Maryland, College Park","Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Maryland, College Park","Physics, Department of",2,39,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Maryland, College Park","Plant Science and Landscape Architecture, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of",Rutgers - New Brunswick,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Rutgers - New Brunswick,"Civil and Environmental Engineering, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of",Rutgers - New Brunswick,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Rutgers - New Brunswick,"Marine and Coastal Sciences, Department of",2,0,0,0,2,0,0,0
"Mechanical Engineering, Department of",Rutgers - New Brunswick,"Mathematics, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",Wayne State University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Oklahoma,"Chemistry and Biochemistry, Department of",1,4,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Oklahoma,"Aerospace and Mechanical Engineering, School of",2,0,0,0,9,0,1,0
"Mechanical Engineering, Department of",University of Oklahoma,"Electrical and Computer Engineering, School of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Oklahoma,"Biochemistry and Physiology, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Tulane University,"Physics and Engineering Physics, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Rutgers - Camden,"Business - Camden, School of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Rhode Island,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Rhode Island,"Ocean Engineering, Department of",1,2,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Rhode Island,"Biomedical and Pharmaceutical Sciences, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",University of Rhode Island,"Oceanography, Graduate School of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Lehigh University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Lehigh University,"Bioengineering, Department of",1,11,0,0,0,0,1,0
"Mechanical Engineering, Department of","University of Texas at San Antonio, The","Biomedical Engineering and Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of Alabama at Birmingham, The","Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Brown University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Brown University,"Computer Science, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of",Brown University,"Earth, Environmental, and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Brown University,"Applied Mathematics, Division of",2,9,0,0,2,0,0,0
"Mechanical Engineering, Department of",Brown University,"Engineering, School of",3,13,0,0,2,0,0,0
"Mechanical Engineering, Department of",Purdue University,"Aeronautics and Astronautics, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Purdue University,"Electrical and Computer Engineering, Department of",3,3,0,0,1,0,0,0
"Mechanical Engineering, Department of",Purdue University,"Industrial and Molecular Pharmaceutics, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of",Purdue University,"Materials Engineering, Department of",3,4,0,0,0,0,2,0
"Mechanical Engineering, Department of",Purdue University,"Mechanical Engineering, Department of",6,7,0,0,2,0,8,0
"Mechanical Engineering, Department of",Purdue University,"Computer Graphics Technology, Department of",1,2,0,0,4,0,0,0
"Mechanical Engineering, Department of",Purdue University,"Environmental and Ecological Engineering, Department of",2,1,0,0,0,0,7,0
"Mechanical Engineering, Department of",Texas Tech University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","University of California, Santa Cruz","Electrical and Computer Engineering, Department of",1,1,0,0,0,1,0,0
"Mechanical Engineering, Department of",Florida State University,"Electrical and Computer Engineering, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of",Florida State University,"Earth, Ocean and Atmospheric Science, Department of",1,0,0,0,2,0,0,0
"Mechanical Engineering, Department of",Florida State University,"Industrial and Manufacturing Engineering, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of",Florida State University,"Mechanical Engineering, Department of",1,2,0,0,1,0,0,0
