Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mechanical Engineering, Department of","Mechanical Engineering, Department of",62,122,1,0,18,7,102,0
"Mechanical Engineering, Department of","Aeronautics and Astronautics, Department of",11,13,0,1,15,0,2,0
"Mechanical Engineering, Department of","Applied Ocean Physics and Engineering, Department of",3,3,0,0,1,0,0,0
"Mechanical Engineering, Department of","Architecture, Department of",6,8,1,0,3,2,1,0
"Mechanical Engineering, Department of","Biological Engineering, Department of",15,26,0,0,3,8,26,0
"Mechanical Engineering, Department of","Biology (WHOI), Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","Biology, Department of",17,27,0,0,2,6,4,0
"Mechanical Engineering, Department of","Brain and Cognitive Sciences, Department of",12,12,0,0,8,4,22,0
"Mechanical Engineering, Department of","Chemical Engineering, Department of",22,82,0,0,4,2,99,0
"Mechanical Engineering, Department of","Chemistry, Department of",10,51,0,0,0,2,17,0
"Mechanical Engineering, Department of","Civil and Environmental Engineering, Department of",14,9,0,0,3,2,6,0
"Mechanical Engineering, Department of",Comparative Media Studies/Writing Section,1,2,0,0,1,0,0,0
"Mechanical Engineering, Department of","Earth, Atmospheric and Planetary Sciences, Department of",1,5,0,0,0,0,0,0
"Mechanical Engineering, Department of","Economics, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",41,54,0,0,29,7,31,0
"Mechanical Engineering, Department of","Institute for Data, Systems, and Society (IDSS)",16,14,0,1,9,1,2,0
"Mechanical Engineering, Department of",Institute for Medical Engineering and Science (IMES),12,32,0,0,1,3,66,0
"Mechanical Engineering, Department of","Management, Sloan School of",3,3,0,0,0,0,0,0
"Mechanical Engineering, Department of","Marine Chemistry and Geochemistry, Department of",1,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","Materials Science and Engineering, Department of",23,62,0,0,5,4,16,0
"Mechanical Engineering, Department of","Mathematics, Department of",4,15,0,0,0,0,3,0
"Mechanical Engineering, Department of","Media Arts and Sciences, Program in",7,5,1,0,6,0,23,0
"Mechanical Engineering, Department of",Music and Theater Arts Section,1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","Nuclear Science and Engineering, Department of",11,20,0,0,1,0,2,0
"Mechanical Engineering, Department of","Physical Oceanography, Department of",9,10,0,0,2,1,0,0
"Mechanical Engineering, Department of","Physics, Department of",12,47,0,0,3,0,4,0
"Mechanical Engineering, Department of","Political Science, Department of",1,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","Urban Studies and Planning, Department of",4,4,0,1,4,0,0,0
