Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,"ASADA, HARUHIKO",131768,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,"GUO, MING",789760,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","ABEYARATNE, ROHAN",552,"KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","AKYLAS, TRIANTAPHYLLOS R",1665,"LERMUSIAUX, PIERRE",53496,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","ANAND, LALLIT",1934,"KAMRIN, KENNETH N",488099,0,1,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"BARBASTATHIS, GEORGE",132426,0,0,0,2,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"BISCHOFBERGER, IRMGARD",827641,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","SO, PETER T. C",14958,"KOLLE, MATHIAS",627162,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"RAMAN, RITU",837032,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,"YANG, MARIA",100078,0,0,0,0,1,0,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"HENRY, ASEGUN S",608744,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"SHAO-HORN, YANG",165211,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","GHONIEM, AHMED F",39115,"SLOCUM, ALEXANDER H",123583,0,0,0,0,0,2,0
"Mechanical Engineering, Department of","HARDT, DAVID E",45100,"HART, ANASTASIOS JOHN",250993,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","HADJICONSTANTINOU, NICOLAS G",49523,"KARNIK, ROHIT",64348,0,0,0,0,0,4,0
"Mechanical Engineering, Department of","HADJICONSTANTINOU, NICOLAS G",49523,"LIENHARD, JOHN H",92170,1,0,0,0,0,0,0
"Mechanical Engineering, Department of","HOSOI, ANETTE E",50247,"BISCHOFBERGER, IRMGARD",827641,3,0,0,0,0,1,0
"Mechanical Engineering, Department of","HART, DOUGLAS",51803,"LEONARD, JOHN J",60042,0,0,0,2,0,0,0
"Mechanical Engineering, Department of","HART, DOUGLAS",51803,"LERMUSIAUX, PIERRE",53496,1,0,0,1,0,0,0
"Mechanical Engineering, Department of","HART, DOUGLAS",51803,"SHAO-HORN, YANG",165211,0,0,0,0,0,1,0
"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,"AKYLAS, TRIANTAPHYLLOS R",1665,2,0,0,0,0,0,0
"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,"HART, DOUGLAS",51803,1,0,0,1,0,0,0
"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,"LEONARD, JOHN J",60042,0,0,0,1,0,0,0
"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,"PEACOCK, THOMAS",115546,1,0,0,0,1,0,0
"Mechanical Engineering, Department of","HOGAN, NEVILLE",56722,"YANG, MARIA",100078,0,0,0,1,0,0,0
