Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Carnegie Mellon University,"SESHAN, SRINIVASAN",103352,0,0,0,0,0,1,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"CHANDRAKASAN, ANANTHA P",19111,1,0,0,1,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"ESVELT, KEVIN MICHAEL",827651,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"INDYK, PIOTR",49676,0,0,0,0,0,1,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"KATABI, DINA",53288,0,0,0,0,0,4,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"MAES, PATRICIA",96199,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"PARADISO, JOSEPH A",159574,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"TRAVERSO, CARLO GIOVANNI",1108308,0,0,0,0,0,2,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Massachusetts Institute of Technology,"ZIPPEL, SETH F",1108287,0,0,0,0,1,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,Princeton University,"GHASEM POUR, YASAMAN",1453688,0,0,0,2,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,"University of Cincinnati, The","ALLAM, AHMED",2050539,1,0,0,3,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,University of Michigan,"EID, ALINE",1730408,0,0,0,5,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,University of Washington,"GOLLAKOTA, SHYAM",543240,0,0,0,0,0,1,0
"Media Arts and Sciences, Program in","BONES-IJEOMA, BRYAN",1108318,Northeastern University,"OFFENHUBER, DIETMAR",600614,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,Arizona State University,"MALEY, CARLO CASBIER",759510,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,Boston College,"WEI, DONGLAI",1448557,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,Boston University,"HAN, XUE",404600,2,0,0,1,0,3,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,Boston University,"HASSELMO, MICHAEL E",43997,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,Boston University,"KOPELL, NANCY",56177,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,Boston University,"LENBURG, MARC E",175013,1,0,0,0,0,0,0
