Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","BOYER, LAURIE ANN",175857,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,2,0,0,0,0,0,1
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Biology, Department of","JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Electrical Engineering and Computer Sciences, Department of","KELLIS, MANOLIS",53694,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Chemistry, Department of","KIESSLING, LAURA L",60109,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","LANGER, ROBERT S",83112,0,0,0,0,0,20,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Media Arts and Sciences, Program in","SARKAR, DEBLINA",837099,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","SO, PETER T. C",14958,0,0,0,2,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Physics, Department of","SOLJACIC, MARIN",104902,0,0,0,2,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Physics, Department of","TEGMARK, MAX ERIK",168639,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,5,0,0,0,2,1,2
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Biology, Department of","WILSON, MATTHEW A",129535,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","YANG, GUANGYU",1351827,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,2,0,0,6,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,0,0,0,0,1,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Urban Studies and Planning, Department of","D'IGNAZIO, CATHERINE S",1304710,2,0,0,3,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Media Arts and Sciences, Program in","LIANG, PU",1997392,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Civil and Environmental Engineering, Department of","MASIC, ADMIR",789736,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Media Arts and Sciences, Program in","PICARD, ROSALIND W",76748,1,0,0,6,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,Comparative Media Studies/Writing Section,"REICH, BLAIR JUSTIN F",827672,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Media Arts and Sciences, Program in","ROY, DEB K",99490,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"Mechanical Engineering, Department of","YANG, MARIA",100078,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","GERSHENFELD, NEIL A",36510,"Electrical Engineering and Computer Sciences, Department of","DEMAINE, ERIK D",139391,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","GERSHENFELD, NEIL A",36510,"Chemistry, Department of","GRIFFIN, ROBERT GUY",144907,2,0,0,0,0,1,0
"Media Arts and Sciences, Program in","GERSHENFELD, NEIL A",36510,"Media Arts and Sciences, Program in","ISHII, HIROSHI",49899,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","GERSHENFELD, NEIL A",36510,"Chemistry, Department of","NELSON, KEITH ADAM",158105,1,0,0,0,0,0,0
