Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in",Massachusetts Institute of Technology,"Media Arts and Sciences, Program in",24,190,4,0,120,10,112,0
"Media Arts and Sciences, Program in",American University,"Management, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"English, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Life Sciences, School of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Arts, Media and Engineering, School of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Electrical, Computer and Energy Engineering, School of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Future of Innovation in Society, School for the",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Computing and Augmented Intelligence, School of - Computer Science Faculty",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Historical, Philosophical and Religious Studies, School of - Philosophy Faculty",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Arizona State University,"Health Solutions, College of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Baylor College of Medicine,"Biochemistry and Molecular Pharmacology, Department of",1,0,0,0,2,0,0,0
"Media Arts and Sciences, Program in",Boston College,"Computer Science, Department of",1,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston College,"Engineering, Department of",1,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston University,"Biology, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston University,"Mathematics and Statistics, Department of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston University,"Psychological & Brain Sciences, Department of",2,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston University,"Biomedical Engineering, Department of",3,3,0,0,1,0,3,0
"Media Arts and Sciences, Program in",Boston University,"Pathology and Laboratory Medicine, Department of",2,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston University,"Marketing, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Boston University,"Computing and Data Sciences, Faculty of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Brandeis University,"Social Policy and Management, Heller School For",1,0,1,0,0,0,0,0
"Media Arts and Sciences, Program in",Brown University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Brown University,"Ecology, Evolution, and Organismal Biology, Department of",1,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Brown University,"Engineering, School of",2,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Brown University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Brown University,"Pathology and Laboratory Medicine, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",California Institute of Technology,"Chemistry and Chemical Engineering, Division of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in",California Institute of Technology,"Medical Engineering, Department of",2,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in",Carnegie Mellon University,"Biological Sciences, Department of",1,1,0,0,0,0,3,0
