Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in","Media Arts and Sciences, Program in",17,12,0,0,20,1,0,0
"Media Arts and Sciences, Program in","Aeronautics and Astronautics, Department of",5,2,0,0,4,0,0,0
"Media Arts and Sciences, Program in","Applied Ocean Physics and Engineering, Department of",1,0,0,0,0,1,0,0
"Media Arts and Sciences, Program in","Biological Engineering, Department of",4,2,1,0,2,0,21,0
"Media Arts and Sciences, Program in","Biology, Department of",3,3,0,0,0,1,0,0
"Media Arts and Sciences, Program in","Brain and Cognitive Sciences, Department of",10,14,0,0,1,2,1,2
"Media Arts and Sciences, Program in","Chemical Engineering, Department of",3,2,1,0,0,0,21,0
"Media Arts and Sciences, Program in","Chemistry, Department of",3,4,0,0,0,0,1,0
"Media Arts and Sciences, Program in","Civil and Environmental Engineering, Department of",3,1,0,0,3,0,0,0
"Media Arts and Sciences, Program in",Comparative Media Studies/Writing Section,2,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","Earth, Atmospheric and Planetary Sciences, Department of",4,2,0,0,4,0,0,0
"Media Arts and Sciences, Program in","Electrical Engineering and Computer Sciences, Department of",15,9,0,0,11,1,4,0
"Media Arts and Sciences, Program in","Institute for Data, Systems, and Society (IDSS)",6,6,0,0,2,0,0,1
"Media Arts and Sciences, Program in",Institute for Medical Engineering and Science (IMES),7,6,1,0,2,1,21,1
"Media Arts and Sciences, Program in","Management, Sloan School of",3,3,0,0,1,0,0,0
"Media Arts and Sciences, Program in","Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","Mechanical Engineering, Department of",6,5,1,0,5,0,23,0
"Media Arts and Sciences, Program in","Nuclear Science and Engineering, Department of",1,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","Physics, Department of",2,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","Political Science, Department of",1,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","Urban Studies and Planning, Department of",1,2,0,0,3,0,0,0
