Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Media Arts and Sciences, Program in","BOYDEN, EDWARD",12578,"SARKAR, DEBLINA",837099,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"LIANG, PU",1997392,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"PICARD, ROSALIND W",76748,1,0,0,6,0,0,0
"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,"ROY, DEB K",99490,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","GERSHENFELD, NEIL A",36510,"ISHII, HIROSHI",49899,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","ISHII, HIROSHI",49899,"GERSHENFELD, NEIL A",36510,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","ISHII, HIROSHI",49899,"MAES, PATRICIA",96199,0,0,0,5,0,0,0
"Media Arts and Sciences, Program in","ISHII, HIROSHI",49899,"PICARD, ROSALIND W",76748,1,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PICARD, ROSALIND W",76748,"BREAZEAL, CYNTHIA LYNN",12743,1,0,0,6,0,0,0
"Media Arts and Sciences, Program in","PICARD, ROSALIND W",76748,"ISHII, HIROSHI",49899,1,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PICARD, ROSALIND W",76748,"MAES, PATRICIA",96199,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"ADIB, FADEL",827650,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"ESVELT, KEVIN MICHAEL",827651,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"ISHII, HIROSHI",49899,0,0,0,5,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"JACOBSON, JOSEPH",288062,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"LIPPMAN, ANDREW B",176632,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"PARADISO, JOSEPH A",159574,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","MAES, PATRICIA",96199,"PICARD, ROSALIND W",76748,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in","ROY, DEB K",99490,"BREAZEAL, CYNTHIA LYNN",12743,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","ROY, DEB K",99490,"PENTLAND, ALEX PAUL",115847,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"LARSON, KENT",288398,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"RAHNAMA, HOSSEIN",2138402,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in","PENTLAND, ALEX PAUL",115847,"ROY, DEB K",99490,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","PARADISO, JOSEPH A",159574,"ADIB, FADEL",827650,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","PARADISO, JOSEPH A",159574,"ESVELT, KEVIN MICHAEL",827651,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","PARADISO, JOSEPH A",159574,"MAES, PATRICIA",96199,1,0,0,2,0,0,0
"Media Arts and Sciences, Program in","LIPPMAN, ANDREW B",176632,"MAES, PATRICIA",96199,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","JACOBSON, JOSEPH",288062,"MAES, PATRICIA",96199,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","LARSON, KENT",288398,"PENTLAND, ALEX PAUL",115847,2,0,0,0,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,"ESVELT, KEVIN MICHAEL",827651,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,"MAES, PATRICIA",96199,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","ADIB, FADEL",827650,"PARADISO, JOSEPH A",159574,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","ESVELT, KEVIN MICHAEL",827651,"ADIB, FADEL",827650,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","ESVELT, KEVIN MICHAEL",827651,"MAES, PATRICIA",96199,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","ESVELT, KEVIN MICHAEL",827651,"PARADISO, JOSEPH A",159574,1,0,0,0,1,0,0
"Media Arts and Sciences, Program in","SARKAR, DEBLINA",837099,"BOYDEN, EDWARD",12578,1,0,0,0,0,0,0
"Media Arts and Sciences, Program in","LIANG, PU",1997392,"BREAZEAL, CYNTHIA LYNN",12743,0,0,0,1,0,0,0
"Media Arts and Sciences, Program in","RAHNAMA, HOSSEIN",2138402,"PENTLAND, ALEX PAUL",115847,3,0,0,0,0,0,0
"Media Arts and Sciences, Program in","BONES-IJEOMA, BRYAN",1108318,,,,,,,,,
"Media Arts and Sciences, Program in","DAGDEVIREN, CANAN",827696,,,,,,,,,
"Media Arts and Sciences, Program in","FARAHI, BEHNAZ",1903093,,,,,,,,,
"Media Arts and Sciences, Program in","HERR, HUGH M",47614,,,,,,,,,
"Media Arts and Sciences, Program in","LIEBERMAN, ZACHARY M",1108309,,,,,,,,,
"Media Arts and Sciences, Program in","MACHOVER, TOD",96056,,,,,,,,,
"Media Arts and Sciences, Program in","RASKAR, RAMESH",176631,,,,,,,,,
"Media Arts and Sciences, Program in","RESNICK, MITCHEL J",78821,,,,,,,,,
"Media Arts and Sciences, Program in","WOOD, DANIELLE RENEE",827389,,,,,,,,,
"Media Arts and Sciences, Program in","ZHANG, SHUGUANG",289800,,,,,,,,,
