Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Music and Theater Arts Section,"BROWN, SARA L",1108310,,,,,,,,,
Music and Theater Arts Section,"CHILD, PETER B",412361,,,,,,,,,
Music and Theater Arts Section,"CONCEISON, CLAIRE",630778,,,,,,,,,
Music and Theater Arts Section,"CUTHBERT, MICHAEL S",412281,,,,,,,,,
Music and Theater Arts Section,"HARBISON, JOHN H",412363,,,,,,,,,
Music and Theater Arts Section,"HARRIS, ELLEN T",1806576,,,,,,,,,
Music and Theater Arts Section,"HIGGASON, JOSHUA",2157279,,,,,,,,,
Music and Theater Arts Section,"HUANG, CHENG ZHI",1852281,,,,,,,,,
Music and Theater Arts Section,"LIN, NATALIE",1108348,,,,,,,,,
Music and Theater Arts Section,"MAKAN, KEERIL",412316,,,,,,,,,
Music and Theater Arts Section,"POLLOCK, EMILY R",544612,,,,,,,,,
Music and Theater Arts Section,"SCHEIB, JAY R",412317,,,,,,,,,
Music and Theater Arts Section,"SONENBERG, JANET",412366,,,,,,,,,
Music and Theater Arts Section,"TANG, PATRICIA J",412318,,,,,,,,,
Music and Theater Arts Section,"THOMPSON, MARCUS A",412367,,,,,,,,,
Music and Theater Arts Section,"TILLEY, LESLIE A",789761,,,,,,,,,
Music and Theater Arts Section,"ZENON, MIGUEL",1811660,,,,,,,,,
Music and Theater Arts Section,"ZIPORYN, EVAN",412368,,,,,,,,,
