Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Case Western Reserve University,"KASSEMI, MOHAMMAD",1473484,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Kansas State University,"ISKHAKOV, ARSEN",2050684,1,0,0,3,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Massachusetts Institute of Technology,"BUCCI, MATTEO",827645,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Massachusetts Institute of Technology,"SHIRVAN, KOROUSH",827688,1,0,0,4,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Massachusetts Institute of Technology,"SHORT, MICHAEL P",544545,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Massachusetts Institute of Technology,"WHITE, ANNE E",412283,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,North Carolina State University,"BOLOTNOV, IGOR A",436521,2,0,0,4,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,North Carolina State University,"DINH, NAM TRUC",614744,1,0,0,3,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Pennsylvania State University - University Park,"MERZARI, ELIA",957985,2,0,0,6,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Pennsylvania State University - University Park,"NGUYEN, TRI",1925568,1,0,0,2,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Pennsylvania State University - University Park,"VISHWAKARMA, VINEET",2156728,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,Texas A&M University,"HASSAN, YASSIN A",43994,0,0,0,2,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,University of Missouri,"JIN, YUE",1669562,1,0,0,2,0,0,0
"Nuclear Science and Engineering, Department of","BAGLIETTO, EMILIO",488101,University of Wisconsin - Madison,"ANDERSON, MARK H",413062,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,Massachusetts Institute of Technology,"BAGLIETTO, EMILIO",488101,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,Massachusetts Institute of Technology,"WANG, EVELYN",112673,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,Massachusetts Institute of Technology,"WHITE, ANNE E",412283,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,Rice University,"PRESTON, DANIEL JOHN",1058566,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,"University at Buffalo, State University of New York","CHA, HYEONGYUN",2138135,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,"University of California, Berkeley","SU, GUANYU",1742406,6,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,University of Florida,"SONG, YOUNGSUP",1928328,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,"University of New Mexico, The","WANG, CHI",2038446,7,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,"University of Texas at El Paso, The","RAHMAN, M D MAHAMUDUR",837024,5,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,University of Wisconsin - Madison,"ANDERSON, MARK H",413062,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUCCI, MATTEO",827645,Virginia Commonwealth University,"ROJAS MARIN, JESSIKA V",760281,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Arizona State University,"PARVIZ, DORSA",836975,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"FORSBERG, CHARLES W",287721,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"LIENHARD, JOHN H",92170,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"SHIRVAN, KOROUSH",827688,1,0,0,4,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"SLOCUM, ALEXANDER H",123583,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"STRANO, MICHAEL S",106262,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,Massachusetts Institute of Technology,"TODREAS, NEIL E",544552,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,University of San Diego,"CODD, DANIEL",1910329,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Dartmouth College,"RAMANATHAN, CHANDRASEKHAR",408614,3,0,1,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Dartmouth College,"VIOLA, LORENZA",111567,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Harvard University,"LONCAR, MARKO",153652,0,0,0,0,1,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Harvard University,"LUKIN, MIKHAIL D",71473,0,0,0,0,1,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Harvard University,"YAO, NORMAN Y",771714,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Massachusetts Institute of Technology,"ENGLUND, DIRK R",261298,0,0,0,0,2,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Massachusetts Institute of Technology,"GOMES LOUREIRO, NUNO F",827644,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,Massachusetts Institute of Technology,"LI, JU",488102,11,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,"Ohio State University, The","HAMMEL, CHRIS",175485,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,"University of California, Berkeley","AJOY, ASHOK",1490399,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,"University of California, Santa Barbara","BLESZYNSKI JAYICH, ANIA C",404504,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,"University of Maryland, College Park","WALSWORTH, RONALD L",128021,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","CAPPELLARO, PAOLA",412282,University of Washington,"CHEN, MO",2155025,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","DANAGOULIAN, AREG",779069,Massachusetts Institute of Technology,"FORGET, BENOIT ROBERT YVES",176375,0,0,0,2,0,0,0
"Nuclear Science and Engineering, Department of","DANAGOULIAN, AREG",779069,Massachusetts Institute of Technology,"HARTWIG, ZACHARY SETH",827689,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","DANAGOULIAN, AREG",779069,Princeton University,"GOLDSTON, ROBERT J",38271,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","DANAGOULIAN, AREG",779069,Texas A&M University,"NAQVI, FARHEEN",1817058,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Massachusetts Institute of Technology,"DANAGOULIAN, AREG",779069,0,0,0,2,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Massachusetts Institute of Technology,"HARTWIG, ZACHARY SETH",827689,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Massachusetts Institute of Technology,"JEGELKA, STEFANIE SABRINA",789740,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Massachusetts Institute of Technology,"LI, MINGDA",919224,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Massachusetts Institute of Technology,"ROY, NICHOLAS",99496,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Massachusetts Institute of Technology,"SHIRVAN, KOROUSH",827688,2,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Texas A&M University,"FIORINA, CARLO",1958837,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,Texas A&M University,"RAGUSA, JEAN C",160936,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,University of Michigan,"RADAIDEH, MAJDI",1731456,2,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,"University of Tennessee, The","SOBES, VLADIMIR",1282444,7,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,Massachusetts Institute of Technology,"BUONGIORNO, JACOPO",14320,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,Massachusetts Institute of Technology,"LI, JU",488102,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,Massachusetts Institute of Technology,"SHIRVAN, KOROUSH",827688,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,Massachusetts Institute of Technology,"SLOCUM, ALEXANDER H",123583,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,North Carolina State University,"JONES, DANIELA SOFIA",998634,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,"Ohio State University, The","WANG, DEAN",748011,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,"University of Kansas, The","COLACO MORAIS, ANA RITA",1379797,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,University of Massachusetts Lowell,"DE ALMEIDA, VALMOR F",827914,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,University of Massachusetts Lowell,"LAM, STEPHEN",1267557,2,0,0,0,0,0,0
