Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Mechanical Engineering, Department of","LIENHARD, JOHN H",92170,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Nuclear Science and Engineering, Department of","SHIRVAN, KOROUSH",827688,1,0,0,4,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Mechanical Engineering, Department of","SLOCUM, ALEXANDER H",123583,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Chemical Engineering, Department of","STRANO, MICHAEL S",106262,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"Nuclear Science and Engineering, Department of","TODREAS, NEIL E",544552,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FREIDBERG, JEFFREY P",34376,"Nuclear Science and Engineering, Department of","PETERSON, ETHAN E",1435609,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","FREIDBERG, JEFFREY P",34376,"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,1,0,0,1,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Mechanical Engineering, Department of","BUONASSISI, ANTHONY",135386,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Nuclear Science and Engineering, Department of","FREIDBERG, JEFFREY P",34376,1,0,0,1,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Nuclear Science and Engineering, Department of","HARTWIG, ZACHARY SETH",827689,8,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Institute for Data, Systems, and Society (IDSS)","LO, ANDREW W",62691,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Physics, Department of","MARMAR, EARL S",176614,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Nuclear Science and Engineering, Department of","PETERSON, ETHAN E",1435609,2,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"Nuclear Science and Engineering, Department of","SHORT, MICHAEL P",544545,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","YILDIZ, BILGE",173103,"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","YILDIZ, BILGE",173103,"Materials Science and Engineering, Department of","BEACH, GEOFFREY STEPHEN",287087,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","YILDIZ, BILGE",173103,"Physics, Department of","COMIN, RICCARDO",827646,1,0,0,0,0,0,0
