Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Nuclear Science and Engineering, Department of",Massachusetts Institute of Technology,"Nuclear Science and Engineering, Department of",27,259,0,0,31,2,11,0
"Nuclear Science and Engineering, Department of",Arizona State University,"Biological and Health Systems Engineering, School of",1,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of",Arizona State University,"Engineering of Matter, Transport and Energy, School for - Chemical Engineering Faculty",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Auburn University,"Mechanical Engineering, Department of",1,7,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Auburn University,"Physics, Department of",7,9,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Boston College,"Physics, Department of",2,1,0,0,0,1,0,0
"Nuclear Science and Engineering, Department of",Boston University,"Astronomy, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Boston University,"Chemistry, Department of",1,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Boston University,"Materials Science and Engineering, Division of",1,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Brown University,"Engineering, School of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",California Institute of Technology,"Applied Physics and Materials Science, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",California Institute of Technology,"Chemistry and Chemical Engineering, Division of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Carnegie Mellon University,"Engineering and Public Policy, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Carnegie Mellon University,"Machine Learning, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Carnegie Mellon University,"Materials Science and Engineering, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Carnegie Mellon University,Robotics Institute,1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Case Western Reserve University,"Mechanical and Aerospace Engineering, Department of",1,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Case Western Reserve University,"Molecular Medicine, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Clemson University,"Civil and Environmental Engineering and Earth Sciences, School of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Clemson University,"Mechanical and Automotive Engineering, School of",2,9,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","College of William & Mary, The","Physics, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Colorado School of Mines,"Metallurgical and Materials Engineering, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Colorado School of Mines,"Chemistry, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Colorado School of Mines,"Mechanical Engineering, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Colorado State University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Columbia University,"Applied Physics and Applied Mathematics, Department of",3,9,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Columbia University,"Astronomy, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Columbia University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Columbia University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Columbia University,"Mechanical Engineering, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Cornell University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Cornell University,"Electrical and Computer Engineering, Department of",3,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Cornell University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Cornell University,"Applied and Engineering Physics, School of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Dartmouth College,"Chemistry, Department of",1,3,0,1,0,0,0,0
"Nuclear Science and Engineering, Department of",Dartmouth College,"Physics and Astronomy, Department of",3,5,0,1,0,0,0,0
"Nuclear Science and Engineering, Department of",Duke University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Duke University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Duke University,"Mechanical Engineering and Materials Science, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Emory University,"Chemistry, Department of",2,7,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Florida Institute of Technology,"Aerospace, Physics and Space Sciences, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Florida International University,"Electrical and Computer Engineering, Department of",1,2,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Florida International University,"Construction Management, Department of",1,3,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Florida State University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Florida State University,"Mechanical Engineering, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",George Mason University,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Georgetown University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Georgia Institute of Technology,"Chemical and Biomolecular Engineering, School of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Georgia Institute of Technology,"Electrical and Computer Engineering, School of",3,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Georgia Institute of Technology,"Materials Science and Engineering, School of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Georgia Institute of Technology,"Mechanical Engineering, School of",3,6,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Georgia Institute of Technology,"Nuclear & Radiological Engineering and Medical Physics, School of",3,6,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,"Biostatistics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,"Chemistry and Chemical Biology, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,"Physics, Department of",4,3,0,0,0,1,0,0
"Nuclear Science and Engineering, Department of",Harvard University,"Statistics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,"Systems Biology, Department of",1,4,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,Materials Science and Mechanical Engineering Area,2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,Electrical Engineering Area,1,0,0,0,0,1,0,0
"Nuclear Science and Engineering, Department of",Harvard University,Applied Physics Area,1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Harvard University,Applied Mathematics Area,1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Idaho State University,"Nuclear Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Illinois Institute of Technology,"Chemistry, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Iowa State University,"Industrial and Manufacturing Systems Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Iowa State University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Iowa State University,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Kansas State University,"Mechanical and Nuclear Engineering, Department of",1,1,0,0,3,0,0,0
"Nuclear Science and Engineering, Department of",Lehigh University,"Mechanical Engineering and Mechanics, Department of",2,4,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Michigan State University,"Chemistry, Department of",1,3,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Michigan State University,"Computer Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Michigan State University,"Mechanical Engineering, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Michigan State University,"Physics and Astronomy, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Montana State University,"Physics, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",New Jersey Institute of Technology,"Physics, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",New Mexico Institute of Mining and Technology,Earth and Environmental Science Department,1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",New Mexico State University,"Chemical and Materials Engineering, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",New York University,"Mathematics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",New York University,"Mathematics (Polytechnic Institute), Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",North Carolina State University,"Biological and Agricultural Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",North Carolina State University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",North Carolina State University,"Marine, Earth and Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",North Carolina State University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",North Carolina State University,"Nuclear Engineering, Department of",6,12,0,0,4,0,0,0
"Nuclear Science and Engineering, Department of",Northeastern University,"Civil and Environmental Engineering, Department of",2,3,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northeastern University,"Marine and Environmental Sciences, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northeastern University,"Electrical and Computer Engineering, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northeastern University,"Mechanical and Industrial Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northeastern University,"Physics, Department of",2,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Northern Illinois University,"Physics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northwestern University,"Chemical and Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northwestern University,"Materials Science and Engineering, Department of",3,4,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Northwestern University,"Chemistry, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Ohio State University, The","Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Ohio State University, The","Mechanical and Aerospace Engineering, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Ohio State University, The","Physics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Oregon State University,"Chemistry, Department of",3,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Oregon State University,"Nuclear Science and Engineering, School of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Pennsylvania State University - University Park,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Pennsylvania State University - University Park,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Pennsylvania State University - University Park,"Physics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Pennsylvania State University - University Park,"Engineering Science and Mechanics, Department of",2,10,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Pennsylvania State University - University Park,"Mechanical Engineering, Department of",2,1,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Pennsylvania State University - University Park,"Nuclear Engineering, Department of",3,4,0,0,6,0,0,0
"Nuclear Science and Engineering, Department of",Princeton University,"Astrophysical Sciences, Department of",5,13,0,0,6,0,0,0
"Nuclear Science and Engineering, Department of",Princeton University,"Chemical and Biological Engineering, Department of",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Princeton University,"Mechanical and Aerospace Engineering, Department of",2,5,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Princeton University,"Physics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Princeton University,"Sociology, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Purdue University,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Purdue University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Purdue University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Purdue University,"Nuclear Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Purdue University,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Rensselaer Polytechnic Institute,"Mechanical, Aerospace, and Nuclear Engineering, Department of",1,4,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Rice University,"Electrical and Computer Engineering, Department of",1,3,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Rice University,"Physics and Astronomy, Department of",1,2,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of",Rice University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Rice University,"Materials Science and NanoEngineering, Department of",1,3,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Southern Methodist University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Stanford University,"Applied Physics, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Stanford University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Stanford University,"Energy Science and Engineering, Department of",3,5,0,0,0,0,0,0
