Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Nuclear Science and Engineering, Department of","Nuclear Science and Engineering, Department of",22,56,0,0,17,1,5,0
"Nuclear Science and Engineering, Department of","Aeronautics and Astronautics, Department of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Biological Engineering, Department of",1,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","Brain and Cognitive Sciences, Department of",3,3,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Chemical Engineering, Department of",8,11,0,0,1,0,1,0
"Nuclear Science and Engineering, Department of","Chemistry, Department of",5,9,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Civil and Environmental Engineering, Department of",2,2,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","Earth, Atmospheric and Planetary Sciences, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",12,23,0,0,3,3,1,0
"Nuclear Science and Engineering, Department of","Institute for Data, Systems, and Society (IDSS)",4,5,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of",Institute for Medical Engineering and Science (IMES),4,2,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","Management, Sloan School of",2,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Materials Science and Engineering, Department of",15,33,0,0,0,1,3,0
"Nuclear Science and Engineering, Department of","Mathematics, Department of",1,4,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Mechanical Engineering, Department of",14,20,0,0,1,0,2,0
"Nuclear Science and Engineering, Department of","Media Arts and Sciences, Program in",1,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Physics, Department of",9,12,0,0,0,2,0,0
"Nuclear Science and Engineering, Department of","Political Science, Department of",2,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","Urban Studies and Planning, Department of",1,1,0,0,0,0,0,0
