Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"FORSBERG, CHARLES W",287721,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"SHIRVAN, KOROUSH",827688,1,0,0,4,0,0,0
"Nuclear Science and Engineering, Department of","BUONGIORNO, JACOPO",14320,"TODREAS, NEIL E",544552,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FREIDBERG, JEFFREY P",34376,"PETERSON, ETHAN E",1435609,0,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","FREIDBERG, JEFFREY P",34376,"WHYTE, DENNIS G",171842,1,0,0,1,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"FREIDBERG, JEFFREY P",34376,1,0,0,1,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"HARTWIG, ZACHARY SETH",827689,8,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"PETERSON, ETHAN E",1435609,2,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","WHYTE, DENNIS G",171842,"SHORT, MICHAEL P",544545,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","YILDIZ, BILGE",173103,"LI, JU",488102,11,0,0,2,1,1,0
"Nuclear Science and Engineering, Department of","YILDIZ, BILGE",173103,"SHORT, MICHAEL P",544545,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,"DANAGOULIAN, AREG",779069,0,0,0,2,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,"HARTWIG, ZACHARY SETH",827689,0,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,"LI, MINGDA",919224,1,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORGET, BENOIT ROBERT YVES",176375,"SHIRVAN, KOROUSH",827688,2,0,0,1,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,"BUONGIORNO, JACOPO",14320,1,0,0,0,0,1,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,"LI, JU",488102,2,0,0,0,0,0,0
"Nuclear Science and Engineering, Department of","FORSBERG, CHARLES W",287721,"SHIRVAN, KOROUSH",827688,1,0,0,0,0,0,0
