Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Florida State University,"PARFITT, RHYS",1101050,1,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Harvard University,"STRANEO, FIAMMETTA",289444,1,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"CHEN, KE",836179,0,0,0,0,1,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"FLIERL, GLENN RICHARD",176392,1,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"GAWARKIEWICZ, GLEN",370199,7,0,0,0,2,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"KWON, YOUNG-OH",288380,1,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"MARCHAL, OLIVIER",288564,1,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"OLIVER, HILDE",1332662,1,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"TODD, ROBERT",779128,2,0,0,0,1,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"TOOLE, JOHN",289558,0,0,0,0,1,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,Massachusetts Institute of Technology,"UMMENHOFER, CAROLINE",544629,2,0,0,0,0,0,0
"Physical Oceanography, Department of","ANDRES, MAGDALENA",488108,North Carolina State University,"HE, RUOYING",329554,2,0,0,0,0,0,0
